OBS_STATUS,OBS_CONF,FREQ,REF_AREA,SOURCE_REF,COMPILATION,DECIMALS,TITLE,TIME_PERIOD,value
A,F,M,IT,"Bank of Italy, Bank for International Settlements",From 1 Jan 1999 onwards: the series is discontinued as Italy joined the euro area; from 1 Jan 1992 to 31 Dec 1998: the official discount rate and the rate for fixed-term advances were respectively the lower and upper limits of the so-called corridor of official rates; from 1 Jan 1945 to 31 Dec 1991: the official interest rate of Bank of Italy was applied to the discounting of banks' ordinary portfolios.,4, Central bank policy rates - Italy - Monthly - End of period,1945-01,4.0
A,F,M,IT,"Bank of Italy, Bank for International Settlements",From 1 Jan 1999 onwards: the series is discontinued as Italy joined the euro area; from 1 Jan 1992 to 31 Dec 1998: the official discount rate and the rate for fixed-term advances were respectively the lower and upper limits of the so-called corridor of official rates; from 1 Jan 1945 to 31 Dec 1991: the official interest rate of Bank of Italy was applied to the discounting of banks' ordinary portfolios.,4, Central bank policy rates - Italy - Monthly - End of period,1945-02,4.0
A,F,M,IT,"Bank of Italy, Bank for International Settlements",From 1 Jan 1999 onwards: the series is discontinued as Italy joined the euro area; from 1 Jan 1992 to 31 Dec 1998: the official discount rate and the rate for fixed-term advances were respectively the lower and upper limits of the so-called corridor of official rates; from 1 Jan 1945 to 31 Dec 1991: the official interest rate of Bank of Italy was applied to the discounting of banks' ordinary portfolios.,4, Central bank policy rates - Italy - Monthly - End of period,1945-03,4.0
A,F,M,IT,"Bank of Italy, Bank for International Settlements",From 1 Jan 1999 onwards: the series is discontinued as Italy joined the euro area; from 1 Jan 1992 to 31 Dec 1998: the official discount rate and the rate for fixed-term advances were respectively the lower and upper limits of the so-called corridor of official rates; from 1 Jan 1945 to 31 Dec 1991: the official interest rate of Bank of Italy was applied to the discounting of banks' ordinary portfolios.,4, Central bank policy rates - Italy - Monthly - End of period,1945-04,4.0
A,F,M,IT,"Bank of Italy, Bank for International Settlements",From 1 Jan 1999 onwards: the series is discontinued as Italy joined the euro area; from 1 Jan 1992 to 31 Dec 1998: the official discount rate and the rate for fixed-term advances were respectively the lower and upper limits of the so-called corridor of official rates; from 1 Jan 1945 to 31 Dec 1991: the official interest rate of Bank of Italy was applied to the discounting of banks' ordinary portfolios.,4, Central bank policy rates - Italy - Monthly - End of period,1945-05,4.0
A,F,M,IT,"Bank of Italy, Bank for International Settlements",From 1 Jan 1999 onwards: the series is discontinued as Italy joined the euro area; from 1 Jan 1992 to 31 Dec 1998: the official discount rate and the rate for fixed-term advances were respectively the lower and upper limits of the so-called corridor of official rates; from 1 Jan 1945 to 31 Dec 1991: the official interest rate of Bank of Italy was applied to the discounting of banks' ordinary portfolios.,4, Central bank policy rates - Italy - Monthly - End of period,1945-06,4.0
A,F,M,IT,"Bank of Italy, Bank for International Settlements",From 1 Jan 1999 onwards: the series is discontinued as Italy joined the euro area; from 1 Jan 1992 to 31 Dec 1998: the official discount rate and the rate for fixed-term advances were respectively the lower and upper limits of the so-called corridor of official rates; from 1 Jan 1945 to 31 Dec 1991: the official interest rate of Bank of Italy was applied to the discounting of banks' ordinary portfolios.,4, Central bank policy rates - Italy - Monthly - End of period,1945-07,4.0
A,F,M,IT,"Bank of Italy, Bank for International Settlements",From 1 Jan 1999 onwards: the series is discontinued as Italy joined the euro area; from 1 Jan 1992 to 31 Dec 1998: the official discount rate and the rate for fixed-term advances were respectively the lower and upper limits of the so-called corridor of official rates; from 1 Jan 1945 to 31 Dec 1991: the official interest rate of Bank of Italy was applied to the discounting of banks' ordinary portfolios.,4, Central bank policy rates - Italy - Monthly - End of period,1945-08,4.0
A,F,M,IT,"Bank of Italy, Bank for International Settlements",From 1 Jan 1999 onwards: the series is discontinued as Italy joined the euro area; from 1 Jan 1992 to 31 Dec 1998: the official discount rate and the rate for fixed-term advances were respectively the lower and upper limits of the so-called corridor of official rates; from 1 Jan 1945 to 31 Dec 1991: the official interest rate of Bank of Italy was applied to the discounting of banks' ordinary portfolios.,4, Central bank policy rates - Italy - Monthly - End of period,1945-09,4.0
A,F,M,IT,"Bank of Italy, Bank for International Settlements",From 1 Jan 1999 onwards: the series is discontinued as Italy joined the euro area; from 1 Jan 1992 to 31 Dec 1998: the official discount rate and the rate for fixed-term advances were respectively the lower and upper limits of the so-called corridor of official rates; from 1 Jan 1945 to 31 Dec 1991: the official interest rate of Bank of Italy was applied to the discounting of banks' ordinary portfolios.,4, Central bank policy rates - Italy - Monthly - End of period,1945-10,4.0
