OBS_STATUS,CONF_STATUS,FREQ,REF_AREA,COMP_METHOD,UNIT_MEASURE,CURRENCY,TRANSFORMATION,METHOD_REF,COLLECTION,COLLECTION_DETAIL,SUPP_INFO_BREAKS,DECIMALS,COMPILING_ORG,UNIT_MULT,TITLE,DISS_ORG,DATA_COMP,TIME_PERIOD,value
A,F,M,FR,B,USD,_Z,B,BIS-spliced,E,The data in billions of US dollars are calculated using market exchange rates.,"This series is adjusted for breaks. Break-adjustment calculations follow the methodology outlined in the BIS Quarterly Review (2013). For further detail, see https://www.bis.org/publ/qtrpdf/r_qt1303z.htm",3,Bank of France; European Central Bank; Bank for International Settlements.,9,"France - Central bank, assets, total, BIS-spliced, USD",5B0,"From June 2016 onwards: disaggregated financial statement of the Eurosystem. Between January 1999 and May 2016: monthly balance sheet items following the harmonised monetary statistics of monetary financial institutions. Between 1840 and 1998: Baubeau (2018): 'The Bank of France's balance sheets database, 1840-1998: an introduction to 158 years of central banking'. Before 1840: Bignon and Plüss (forthcoming): 'Accounting for the first 223 years of Banque de France balance sheets'.",1953-09,6.6335034352101
A,F,M,FR,B,USD,_Z,B,BIS-spliced,E,The data in billions of US dollars are calculated using market exchange rates.,"This series is adjusted for breaks. Break-adjustment calculations follow the methodology outlined in the BIS Quarterly Review (2013). For further detail, see https://www.bis.org/publ/qtrpdf/r_qt1303z.htm",3,Bank of France; European Central Bank; Bank for International Settlements.,9,"France - Central bank, assets, total, BIS-spliced, USD",5B0,"From June 2016 onwards: disaggregated financial statement of the Eurosystem. Between January 1999 and May 2016: monthly balance sheet items following the harmonised monetary statistics of monetary financial institutions. Between 1840 and 1998: Baubeau (2018): 'The Bank of France's balance sheets database, 1840-1998: an introduction to 158 years of central banking'. Before 1840: Bignon and Plüss (forthcoming): 'Accounting for the first 223 years of Banque de France balance sheets'.",1953-10,6.7852388411551
A,F,M,FR,B,USD,_Z,B,BIS-spliced,E,The data in billions of US dollars are calculated using market exchange rates.,"This series is adjusted for breaks. Break-adjustment calculations follow the methodology outlined in the BIS Quarterly Review (2013). For further detail, see https://www.bis.org/publ/qtrpdf/r_qt1303z.htm",3,Bank of France; European Central Bank; Bank for International Settlements.,9,"France - Central bank, assets, total, BIS-spliced, USD",5B0,"From June 2016 onwards: disaggregated financial statement of the Eurosystem. Between January 1999 and May 2016: monthly balance sheet items following the harmonised monetary statistics of monetary financial institutions. Between 1840 and 1998: Baubeau (2018): 'The Bank of France's balance sheets database, 1840-1998: an introduction to 158 years of central banking'. Before 1840: Bignon and Plüss (forthcoming): 'Accounting for the first 223 years of Banque de France balance sheets'.",1953-11,6.7227860723453
A,F,M,FR,B,USD,_Z,B,BIS-spliced,E,The data in billions of US dollars are calculated using market exchange rates.,"This series is adjusted for breaks. Break-adjustment calculations follow the methodology outlined in the BIS Quarterly Review (2013). For further detail, see https://www.bis.org/publ/qtrpdf/r_qt1303z.htm",3,Bank of France; European Central Bank; Bank for International Settlements.,9,"France - Central bank, assets, total, BIS-spliced, USD",5B0,"From June 2016 onwards: disaggregated financial statement of the Eurosystem. Between January 1999 and May 2016: monthly balance sheet items following the harmonised monetary statistics of monetary financial institutions. Between 1840 and 1998: Baubeau (2018): 'The Bank of France's balance sheets database, 1840-1998: an introduction to 158 years of central banking'. Before 1840: Bignon and Plüss (forthcoming): 'Accounting for the first 223 years of Banque de France balance sheets'.",1953-12,7.0965126937166
A,F,M,FR,B,USD,_Z,B,BIS-spliced,E,The data in billions of US dollars are calculated using market exchange rates.,"This series is adjusted for breaks. Break-adjustment calculations follow the methodology outlined in the BIS Quarterly Review (2013). For further detail, see https://www.bis.org/publ/qtrpdf/r_qt1303z.htm",3,Bank of France; European Central Bank; Bank for International Settlements.,9,"France - Central bank, assets, total, BIS-spliced, USD",5B0,"From June 2016 onwards: disaggregated financial statement of the Eurosystem. Between January 1999 and May 2016: monthly balance sheet items following the harmonised monetary statistics of monetary financial institutions. Between 1840 and 1998: Baubeau (2018): 'The Bank of France's balance sheets database, 1840-1998: an introduction to 158 years of central banking'. Before 1840: Bignon and Plüss (forthcoming): 'Accounting for the first 223 years of Banque de France balance sheets'.",1954-01,6.9447249604688
A,F,M,FR,B,USD,_Z,B,BIS-spliced,E,The data in billions of US dollars are calculated using market exchange rates.,"This series is adjusted for breaks. Break-adjustment calculations follow the methodology outlined in the BIS Quarterly Review (2013). For further detail, see https://www.bis.org/publ/qtrpdf/r_qt1303z.htm",3,Bank of France; European Central Bank; Bank for International Settlements.,9,"France - Central bank, assets, total, BIS-spliced, USD",5B0,"From June 2016 onwards: disaggregated financial statement of the Eurosystem. Between January 1999 and May 2016: monthly balance sheet items following the harmonised monetary statistics of monetary financial institutions. Between 1840 and 1998: Baubeau (2018): 'The Bank of France's balance sheets database, 1840-1998: an introduction to 158 years of central banking'. Before 1840: Bignon and Plüss (forthcoming): 'Accounting for the first 223 years of Banque de France balance sheets'.",1954-02,6.8916097915028
A,F,M,FR,B,USD,_Z,B,BIS-spliced,E,The data in billions of US dollars are calculated using market exchange rates.,"This series is adjusted for breaks. Break-adjustment calculations follow the methodology outlined in the BIS Quarterly Review (2013). For further detail, see https://www.bis.org/publ/qtrpdf/r_qt1303z.htm",3,Bank of France; European Central Bank; Bank for International Settlements.,9,"France - Central bank, assets, total, BIS-spliced, USD",5B0,"From June 2016 onwards: disaggregated financial statement of the Eurosystem. Between January 1999 and May 2016: monthly balance sheet items following the harmonised monetary statistics of monetary financial institutions. Between 1840 and 1998: Baubeau (2018): 'The Bank of France's balance sheets database, 1840-1998: an introduction to 158 years of central banking'. Before 1840: Bignon and Plüss (forthcoming): 'Accounting for the first 223 years of Banque de France balance sheets'.",1954-03,6.8299547911102
A,F,M,FR,B,USD,_Z,B,BIS-spliced,E,The data in billions of US dollars are calculated using market exchange rates.,"This series is adjusted for breaks. Break-adjustment calculations follow the methodology outlined in the BIS Quarterly Review (2013). For further detail, see https://www.bis.org/publ/qtrpdf/r_qt1303z.htm",3,Bank of France; European Central Bank; Bank for International Settlements.,9,"France - Central bank, assets, total, BIS-spliced, USD",5B0,"From June 2016 onwards: disaggregated financial statement of the Eurosystem. Between January 1999 and May 2016: monthly balance sheet items following the harmonised monetary statistics of monetary financial institutions. Between 1840 and 1998: Baubeau (2018): 'The Bank of France's balance sheets database, 1840-1998: an introduction to 158 years of central banking'. Before 1840: Bignon and Plüss (forthcoming): 'Accounting for the first 223 years of Banque de France balance sheets'.",1954-04,7.1094840989796
A,F,M,FR,B,USD,_Z,B,BIS-spliced,E,The data in billions of US dollars are calculated using market exchange rates.,"This series is adjusted for breaks. Break-adjustment calculations follow the methodology outlined in the BIS Quarterly Review (2013). For further detail, see https://www.bis.org/publ/qtrpdf/r_qt1303z.htm",3,Bank of France; European Central Bank; Bank for International Settlements.,9,"France - Central bank, assets, total, BIS-spliced, USD",5B0,"From June 2016 onwards: disaggregated financial statement of the Eurosystem. Between January 1999 and May 2016: monthly balance sheet items following the harmonised monetary statistics of monetary financial institutions. Between 1840 and 1998: Baubeau (2018): 'The Bank of France's balance sheets database, 1840-1998: an introduction to 158 years of central banking'. Before 1840: Bignon and Plüss (forthcoming): 'Accounting for the first 223 years of Banque de France balance sheets'.",1954-05,6.9612806807701
A,F,M,FR,B,USD,_Z,B,BIS-spliced,E,The data in billions of US dollars are calculated using market exchange rates.,"This series is adjusted for breaks. Break-adjustment calculations follow the methodology outlined in the BIS Quarterly Review (2013). For further detail, see https://www.bis.org/publ/qtrpdf/r_qt1303z.htm",3,Bank of France; European Central Bank; Bank for International Settlements.,9,"France - Central bank, assets, total, BIS-spliced, USD",5B0,"From June 2016 onwards: disaggregated financial statement of the Eurosystem. Between January 1999 and May 2016: monthly balance sheet items following the harmonised monetary statistics of monetary financial institutions. Between 1840 and 1998: Baubeau (2018): 'The Bank of France's balance sheets database, 1840-1998: an introduction to 158 years of central banking'. Before 1840: Bignon and Plüss (forthcoming): 'Accounting for the first 223 years of Banque de France balance sheets'.",1954-06,6.9771389817966
