TIME_PERIOD,value
2020-01,61.1
2020-02,61.1
2020-03,59.8
2020-04,51.2
2020-05,52.7
2020-06,54.7
2020-07,55.2
2020-08,56.5
2020-09,56.6
2020-10,57.5
2020-11,57.4
2020-12,57.4
2021-01,57.4
2021-02,57.6
2021-03,57.7
2021-04,57.9
2021-05,58.0
2021-06,58.1
2021-07,58.4
2021-08,58.6
2021-09,58.8
2021-10,59.0
2021-11,59.4
2021-12,59.5
2022-01,59.7
2022-02,59.8
2022-03,60.1
2022-04,59.9
2022-05,60.1
2022-06,59.9
2022-07,59.9
2022-08,60.1
2022-09,60.1
2022-10,60.0
2022-11,59.9
2022-12,60.1
2023-01,60.2
2023-02,60.3
2023-03,60.4
2023-04,60.4
2023-05,60.3
2023-06,60.3
2023-07,60.4
2023-08,60.4
2023-09,60.4
2023-10,60.2
2023-11,60.4
2023-12,60.1
2024-01,60.2
2024-02,60.1
2024-03,60.3
2024-04,60.2
2024-05,60.1
2024-06,60.0
2024-07,60.0
2024-08,60.0
2024-09,60.1
2024-10,60.0
2024-11,59.8
2024-12,60.0
2025-01,60.1
2025-02,59.9
2025-03,59.9
2025-04,60.0
2025-05,59.7
2025-06,59.7
2025-07,59.6
2025-08,59.6
