TIME_PERIOD,value
2020-01,7124.0
2020-02,6966.0
2020-03,5894.0
2020-04,4606.0
2020-05,5612.0
2020-06,6129.0
2020-07,6530.0
2020-08,6429.0
2020-09,6511.0
2020-10,6798.0
2020-11,6820.0
2020-12,6773.0
2021-01,7204.0
2021-02,7752.0
2021-03,8470.0
2021-04,9356.0
2021-05,9905.0
2021-06,10298.0
2021-07,11049.0
2021-08,10956.0
2021-09,10879.0
2021-10,11341.0
2021-11,11119.0
2021-12,11417.0
2022-01,11238.0
2022-02,11661.0
2022-03,12134.0
2022-04,11881.0
2022-05,11483.0
2022-06,11256.0
2022-07,11610.0
2022-08,10148.0
2022-09,10812.0
2022-10,10488.0
2022-11,10619.0
2022-12,10876.0
2023-01,10393.0
2023-02,9846.0
2023-03,9572.0
2023-04,9992.0
2023-05,9310.0
2023-06,9191.0
2023-07,8606.0
2023-08,9287.0
2023-09,9279.0
2023-10,8550.0
2023-11,8663.0
2023-12,8585.0
2024-01,8468.0
2024-02,8445.0
2024-03,8093.0
2024-04,7619.0
2024-05,7901.0
2024-06,7412.0
2024-07,7504.0
2024-08,7649.0
2024-09,7103.0
2024-10,7615.0
2024-11,8031.0
2024-12,7508.0
2025-01,7762.0
2025-02,7480.0
2025-03,7200.0
2025-04,7395.0
2025-05,7712.0
2025-06,7357.0
2025-07,7181.0
