TIME_PERIOD,value
2020-01,152031.0
2020-02,152292.0
2020-03,150895.0
2020-04,130424.0
2020-05,133040.0
2020-06,137671.0
2020-07,139255.0
2020-08,140819.0
2020-09,141770.0
2020-10,142461.0
2020-11,142731.0
2020-12,142548.0
2021-01,142913.0
2021-02,143422.0
2021-03,144246.0
2021-04,144611.0
2021-05,145032.0
2021-06,145828.0
2021-07,146759.0
2021-08,147246.0
2021-09,147712.0
2021-10,148569.0
2021-11,149206.0
2021-12,149781.0
2022-01,150006.0
2022-02,150875.0
2022-03,151346.0
2022-04,151651.0
2022-05,151892.0
2022-06,152353.0
2022-07,153049.0
2022-08,153286.0
2022-09,153513.0
2022-10,153913.0
2022-11,154210.0
2022-12,154336.0
2023-01,154780.0
2023-02,155086.0
2023-03,155171.0
2023-04,155387.0
2023-05,155614.0
2023-06,155871.0
2023-07,156019.0
2023-08,156176.0
2023-09,156334.0
2023-10,156520.0
2023-11,156661.0
2023-12,156930.0
2024-01,157049.0
2024-02,157271.0
2024-03,157517.0
2024-04,157635.0
2024-05,157828.0
2024-06,157915.0
2024-07,158003.0
2024-08,158074.0
2024-09,158314.0
2024-10,158358.0
2024-11,158619.0
2024-12,158942.0
2025-01,159053.0
2025-02,159155.0
2025-03,159275.0
2025-04,159433.0
2025-05,159452.0
2025-06,159439.0
2025-07,159518.0
2025-08,159540.0
