,TIME_PERIOD,FREQ,COUNTRY,INDICATOR,value,missing,anomaly
0,1960-07-01,M,CA,central_bank_policy_rates,3.17,False,False
1,1960-08-01,M,CA,central_bank_policy_rates,2.5,False,False
2,1960-09-01,M,CA,central_bank_policy_rates,1.95,False,False
3,1960-10-01,M,CA,central_bank_policy_rates,3.28,False,True
4,1960-11-01,M,CA,central_bank_policy_rates,4.02,False,False
5,1960-12-01,M,CA,central_bank_policy_rates,3.5,False,False
6,1961-01-01,M,CA,central_bank_policy_rates,3.29,False,False
7,1961-02-01,M,CA,central_bank_policy_rates,3.36,False,False
8,1961-03-01,M,CA,central_bank_policy_rates,3.46,False,False
9,1961-04-01,M,CA,central_bank_policy_rates,3.53,False,False
10,1961-05-01,M,CA,central_bank_policy_rates,3.42,False,False
11,1961-06-01,M,CA,central_bank_policy_rates,2.82,False,False
12,1961-07-01,M,CA,central_bank_policy_rates,2.8,False,False
13,1961-08-01,M,CA,central_bank_policy_rates,2.51,False,False
14,1961-09-01,M,CA,central_bank_policy_rates,2.84,False,False
15,1961-10-01,M,CA,central_bank_policy_rates,2.75,False,False
16,1961-11-01,M,CA,central_bank_policy_rates,2.75,False,False
17,1961-12-01,M,CA,central_bank_policy_rates,3.24,False,False
18,1962-01-01,M,CA,central_bank_policy_rates,3.35,False,False
19,1962-02-01,M,CA,central_bank_policy_rates,3.42,False,False
20,1962-03-01,M,CA,central_bank_policy_rates,3.37,False,False
21,1962-04-01,M,CA,central_bank_policy_rates,3.32,False,False
22,1962-05-01,M,CA,central_bank_policy_rates,3.77,False,False
23,1962-06-01,M,CA,central_bank_policy_rates,6.0,False,True
24,1962-07-01,M,CA,central_bank_policy_rates,6.0,False,False
25,1962-08-01,M,CA,central_bank_policy_rates,6.0,False,False
26,1962-09-01,M,CA,central_bank_policy_rates,5.5,False,False
27,1962-10-01,M,CA,central_bank_policy_rates,5.0,False,False
28,1962-11-01,M,CA,central_bank_policy_rates,4.0,False,False
29,1962-12-01,M,CA,central_bank_policy_rates,4.0,False,False
30,1963-01-01,M,CA,central_bank_policy_rates,4.0,False,False
31,1963-02-01,M,CA,central_bank_policy_rates,4.0,False,False
32,1963-03-01,M,CA,central_bank_policy_rates,4.0,False,False
33,1963-04-01,M,CA,central_bank_policy_rates,4.0,False,False
34,1963-05-01,M,CA,central_bank_policy_rates,3.5,False,False
35,1963-06-01,M,CA,central_bank_policy_rates,3.5,False,False
36,1963-07-01,M,CA,central_bank_policy_rates,3.5,False,False
37,1963-08-01,M,CA,central_bank_policy_rates,4.0,False,False
38,1963-09-01,M,CA,central_bank_policy_rates,4.0,False,False
39,1963-10-01,M,CA,central_bank_policy_rates,4.0,False,False
40,1963-11-01,M,CA,central_bank_policy_rates,4.0,False,False
41,1963-12-01,M,CA,central_bank_policy_rates,4.0,False,False
42,1964-01-01,M,CA,central_bank_policy_rates,4.0,False,False
43,1964-02-01,M,CA,central_bank_policy_rates,4.0,False,False
44,1964-03-01,M,CA,central_bank_policy_rates,4.0,False,False
45,1964-04-01,M,CA,central_bank_policy_rates,4.0,False,False
46,1964-05-01,M,CA,central_bank_policy_rates,4.0,False,False
47,1964-06-01,M,CA,central_bank_policy_rates,4.0,False,False
48,1964-07-01,M,CA,central_bank_policy_rates,4.0,False,False
49,1964-08-01,M,CA,central_bank_policy_rates,4.0,False,False
50,1964-09-01,M,CA,central_bank_policy_rates,4.0,False,False
51,1964-10-01,M,CA,central_bank_policy_rates,4.0,False,False
52,1964-11-01,M,CA,central_bank_policy_rates,4.25,False,False
53,1964-12-01,M,CA,central_bank_policy_rates,4.25,False,False
54,1965-01-01,M,CA,central_bank_policy_rates,4.25,False,False
55,1965-02-01,M,CA,central_bank_policy_rates,4.25,False,False
56,1965-03-01,M,CA,central_bank_policy_rates,4.25,False,False
57,1965-04-01,M,CA,central_bank_policy_rates,4.25,False,False
58,1965-05-01,M,CA,central_bank_policy_rates,4.25,False,False
59,1965-06-01,M,CA,central_bank_policy_rates,4.25,False,False
60,1965-07-01,M,CA,central_bank_policy_rates,4.25,False,False
61,1965-08-01,M,CA,central_bank_policy_rates,4.25,False,False
62,1965-09-01,M,CA,central_bank_policy_rates,4.25,False,False
63,1965-10-01,M,CA,central_bank_policy_rates,4.25,False,False
64,1965-11-01,M,CA,central_bank_policy_rates,4.25,False,False
65,1965-12-01,M,CA,central_bank_policy_rates,4.75,False,False
66,1966-01-01,M,CA,central_bank_policy_rates,4.75,False,False
67,1966-02-01,M,CA,central_bank_policy_rates,4.75,False,False
68,1966-03-01,M,CA,central_bank_policy_rates,5.25,False,False
69,1966-04-01,M,CA,central_bank_policy_rates,5.25,False,False
70,1966-05-01,M,CA,central_bank_policy_rates,5.25,False,False
71,1966-06-01,M,CA,central_bank_policy_rates,5.25,False,False
72,1966-07-01,M,CA,central_bank_policy_rates,5.25,False,False
73,1966-08-01,M,CA,central_bank_policy_rates,5.25,False,False
74,1966-09-01,M,CA,central_bank_policy_rates,5.25,False,False
75,1966-10-01,M,CA,central_bank_policy_rates,5.25,False,False
76,1966-11-01,M,CA,central_bank_policy_rates,5.25,False,False
77,1966-12-01,M,CA,central_bank_policy_rates,5.25,False,False
78,1967-01-01,M,CA,central_bank_policy_rates,5.0,False,False
79,1967-02-01,M,CA,central_bank_policy_rates,5.0,False,False
80,1967-03-01,M,CA,central_bank_policy_rates,5.0,False,False
81,1967-04-01,M,CA,central_bank_policy_rates,4.5,False,False
82,1967-05-01,M,CA,central_bank_policy_rates,4.5,False,False
83,1967-06-01,M,CA,central_bank_policy_rates,4.5,False,False
84,1967-07-01,M,CA,central_bank_policy_rates,4.5,False,False
85,1967-08-01,M,CA,central_bank_policy_rates,4.5,False,False
86,1967-09-01,M,CA,central_bank_policy_rates,5.0,False,False
87,1967-10-01,M,CA,central_bank_policy_rates,5.0,False,False
88,1967-11-01,M,CA,central_bank_policy_rates,6.0,False,False
89,1967-12-01,M,CA,central_bank_policy_rates,6.0,False,False
90,1968-01-01,M,CA,central_bank_policy_rates,7.0,False,False
91,1968-02-01,M,CA,central_bank_policy_rates,7.0,False,False
92,1968-03-01,M,CA,central_bank_policy_rates,7.5,False,False
93,1968-04-01,M,CA,central_bank_policy_rates,7.5,False,False
94,1968-05-01,M,CA,central_bank_policy_rates,7.5,False,False
95,1968-06-01,M,CA,central_bank_policy_rates,7.5,False,False
96,1968-07-01,M,CA,central_bank_policy_rates,6.5,False,False
97,1968-08-01,M,CA,central_bank_policy_rates,6.5,False,False
98,1968-09-01,M,CA,central_bank_policy_rates,6.0,False,False
99,1968-10-01,M,CA,central_bank_policy_rates,6.0,False,False
100,1968-11-01,M,CA,central_bank_policy_rates,6.0,False,False
101,1968-12-01,M,CA,central_bank_policy_rates,6.5,False,False
102,1969-01-01,M,CA,central_bank_policy_rates,6.5,False,False
103,1969-02-01,M,CA,central_bank_policy_rates,6.5,False,False
104,1969-03-01,M,CA,central_bank_policy_rates,7.0,False,False
105,1969-04-01,M,CA,central_bank_policy_rates,7.0,False,False
106,1969-05-01,M,CA,central_bank_policy_rates,7.0,False,False
107,1969-06-01,M,CA,central_bank_policy_rates,7.5,False,False
108,1969-07-01,M,CA,central_bank_policy_rates,8.0,False,False
109,1969-08-01,M,CA,central_bank_policy_rates,8.0,False,False
110,1969-09-01,M,CA,central_bank_policy_rates,8.0,False,False
111,1969-10-01,M,CA,central_bank_policy_rates,8.0,False,False
112,1969-11-01,M,CA,central_bank_policy_rates,8.0,False,False
113,1969-12-01,M,CA,central_bank_policy_rates,8.0,False,False
114,1970-01-01,M,CA,central_bank_policy_rates,8.0,False,False
115,1970-02-01,M,CA,central_bank_policy_rates,8.0,False,False
116,1970-03-01,M,CA,central_bank_policy_rates,8.0,False,False
117,1970-04-01,M,CA,central_bank_policy_rates,8.0,False,False
118,1970-05-01,M,CA,central_bank_policy_rates,7.5,False,False
119,1970-06-01,M,CA,central_bank_policy_rates,7.0,False,False
120,1970-07-01,M,CA,central_bank_policy_rates,7.0,False,False
121,1970-08-01,M,CA,central_bank_policy_rates,7.0,False,False
122,1970-09-01,M,CA,central_bank_policy_rates,6.5,False,False
123,1970-10-01,M,CA,central_bank_policy_rates,6.5,False,False
124,1970-11-01,M,CA,central_bank_policy_rates,6.0,False,False
125,1970-12-01,M,CA,central_bank_policy_rates,6.0,False,False
126,1971-01-01,M,CA,central_bank_policy_rates,6.0,False,False
127,1971-02-01,M,CA,central_bank_policy_rates,5.25,False,False
