,TIME_PERIOD,FREQ,COUNTRY,INDICATOR,value,missing,anomaly
0,1948-07-01,M,DE,central_bank_policy_rates,5.0,False,False
1,1948-08-01,M,DE,central_bank_policy_rates,5.0,False,False
2,1948-09-01,M,DE,central_bank_policy_rates,5.0,False,False
3,1948-10-01,M,DE,central_bank_policy_rates,5.0,False,False
4,1948-11-01,M,DE,central_bank_policy_rates,5.0,False,False
5,1948-12-01,M,DE,central_bank_policy_rates,5.0,False,False
6,1949-01-01,M,DE,central_bank_policy_rates,5.0,False,False
7,1949-02-01,M,DE,central_bank_policy_rates,5.0,False,False
8,1949-03-01,M,DE,central_bank_policy_rates,5.0,False,False
9,1949-04-01,M,DE,central_bank_policy_rates,5.0,False,False
10,1949-05-01,M,DE,central_bank_policy_rates,4.5,False,False
11,1949-06-01,M,DE,central_bank_policy_rates,4.5,False,False
12,1949-07-01,M,DE,central_bank_policy_rates,4.0,False,False
13,1949-08-01,M,DE,central_bank_policy_rates,4.0,False,False
14,1949-09-01,M,DE,central_bank_policy_rates,4.0,False,False
15,1949-10-01,M,DE,central_bank_policy_rates,4.0,False,False
16,1949-11-01,M,DE,central_bank_policy_rates,4.0,False,False
17,1949-12-01,M,DE,central_bank_policy_rates,4.0,False,False
18,1950-01-01,M,DE,central_bank_policy_rates,4.0,False,False
19,1950-02-01,M,DE,central_bank_policy_rates,4.0,False,False
20,1950-03-01,M,DE,central_bank_policy_rates,4.0,False,False
21,1950-04-01,M,DE,central_bank_policy_rates,4.0,False,False
22,1950-05-01,M,DE,central_bank_policy_rates,4.0,False,False
23,1950-06-01,M,DE,central_bank_policy_rates,4.0,False,False
24,1950-07-01,M,DE,central_bank_policy_rates,4.0,False,False
25,1950-08-01,M,DE,central_bank_policy_rates,4.0,False,False
26,1950-09-01,M,DE,central_bank_policy_rates,4.0,False,False
27,1950-10-01,M,DE,central_bank_policy_rates,6.0,False,False
28,1950-11-01,M,DE,central_bank_policy_rates,6.0,False,False
29,1950-12-01,M,DE,central_bank_policy_rates,6.0,False,False
30,1951-01-01,M,DE,central_bank_policy_rates,6.0,False,False
31,1951-02-01,M,DE,central_bank_policy_rates,6.0,False,False
32,1951-03-01,M,DE,central_bank_policy_rates,6.0,False,False
33,1951-04-01,M,DE,central_bank_policy_rates,6.0,False,False
34,1951-05-01,M,DE,central_bank_policy_rates,6.0,False,False
35,1951-06-01,M,DE,central_bank_policy_rates,6.0,False,False
36,1951-07-01,M,DE,central_bank_policy_rates,6.0,False,False
37,1951-08-01,M,DE,central_bank_policy_rates,6.0,False,False
38,1951-09-01,M,DE,central_bank_policy_rates,6.0,False,False
39,1951-10-01,M,DE,central_bank_policy_rates,6.0,False,False
40,1951-11-01,M,DE,central_bank_policy_rates,6.0,False,False
41,1951-12-01,M,DE,central_bank_policy_rates,6.0,False,False
42,1952-01-01,M,DE,central_bank_policy_rates,6.0,False,False
43,1952-02-01,M,DE,central_bank_policy_rates,6.0,False,False
44,1952-03-01,M,DE,central_bank_policy_rates,6.0,False,False
45,1952-04-01,M,DE,central_bank_policy_rates,6.0,False,False
46,1952-05-01,M,DE,central_bank_policy_rates,5.0,False,False
47,1952-06-01,M,DE,central_bank_policy_rates,5.0,False,False
48,1952-07-01,M,DE,central_bank_policy_rates,5.0,False,False
49,1952-08-01,M,DE,central_bank_policy_rates,4.5,False,False
50,1952-09-01,M,DE,central_bank_policy_rates,4.5,False,False
51,1952-10-01,M,DE,central_bank_policy_rates,4.5,False,False
52,1952-11-01,M,DE,central_bank_policy_rates,4.5,False,False
53,1952-12-01,M,DE,central_bank_policy_rates,4.5,False,False
54,1953-01-01,M,DE,central_bank_policy_rates,4.0,False,False
55,1953-02-01,M,DE,central_bank_policy_rates,4.0,False,False
56,1953-03-01,M,DE,central_bank_policy_rates,4.0,False,False
57,1953-04-01,M,DE,central_bank_policy_rates,4.0,False,False
58,1953-05-01,M,DE,central_bank_policy_rates,4.0,False,False
59,1953-06-01,M,DE,central_bank_policy_rates,3.5,False,False
60,1953-07-01,M,DE,central_bank_policy_rates,3.5,False,False
61,1953-08-01,M,DE,central_bank_policy_rates,3.5,False,False
62,1953-09-01,M,DE,central_bank_policy_rates,3.5,False,False
63,1953-10-01,M,DE,central_bank_policy_rates,3.5,False,False
64,1953-11-01,M,DE,central_bank_policy_rates,3.5,False,False
65,1953-12-01,M,DE,central_bank_policy_rates,3.5,False,False
66,1954-01-01,M,DE,central_bank_policy_rates,3.5,False,False
67,1954-02-01,M,DE,central_bank_policy_rates,3.5,False,False
68,1954-03-01,M,DE,central_bank_policy_rates,3.5,False,False
69,1954-04-01,M,DE,central_bank_policy_rates,3.5,False,False
70,1954-05-01,M,DE,central_bank_policy_rates,3.0,False,False
71,1954-06-01,M,DE,central_bank_policy_rates,3.0,False,False
72,1954-07-01,M,DE,central_bank_policy_rates,3.0,False,False
73,1954-08-01,M,DE,central_bank_policy_rates,3.0,False,False
74,1954-09-01,M,DE,central_bank_policy_rates,3.0,False,False
75,1954-10-01,M,DE,central_bank_policy_rates,3.0,False,False
76,1954-11-01,M,DE,central_bank_policy_rates,3.0,False,False
77,1954-12-01,M,DE,central_bank_policy_rates,3.0,False,False
78,1955-01-01,M,DE,central_bank_policy_rates,3.0,False,False
79,1955-02-01,M,DE,central_bank_policy_rates,3.0,False,False
80,1955-03-01,M,DE,central_bank_policy_rates,3.0,False,False
81,1955-04-01,M,DE,central_bank_policy_rates,3.0,False,False
82,1955-05-01,M,DE,central_bank_policy_rates,3.0,False,False
83,1955-06-01,M,DE,central_bank_policy_rates,3.0,False,False
84,1955-07-01,M,DE,central_bank_policy_rates,3.0,False,False
85,1955-08-01,M,DE,central_bank_policy_rates,3.5,False,False
86,1955-09-01,M,DE,central_bank_policy_rates,3.5,False,False
87,1955-10-01,M,DE,central_bank_policy_rates,3.5,False,False
88,1955-11-01,M,DE,central_bank_policy_rates,3.5,False,False
89,1955-12-01,M,DE,central_bank_policy_rates,3.5,False,False
90,1956-01-01,M,DE,central_bank_policy_rates,3.5,False,False
91,1956-02-01,M,DE,central_bank_policy_rates,3.5,False,False
92,1956-03-01,M,DE,central_bank_policy_rates,4.5,False,False
93,1956-04-01,M,DE,central_bank_policy_rates,4.5,False,False
94,1956-05-01,M,DE,central_bank_policy_rates,5.5,False,False
95,1956-06-01,M,DE,central_bank_policy_rates,5.5,False,False
96,1956-07-01,M,DE,central_bank_policy_rates,5.5,False,False
97,1956-08-01,M,DE,central_bank_policy_rates,5.5,False,False
98,1956-09-01,M,DE,central_bank_policy_rates,5.0,False,False
99,1956-10-01,M,DE,central_bank_policy_rates,5.0,False,False
100,1956-11-01,M,DE,central_bank_policy_rates,5.0,False,False
101,1956-12-01,M,DE,central_bank_policy_rates,5.0,False,False
102,1957-01-01,M,DE,central_bank_policy_rates,4.5,False,False
103,1957-02-01,M,DE,central_bank_policy_rates,4.5,False,False
104,1957-03-01,M,DE,central_bank_policy_rates,4.5,False,False
105,1957-04-01,M,DE,central_bank_policy_rates,4.5,False,False
106,1957-05-01,M,DE,central_bank_policy_rates,4.5,False,False
107,1957-06-01,M,DE,central_bank_policy_rates,4.5,False,False
108,1957-07-01,M,DE,central_bank_policy_rates,4.5,False,False
109,1957-08-01,M,DE,central_bank_policy_rates,4.5,False,False
110,1957-09-01,M,DE,central_bank_policy_rates,4.0,False,False
111,1957-10-01,M,DE,central_bank_policy_rates,4.0,False,False
112,1957-11-01,M,DE,central_bank_policy_rates,4.0,False,False
113,1957-12-01,M,DE,central_bank_policy_rates,4.0,False,False
114,1958-01-01,M,DE,central_bank_policy_rates,3.5,False,False
115,1958-02-01,M,DE,central_bank_policy_rates,3.5,False,False
116,1958-03-01,M,DE,central_bank_policy_rates,3.5,False,False
117,1958-04-01,M,DE,central_bank_policy_rates,3.5,False,False
118,1958-05-01,M,DE,central_bank_policy_rates,3.5,False,False
119,1958-06-01,M,DE,central_bank_policy_rates,3.0,False,False
120,1958-07-01,M,DE,central_bank_policy_rates,3.0,False,False
121,1958-08-01,M,DE,central_bank_policy_rates,3.0,False,False
122,1958-09-01,M,DE,central_bank_policy_rates,3.0,False,False
123,1958-10-01,M,DE,central_bank_policy_rates,3.0,False,False
124,1958-11-01,M,DE,central_bank_policy_rates,3.0,False,False
125,1958-12-01,M,DE,central_bank_policy_rates,3.0,False,False
126,1959-01-01,M,DE,central_bank_policy_rates,2.75,False,False
127,1959-02-01,M,DE,central_bank_policy_rates,2.75,False,False
128,1959-03-01,M,DE,central_bank_policy_rates,2.75,False,False
129,1959-04-01,M,DE,central_bank_policy_rates,2.75,False,False
130,1959-05-01,M,DE,central_bank_policy_rates,2.75,False,False
131,1959-06-01,M,DE,central_bank_policy_rates,2.75,False,False
132,1959-07-01,M,DE,central_bank_policy_rates,2.75,False,False
133,1959-08-01,M,DE,central_bank_policy_rates,2.75,False,False
