,TIME_PERIOD,FREQ,COUNTRY,INDICATOR,value,missing,anomaly
0,1954-07-01,M,US,central_bank_policy_rates,0.25,False,False
1,1954-08-01,M,US,central_bank_policy_rates,1.44,False,True
2,1954-09-01,M,US,central_bank_policy_rates,1.44,False,False
3,1954-10-01,M,US,central_bank_policy_rates,1.13,False,False
4,1954-11-01,M,US,central_bank_policy_rates,1.38,False,False
5,1954-12-01,M,US,central_bank_policy_rates,1.44,False,False
6,1955-01-01,M,US,central_bank_policy_rates,1.44,False,False
7,1955-02-01,M,US,central_bank_policy_rates,1.44,False,False
8,1955-03-01,M,US,central_bank_policy_rates,1.44,False,False
9,1955-04-01,M,US,central_bank_policy_rates,1.69,False,False
10,1955-05-01,M,US,central_bank_policy_rates,1.69,False,False
11,1955-06-01,M,US,central_bank_policy_rates,1.69,False,False
12,1955-07-01,M,US,central_bank_policy_rates,1.75,False,False
13,1955-08-01,M,US,central_bank_policy_rates,2.0,False,False
14,1955-09-01,M,US,central_bank_policy_rates,2.19,False,False
15,1955-10-01,M,US,central_bank_policy_rates,2.25,False,False
16,1955-11-01,M,US,central_bank_policy_rates,2.44,False,False
17,1955-12-01,M,US,central_bank_policy_rates,2.5,False,False
18,1956-01-01,M,US,central_bank_policy_rates,2.5,False,False
19,1956-02-01,M,US,central_bank_policy_rates,2.5,False,False
20,1956-03-01,M,US,central_bank_policy_rates,2.5,False,False
21,1956-04-01,M,US,central_bank_policy_rates,2.75,False,False
22,1956-05-01,M,US,central_bank_policy_rates,2.75,False,False
23,1956-06-01,M,US,central_bank_policy_rates,2.75,False,False
24,1956-07-01,M,US,central_bank_policy_rates,2.69,False,False
25,1956-08-01,M,US,central_bank_policy_rates,3.0,False,False
26,1956-09-01,M,US,central_bank_policy_rates,3.0,False,False
27,1956-10-01,M,US,central_bank_policy_rates,3.0,False,False
28,1956-11-01,M,US,central_bank_policy_rates,3.0,False,False
29,1956-12-01,M,US,central_bank_policy_rates,3.0,False,False
30,1957-01-01,M,US,central_bank_policy_rates,3.0,False,False
31,1957-02-01,M,US,central_bank_policy_rates,3.0,False,False
32,1957-03-01,M,US,central_bank_policy_rates,2.94,False,False
33,1957-04-01,M,US,central_bank_policy_rates,3.0,False,False
34,1957-05-01,M,US,central_bank_policy_rates,3.0,False,False
35,1957-06-01,M,US,central_bank_policy_rates,3.0,False,False
36,1957-07-01,M,US,central_bank_policy_rates,2.88,False,False
37,1957-08-01,M,US,central_bank_policy_rates,3.5,False,False
38,1957-09-01,M,US,central_bank_policy_rates,3.5,False,False
39,1957-10-01,M,US,central_bank_policy_rates,3.5,False,False
40,1957-11-01,M,US,central_bank_policy_rates,3.0,False,False
41,1957-12-01,M,US,central_bank_policy_rates,3.0,False,False
42,1958-01-01,M,US,central_bank_policy_rates,1.5,False,False
43,1958-02-01,M,US,central_bank_policy_rates,0.5,False,True
44,1958-03-01,M,US,central_bank_policy_rates,0.5,False,False
45,1958-04-01,M,US,central_bank_policy_rates,0.25,False,False
46,1958-05-01,M,US,central_bank_policy_rates,0.13,False,False
47,1958-06-01,M,US,central_bank_policy_rates,0.5,False,True
48,1958-07-01,M,US,central_bank_policy_rates,0.38,False,False
49,1958-08-01,M,US,central_bank_policy_rates,1.75,False,True
50,1958-09-01,M,US,central_bank_policy_rates,1.5,False,False
51,1958-10-01,M,US,central_bank_policy_rates,2.0,False,False
52,1958-11-01,M,US,central_bank_policy_rates,2.5,False,False
53,1958-12-01,M,US,central_bank_policy_rates,2.38,False,False
54,1959-01-01,M,US,central_bank_policy_rates,2.5,False,False
55,1959-02-01,M,US,central_bank_policy_rates,2.5,False,False
56,1959-03-01,M,US,central_bank_policy_rates,3.0,False,False
57,1959-04-01,M,US,central_bank_policy_rates,3.0,False,False
58,1959-05-01,M,US,central_bank_policy_rates,3.25,False,False
59,1959-06-01,M,US,central_bank_policy_rates,3.0,False,False
60,1959-07-01,M,US,central_bank_policy_rates,3.5,False,False
61,1959-08-01,M,US,central_bank_policy_rates,3.5,False,False
62,1959-09-01,M,US,central_bank_policy_rates,3.0,False,False
63,1959-10-01,M,US,central_bank_policy_rates,4.0,False,False
64,1959-11-01,M,US,central_bank_policy_rates,4.0,False,False
65,1959-12-01,M,US,central_bank_policy_rates,4.0,False,False
66,1960-01-01,M,US,central_bank_policy_rates,4.0,False,False
67,1960-02-01,M,US,central_bank_policy_rates,4.0,False,False
68,1960-03-01,M,US,central_bank_policy_rates,4.0,False,False
69,1960-04-01,M,US,central_bank_policy_rates,4.0,False,False
70,1960-05-01,M,US,central_bank_policy_rates,3.5,False,False
71,1960-06-01,M,US,central_bank_policy_rates,3.5,False,False
72,1960-07-01,M,US,central_bank_policy_rates,3.25,False,False
73,1960-08-01,M,US,central_bank_policy_rates,3.0,False,False
74,1960-09-01,M,US,central_bank_policy_rates,3.0,False,False
75,1960-10-01,M,US,central_bank_policy_rates,2.75,False,False
76,1960-11-01,M,US,central_bank_policy_rates,0.25,False,True
77,1960-12-01,M,US,central_bank_policy_rates,3.0,False,True
78,1961-01-01,M,US,central_bank_policy_rates,2.25,False,False
79,1961-02-01,M,US,central_bank_policy_rates,2.0,False,False
80,1961-03-01,M,US,central_bank_policy_rates,2.0,False,False
81,1961-04-01,M,US,central_bank_policy_rates,0.5,False,True
82,1961-05-01,M,US,central_bank_policy_rates,1.0,False,True
83,1961-06-01,M,US,central_bank_policy_rates,0.5,False,False
84,1961-07-01,M,US,central_bank_policy_rates,2.5,False,True
85,1961-08-01,M,US,central_bank_policy_rates,1.75,False,False
86,1961-09-01,M,US,central_bank_policy_rates,1.5,False,False
87,1961-10-01,M,US,central_bank_policy_rates,2.0,False,False
88,1961-11-01,M,US,central_bank_policy_rates,1.75,False,False
89,1961-12-01,M,US,central_bank_policy_rates,2.5,False,False
90,1962-01-01,M,US,central_bank_policy_rates,1.5,False,False
91,1962-02-01,M,US,central_bank_policy_rates,2.75,False,True
92,1962-03-01,M,US,central_bank_policy_rates,2.75,False,False
93,1962-04-01,M,US,central_bank_policy_rates,2.5,False,False
94,1962-05-01,M,US,central_bank_policy_rates,2.75,False,False
95,1962-06-01,M,US,central_bank_policy_rates,2.75,False,False
96,1962-07-01,M,US,central_bank_policy_rates,2.75,False,False
97,1962-08-01,M,US,central_bank_policy_rates,3.0,False,False
98,1962-09-01,M,US,central_bank_policy_rates,2.75,False,False
99,1962-10-01,M,US,central_bank_policy_rates,3.0,False,False
100,1962-11-01,M,US,central_bank_policy_rates,2.88,False,False
101,1962-12-01,M,US,central_bank_policy_rates,3.0,False,False
102,1963-01-01,M,US,central_bank_policy_rates,3.0,False,False
103,1963-02-01,M,US,central_bank_policy_rates,3.0,False,False
104,1963-03-01,M,US,central_bank_policy_rates,3.0,False,False
105,1963-04-01,M,US,central_bank_policy_rates,3.0,False,False
106,1963-05-01,M,US,central_bank_policy_rates,3.0,False,False
107,1963-06-01,M,US,central_bank_policy_rates,3.0,False,False
108,1963-07-01,M,US,central_bank_policy_rates,3.5,False,False
109,1963-08-01,M,US,central_bank_policy_rates,3.5,False,False
110,1963-09-01,M,US,central_bank_policy_rates,3.5,False,False
111,1963-10-01,M,US,central_bank_policy_rates,3.5,False,False
112,1963-11-01,M,US,central_bank_policy_rates,3.5,False,False
113,1963-12-01,M,US,central_bank_policy_rates,3.25,False,False
114,1964-01-01,M,US,central_bank_policy_rates,3.5,False,False
115,1964-02-01,M,US,central_bank_policy_rates,3.5,False,False
116,1964-03-01,M,US,central_bank_policy_rates,3.5,False,False
117,1964-04-01,M,US,central_bank_policy_rates,3.5,False,False
118,1964-05-01,M,US,central_bank_policy_rates,3.5,False,False
119,1964-06-01,M,US,central_bank_policy_rates,3.5,False,False
120,1964-07-01,M,US,central_bank_policy_rates,3.5,False,False
121,1964-08-01,M,US,central_bank_policy_rates,3.5,False,False
122,1964-09-01,M,US,central_bank_policy_rates,2.75,False,False
123,1964-10-01,M,US,central_bank_policy_rates,3.5,False,False
124,1964-11-01,M,US,central_bank_policy_rates,4.0,False,False
125,1964-12-01,M,US,central_bank_policy_rates,4.0,False,False
126,1965-01-01,M,US,central_bank_policy_rates,4.0,False,False
127,1965-02-01,M,US,central_bank_policy_rates,4.0,False,False
128,1965-03-01,M,US,central_bank_policy_rates,4.0,False,False
