,TIME_PERIOD,FREQ,COUNTRY,INDICATOR,value,missing,anomaly
0,1953-09-01,M,DE,central_bank_total_assets,4.1413696561978,False,False
1,1953-10-01,M,DE,central_bank_total_assets,4.121753932545,False,False
2,1953-11-01,M,DE,central_bank_total_assets,4.1658893107638,False,False
3,1953-12-01,M,DE,central_bank_total_assets,4.4797408892087,False,False
4,1954-01-01,M,DE,central_bank_total_assets,4.1193019670884,False,False
5,1954-02-01,M,DE,central_bank_total_assets,4.2026687926128,False,False
6,1954-03-01,M,DE,central_bank_total_assets,4.2492561362882,False,False
7,1954-04-01,M,DE,central_bank_total_assets,4.2271884471788,False,False
8,1954-05-01,M,DE,central_bank_total_assets,4.256612032658,False,False
9,1954-06-01,M,DE,central_bank_total_assets,4.3326229618127,False,False
10,1954-07-01,M,DE,central_bank_total_assets,4.3198664915055,False,False
11,1954-08-01,M,DE,central_bank_total_assets,4.3866206713442,False,False
12,1954-09-01,M,DE,central_bank_total_assets,4.3230385786525,False,False
13,1954-10-01,M,DE,central_bank_total_assets,4.3976314507657,False,False
14,1954-11-01,M,DE,central_bank_total_assets,4.4086338909673,False,False
15,1954-12-01,M,DE,central_bank_total_assets,4.820793069207,False,False
16,1955-01-01,M,DE,central_bank_total_assets,4.3909466770854,False,False
17,1955-02-01,M,DE,central_bank_total_assets,4.475371585572,False,False
18,1955-03-01,M,DE,central_bank_total_assets,4.685699790388,False,False
19,1955-04-01,M,DE,central_bank_total_assets,4.5594992035344,False,False
20,1955-05-01,M,DE,central_bank_total_assets,4.5543491876771,False,False
21,1955-06-01,M,DE,central_bank_total_assets,4.7269085286078,False,False
22,1955-07-01,M,DE,central_bank_total_assets,4.8263150110482,False,False
23,1955-08-01,M,DE,central_bank_total_assets,4.7769864454598,False,False
24,1955-09-01,M,DE,central_bank_total_assets,5.0305121755993,False,False
25,1955-10-01,M,DE,central_bank_total_assets,5.1085707452947,False,False
26,1955-11-01,M,DE,central_bank_total_assets,5.2233975387088,False,False
27,1955-12-01,M,DE,central_bank_total_assets,5.6338422470825,False,False
28,1956-01-01,M,DE,central_bank_total_assets,5.5015230313332,False,False
29,1956-02-01,M,DE,central_bank_total_assets,5.6939771439573,False,False
30,1956-03-01,M,DE,central_bank_total_assets,5.7817755369864,False,False
31,1956-04-01,M,DE,central_bank_total_assets,5.8271274717187,False,False
32,1956-05-01,M,DE,central_bank_total_assets,5.840705497068,False,False
33,1956-06-01,M,DE,central_bank_total_assets,5.9569788570474,False,False
34,1956-07-01,M,DE,central_bank_total_assets,6.0103879531835,False,False
35,1956-08-01,M,DE,central_bank_total_assets,5.9756994774792,False,False
36,1956-09-01,M,DE,central_bank_total_assets,6.185094726662,False,False
37,1956-10-01,M,DE,central_bank_total_assets,6.0924646003687,False,False
38,1956-11-01,M,DE,central_bank_total_assets,6.1917641305535,False,False
39,1956-12-01,M,DE,central_bank_total_assets,6.4827061814571,False,False
40,1957-01-01,M,DE,central_bank_total_assets,6.1946426359681,False,False
41,1957-02-01,M,DE,central_bank_total_assets,6.3189100106817,False,False
42,1957-03-01,M,DE,central_bank_total_assets,6.4183350741282,False,False
43,1957-04-01,M,DE,central_bank_total_assets,6.5022786508885,False,False
44,1957-05-01,M,DE,central_bank_total_assets,6.701760486985,False,False
45,1957-06-01,M,DE,central_bank_total_assets,6.9937932095042,False,False
46,1957-07-01,M,DE,central_bank_total_assets,7.0305639414154,False,False
47,1957-08-01,M,DE,central_bank_total_assets,6.9817020703984,False,False
