,TIME_PERIOD,FREQ,COUNTRY,INDICATOR,value,missing,anomaly
0,1955-08-01,M,IT,central_bank_total_assets,3.6202099988548,False,False
1,1955-09-01,M,IT,central_bank_total_assets,3.7269851319224,False,False
2,1955-10-01,M,IT,central_bank_total_assets,3.7215412558971,False,False
3,1955-11-01,M,IT,central_bank_total_assets,3.7795538296744,False,False
4,1955-12-01,M,IT,central_bank_total_assets,3.9163042479453,False,False
5,1956-01-01,M,IT,central_bank_total_assets,3.9098111317431,False,False
6,1956-02-01,M,IT,central_bank_total_assets,3.7804790268267,False,False
7,1956-03-01,M,IT,central_bank_total_assets,3.8057298411313,False,False
8,1956-04-01,M,IT,central_bank_total_assets,3.7511508966516,False,False
9,1956-05-01,M,IT,central_bank_total_assets,3.7646631144667,False,False
10,1956-06-01,M,IT,central_bank_total_assets,3.7152256994343,False,False
11,1956-07-01,M,IT,central_bank_total_assets,3.831554205585,False,False
12,1956-08-01,M,IT,central_bank_total_assets,3.8833027488066,False,False
13,1956-09-01,M,IT,central_bank_total_assets,3.9873897657231,False,False
14,1956-10-01,M,IT,central_bank_total_assets,3.941024989959,False,False
15,1956-11-01,M,IT,central_bank_total_assets,3.9680996072476,False,False
16,1956-12-01,M,IT,central_bank_total_assets,4.1909744255273,False,False
17,1957-01-01,M,IT,central_bank_total_assets,4.0750645427567,False,False
18,1957-02-01,M,IT,central_bank_total_assets,3.9774242021888,False,False
19,1957-03-01,M,IT,central_bank_total_assets,4.0255118029199,False,False
20,1957-04-01,M,IT,central_bank_total_assets,4.05321935102,False,False
21,1957-05-01,M,IT,central_bank_total_assets,4.0372338080867,False,False
22,1957-06-01,M,IT,central_bank_total_assets,4.0911792008978,False,False
23,1957-07-01,M,IT,central_bank_total_assets,4.2186238212231,False,False
24,1957-08-01,M,IT,central_bank_total_assets,4.1952515632951,False,False
25,1957-09-01,M,IT,central_bank_total_assets,4.255344903562,False,False
26,1957-10-01,M,IT,central_bank_total_assets,4.1803224995777,False,False
27,1957-11-01,M,IT,central_bank_total_assets,4.279950867516,False,False
28,1957-12-01,M,IT,central_bank_total_assets,4.4941111757385,False,False
29,1958-01-01,M,IT,central_bank_total_assets,4.4803866212448,False,False
30,1958-02-01,M,IT,central_bank_total_assets,4.4733905918627,False,False
31,1958-03-01,M,IT,central_bank_total_assets,4.570411232909,False,False
32,1958-04-01,M,IT,central_bank_total_assets,4.4991996984243,False,False
33,1958-05-01,M,IT,central_bank_total_assets,4.6073375605018,False,False
34,1958-06-01,M,IT,central_bank_total_assets,4.7109221087808,False,False
35,1958-07-01,M,IT,central_bank_total_assets,4.9534622812456,False,False
36,1958-08-01,M,IT,central_bank_total_assets,4.8831963381924,False,False
37,1958-09-01,M,IT,central_bank_total_assets,4.9718752850876,False,False
38,1958-10-01,M,IT,central_bank_total_assets,4.9308658228844,False,False
39,1958-11-01,M,IT,central_bank_total_assets,5.0192274532464,False,False
40,1958-12-01,M,IT,central_bank_total_assets,5.2422422644602,False,False
41,1959-01-01,M,IT,central_bank_total_assets,5.2570284004745,False,False
42,1959-02-01,M,IT,central_bank_total_assets,5.1539281590922,False,False
43,1959-03-01,M,IT,central_bank_total_assets,5.1930926507383,False,False
44,1959-04-01,M,IT,central_bank_total_assets,5.2308816515408,False,False
45,1959-05-01,M,IT,central_bank_total_assets,5.2863902511038,False,False
46,1959-06-01,M,IT,central_bank_total_assets,5.4366821662062,False,False
47,1959-07-01,M,IT,central_bank_total_assets,5.5226911295265,False,False
48,1959-08-01,M,IT,central_bank_total_assets,5.6346127534065,False,False
49,1959-09-01,M,IT,central_bank_total_assets,5.6527984961807,False,False
50,1959-10-01,M,IT,central_bank_total_assets,5.8979643063955,False,False
51,1959-11-01,M,IT,central_bank_total_assets,5.9067377848427,False,False
52,1959-12-01,M,IT,central_bank_total_assets,5.9096107211562,False,False
53,1960-01-01,M,IT,central_bank_total_assets,5.8767901110428,False,False
54,1960-02-01,M,IT,central_bank_total_assets,5.918445122576,False,False
55,1960-03-01,M,IT,central_bank_total_assets,5.7985005951169,False,False
56,1960-04-01,M,IT,central_bank_total_assets,5.8151827668468,False,False
57,1960-05-01,M,IT,central_bank_total_assets,5.7850480786686,False,False
58,1960-06-01,M,IT,central_bank_total_assets,5.91275413863,False,False
59,1960-07-01,M,IT,central_bank_total_assets,5.9317939036513,False,False
60,1960-08-01,M,IT,central_bank_total_assets,6.0188320823194,False,False
61,1960-09-01,M,IT,central_bank_total_assets,6.0095659950645,False,False
62,1960-10-01,M,IT,central_bank_total_assets,6.0259114061014,False,False
63,1960-11-01,M,IT,central_bank_total_assets,5.8914563784086,False,False
64,1960-12-01,M,IT,central_bank_total_assets,5.9971702259974,False,False
65,1961-01-01,M,IT,central_bank_total_assets,5.9593672526856,False,False
66,1961-02-01,M,IT,central_bank_total_assets,5.9237226797477,False,False
67,1961-03-01,M,IT,central_bank_total_assets,5.8529026358547,False,False
68,1961-04-01,M,IT,central_bank_total_assets,5.8868282436005,False,False
69,1961-05-01,M,IT,central_bank_total_assets,5.9046561876877,False,False
70,1961-06-01,M,IT,central_bank_total_assets,6.0013725642314,False,False
71,1961-07-01,M,IT,central_bank_total_assets,6.2092650301739,False,False
72,1961-08-01,M,IT,central_bank_total_assets,6.3156247574706,False,False
73,1961-09-01,M,IT,central_bank_total_assets,6.3571826328735,False,False
74,1961-10-01,M,IT,central_bank_total_assets,6.4472558927266,False,False
75,1961-11-01,M,IT,central_bank_total_assets,6.5057918332846,False,False
76,1961-12-01,M,IT,central_bank_total_assets,6.8101067799737,False,False
77,1962-01-01,M,IT,central_bank_total_assets,6.6865857908091,False,False
78,1962-02-01,M,IT,central_bank_total_assets,6.6196215826372,False,False
79,1962-03-01,M,IT,central_bank_total_assets,6.5880437837617,False,False
80,1962-04-01,M,IT,central_bank_total_assets,6.6404058795502,False,False
81,1962-05-01,M,IT,central_bank_total_assets,6.6459745217745,False,False
82,1962-06-01,M,IT,central_bank_total_assets,6.9067841875805,False,False
83,1962-07-01,M,IT,central_bank_total_assets,6.8516729924276,False,False
84,1962-08-01,M,IT,central_bank_total_assets,7.1139364982258,False,False
85,1962-09-01,M,IT,central_bank_total_assets,7.1958986716376,False,False
86,1962-10-01,M,IT,central_bank_total_assets,7.2986216451065,False,False
87,1962-11-01,M,IT,central_bank_total_assets,7.5679537340202,False,False
88,1962-12-01,M,IT,central_bank_total_assets,8.1163068481399,False,False
89,1963-01-01,M,IT,central_bank_total_assets,7.6893185217871,False,False
90,1963-02-01,M,IT,central_bank_total_assets,7.8610711487025,False,False
91,1963-03-01,M,IT,central_bank_total_assets,7.7231673810644,False,False
92,1963-04-01,M,IT,central_bank_total_assets,7.8211981183626,False,False
93,1963-05-01,M,IT,central_bank_total_assets,7.7166938704203,False,False
94,1963-06-01,M,IT,central_bank_total_assets,8.1700679678261,False,False
95,1963-07-01,M,IT,central_bank_total_assets,8.0394310527824,False,False
96,1963-08-01,M,IT,central_bank_total_assets,8.1777187253195,False,False
97,1963-09-01,M,IT,central_bank_total_assets,8.1083206636571,False,False
98,1963-10-01,M,IT,central_bank_total_assets,8.1380565275684,False,False
99,1963-11-01,M,IT,central_bank_total_assets,8.170615732604,False,False
100,1963-12-01,M,IT,central_bank_total_assets,8.9467574854788,False,False
101,1964-01-01,M,IT,central_bank_total_assets,8.4658652924221,False,False
102,1964-02-01,M,IT,central_bank_total_assets,8.3482347624981,False,False
103,1964-03-01,M,IT,central_bank_total_assets,8.7296613982995,False,False
104,1964-04-01,M,IT,central_bank_total_assets,8.4716114336948,False,False
105,1964-05-01,M,IT,central_bank_total_assets,8.5764770144897,False,False
106,1964-06-01,M,IT,central_bank_total_assets,8.878935787939,False,False
107,1964-07-01,M,IT,central_bank_total_assets,8.6941731822389,False,False
108,1964-08-01,M,IT,central_bank_total_assets,8.7205587908528,False,False
109,1964-09-01,M,IT,central_bank_total_assets,8.8263426576841,False,False
110,1964-10-01,M,IT,central_bank_total_assets,8.8592422046992,False,False
111,1964-11-01,M,IT,central_bank_total_assets,9.0497634998956,False,False
112,1964-12-01,M,IT,central_bank_total_assets,9.8618942181454,False,False
113,1965-01-01,M,IT,central_bank_total_assets,9.6269683867257,False,False
114,1965-02-01,M,IT,central_bank_total_assets,9.3139738642705,False,False
115,1965-03-01,M,IT,central_bank_total_assets,9.2176108064194,False,False
116,1965-04-01,M,IT,central_bank_total_assets,9.1372819721396,False,False
117,1965-05-01,M,IT,central_bank_total_assets,9.1264763930734,False,False
118,1965-06-01,M,IT,central_bank_total_assets,9.3679953306679,False,False
119,1965-07-01,M,IT,central_bank_total_assets,9.2646108373275,False,False
120,1965-08-01,M,IT,central_bank_total_assets,9.1780480367138,False,False
121,1965-09-01,M,IT,central_bank_total_assets,9.2383931155373,False,False
122,1965-10-01,M,IT,central_bank_total_assets,9.1746901428479,False,False
123,1965-11-01,M,IT,central_bank_total_assets,9.3610668174709,False,False
124,1965-12-01,M,IT,central_bank_total_assets,10.390929443912,False,False
125,1966-01-01,M,IT,central_bank_total_assets,10.104927288267,False,False
126,1966-02-01,M,IT,central_bank_total_assets,9.819583912227,False,False
127,1966-03-01,M,IT,central_bank_total_assets,9.8292254887216,False,False
128,1966-04-01,M,IT,central_bank_total_assets,9.8225145598903,False,False
129,1966-05-01,M,IT,central_bank_total_assets,9.8648488942493,False,False
130,1966-06-01,M,IT,central_bank_total_assets,10.303218623879,False,False
131,1966-07-01,M,IT,central_bank_total_assets,10.504671028966,False,False
132,1966-08-01,M,IT,central_bank_total_assets,10.453540581276,False,False
133,1966-09-01,M,IT,central_bank_total_assets,10.382017077177,False,False
134,1966-10-01,M,IT,central_bank_total_assets,10.212662144706,False,False
135,1966-11-01,M,IT,central_bank_total_assets,10.270721109674,False,False
136,1966-12-01,M,IT,central_bank_total_assets,11.347801915765,False,False
137,1967-01-01,M,IT,central_bank_total_assets,10.784472623269,False,False
138,1967-02-01,M,IT,central_bank_total_assets,10.454505948349,False,False
139,1967-03-01,M,IT,central_bank_total_assets,10.523456850168,False,False
140,1967-04-01,M,IT,central_bank_total_assets,10.563886181972,False,False
141,1967-05-01,M,IT,central_bank_total_assets,10.787261738316,False,False
142,1967-06-01,M,IT,central_bank_total_assets,11.249762060226,False,False
143,1967-07-01,M,IT,central_bank_total_assets,11.352783831479,False,False
