,TIME_PERIOD,FREQUENCY,INDICATOR,value,missing,anomaly
0,1967-01-07,W,continued_claims_insured_unemployment,1134000.0,False,False
1,1967-01-14,W,continued_claims_insured_unemployment,1119000.0,False,False
2,1967-01-21,W,continued_claims_insured_unemployment,1119000.0,False,False
3,1967-01-28,W,continued_claims_insured_unemployment,1103000.0,False,False
4,1967-02-04,W,continued_claims_insured_unemployment,1131000.0,False,False
5,1967-02-11,W,continued_claims_insured_unemployment,1153000.0,False,False
6,1967-02-18,W,continued_claims_insured_unemployment,1167000.0,False,False
7,1967-02-25,W,continued_claims_insured_unemployment,1199000.0,False,False
8,1967-03-04,W,continued_claims_insured_unemployment,1235000.0,False,False
9,1967-03-11,W,continued_claims_insured_unemployment,1234000.0,False,False
10,1967-03-18,W,continued_claims_insured_unemployment,1236000.0,False,False
11,1967-03-25,W,continued_claims_insured_unemployment,1268000.0,False,False
12,1967-04-01,W,continued_claims_insured_unemployment,1291000.0,False,False
13,1967-04-08,W,continued_claims_insured_unemployment,1273000.0,False,False
14,1967-04-15,W,continued_claims_insured_unemployment,1278000.0,False,False
15,1967-04-22,W,continued_claims_insured_unemployment,1277000.0,False,False
16,1967-04-29,W,continued_claims_insured_unemployment,1286000.0,False,False
17,1967-05-06,W,continued_claims_insured_unemployment,1308000.0,False,False
18,1967-05-13,W,continued_claims_insured_unemployment,1284000.0,False,False
19,1967-05-20,W,continued_claims_insured_unemployment,1265000.0,False,False
20,1967-05-27,W,continued_claims_insured_unemployment,1253000.0,False,False
21,1967-06-03,W,continued_claims_insured_unemployment,1265000.0,False,False
22,1967-06-10,W,continued_claims_insured_unemployment,1251000.0,False,False
23,1967-06-17,W,continued_claims_insured_unemployment,1248000.0,False,False
24,1967-06-24,W,continued_claims_insured_unemployment,1220000.0,False,False
25,1967-07-01,W,continued_claims_insured_unemployment,1193000.0,False,False
26,1967-07-08,W,continued_claims_insured_unemployment,1248000.0,False,False
