,TIME_PERIOD,FREQUENCY,INDICATOR,value,missing,anomaly
0,2000-07-03,D,effective_federal_funds_rate,7.03,False,False
1,2000-07-04,D,effective_federal_funds_rate,,True,True
2,2000-07-05,D,effective_federal_funds_rate,6.52,False,False
3,2000-07-06,D,effective_federal_funds_rate,6.51,False,False
4,2000-07-07,D,effective_federal_funds_rate,6.42,False,False
5,2000-07-10,D,effective_federal_funds_rate,6.51,False,False
6,2000-07-11,D,effective_federal_funds_rate,6.39,False,False
7,2000-07-12,D,effective_federal_funds_rate,6.38,False,False
8,2000-07-13,D,effective_federal_funds_rate,6.5,False,False
9,2000-07-14,D,effective_federal_funds_rate,6.51,False,False
10,2000-07-17,D,effective_federal_funds_rate,6.58,False,False
11,2000-07-18,D,effective_federal_funds_rate,6.47,False,False
12,2000-07-19,D,effective_federal_funds_rate,6.45,False,False
13,2000-07-20,D,effective_federal_funds_rate,6.52,False,False
14,2000-07-21,D,effective_federal_funds_rate,6.51,False,False
15,2000-07-24,D,effective_federal_funds_rate,6.52,False,False
16,2000-07-25,D,effective_federal_funds_rate,6.46,False,False
17,2000-07-26,D,effective_federal_funds_rate,6.49,False,False
18,2000-07-27,D,effective_federal_funds_rate,6.52,False,False
19,2000-07-28,D,effective_federal_funds_rate,6.44,False,False
20,2000-07-31,D,effective_federal_funds_rate,6.64,False,False
21,2000-08-01,D,effective_federal_funds_rate,6.51,False,False
22,2000-08-02,D,effective_federal_funds_rate,6.42,False,False
23,2000-08-03,D,effective_federal_funds_rate,6.45,False,False
24,2000-08-04,D,effective_federal_funds_rate,6.44,False,False
25,2000-08-07,D,effective_federal_funds_rate,6.46,False,False
26,2000-08-08,D,effective_federal_funds_rate,6.44,False,False
27,2000-08-09,D,effective_federal_funds_rate,6.48,False,False
28,2000-08-10,D,effective_federal_funds_rate,6.52,False,False
29,2000-08-11,D,effective_federal_funds_rate,6.5,False,False
30,2000-08-14,D,effective_federal_funds_rate,6.58,False,False
31,2000-08-15,D,effective_federal_funds_rate,6.63,False,False
32,2000-08-16,D,effective_federal_funds_rate,6.48,False,False
33,2000-08-17,D,effective_federal_funds_rate,6.47,False,False
34,2000-08-18,D,effective_federal_funds_rate,6.44,False,False
35,2000-08-21,D,effective_federal_funds_rate,6.48,False,False
36,2000-08-22,D,effective_federal_funds_rate,6.42,False,False
37,2000-08-23,D,effective_federal_funds_rate,6.5,False,False
38,2000-08-24,D,effective_federal_funds_rate,6.56,False,False
39,2000-08-25,D,effective_federal_funds_rate,6.54,False,False
40,2000-08-28,D,effective_federal_funds_rate,6.57,False,False
