,TIME_PERIOD,FREQUENCY,INDICATOR,value,missing,anomaly
0,2020-01-01,MS,employment_population_ratio,61.1,False,False
1,2020-02-01,MS,employment_population_ratio,61.1,False,False
2,2020-03-01,MS,employment_population_ratio,59.8,False,False
3,2020-04-01,MS,employment_population_ratio,51.2,False,False
4,2020-05-01,MS,employment_population_ratio,52.7,False,False
5,2020-06-01,MS,employment_population_ratio,54.7,False,False
6,2020-07-01,MS,employment_population_ratio,55.2,False,False
7,2020-08-01,MS,employment_population_ratio,56.5,False,False
8,2020-09-01,MS,employment_population_ratio,56.6,False,False
9,2020-10-01,MS,employment_population_ratio,57.5,False,False
10,2020-11-01,MS,employment_population_ratio,57.4,False,False
11,2020-12-01,MS,employment_population_ratio,57.4,False,False
12,2021-01-01,MS,employment_population_ratio,57.4,False,False
13,2021-02-01,MS,employment_population_ratio,57.6,False,False
14,2021-03-01,MS,employment_population_ratio,57.7,False,False
15,2021-04-01,MS,employment_population_ratio,57.9,False,False
16,2021-05-01,MS,employment_population_ratio,58.0,False,False
17,2021-06-01,MS,employment_population_ratio,58.1,False,False
18,2021-07-01,MS,employment_population_ratio,58.4,False,False
19,2021-08-01,MS,employment_population_ratio,58.6,False,False
20,2021-09-01,MS,employment_population_ratio,58.8,False,False
21,2021-10-01,MS,employment_population_ratio,59.0,False,False
22,2021-11-01,MS,employment_population_ratio,59.4,False,False
23,2021-12-01,MS,employment_population_ratio,59.5,False,False
24,2022-01-01,MS,employment_population_ratio,59.7,False,False
25,2022-02-01,MS,employment_population_ratio,59.8,False,False
26,2022-03-01,MS,employment_population_ratio,60.1,False,False
27,2022-04-01,MS,employment_population_ratio,59.9,False,False
28,2022-05-01,MS,employment_population_ratio,60.1,False,False
29,2022-06-01,MS,employment_population_ratio,59.9,False,False
30,2022-07-01,MS,employment_population_ratio,59.9,False,False
31,2022-08-01,MS,employment_population_ratio,60.1,False,False
32,2022-09-01,MS,employment_population_ratio,60.1,False,False
33,2022-10-01,MS,employment_population_ratio,60.0,False,False
34,2022-11-01,MS,employment_population_ratio,59.9,False,False
35,2022-12-01,MS,employment_population_ratio,60.1,False,False
36,2023-01-01,MS,employment_population_ratio,60.2,False,False
37,2023-02-01,MS,employment_population_ratio,60.3,False,False
38,2023-03-01,MS,employment_population_ratio,60.4,False,False
39,2023-04-01,MS,employment_population_ratio,60.4,False,False
40,2023-05-01,MS,employment_population_ratio,60.3,False,False
41,2023-06-01,MS,employment_population_ratio,60.3,False,False
42,2023-07-01,MS,employment_population_ratio,60.4,False,False
43,2023-08-01,MS,employment_population_ratio,60.4,False,False
44,2023-09-01,MS,employment_population_ratio,60.4,False,False
45,2023-10-01,MS,employment_population_ratio,60.2,False,False
46,2023-11-01,MS,employment_population_ratio,60.4,False,False
47,2023-12-01,MS,employment_population_ratio,60.1,False,False
48,2024-01-01,MS,employment_population_ratio,60.2,False,False
49,2024-02-01,MS,employment_population_ratio,60.1,False,False
50,2024-03-01,MS,employment_population_ratio,60.3,False,False
51,2024-04-01,MS,employment_population_ratio,60.2,False,False
52,2024-05-01,MS,employment_population_ratio,60.1,False,False
53,2024-06-01,MS,employment_population_ratio,60.0,False,False
54,2024-07-01,MS,employment_population_ratio,60.0,False,False
55,2024-08-01,MS,employment_population_ratio,60.0,False,False
56,2024-09-01,MS,employment_population_ratio,60.1,False,False
57,2024-10-01,MS,employment_population_ratio,60.0,False,False
58,2024-11-01,MS,employment_population_ratio,59.8,False,False
59,2024-12-01,MS,employment_population_ratio,60.0,False,False
60,2025-01-01,MS,employment_population_ratio,60.1,False,False
61,2025-02-01,MS,employment_population_ratio,59.9,False,False
62,2025-03-01,MS,employment_population_ratio,59.9,False,False
63,2025-04-01,MS,employment_population_ratio,60.0,False,False
64,2025-05-01,MS,employment_population_ratio,59.7,False,False
65,2025-06-01,MS,employment_population_ratio,59.7,False,False
66,2025-07-01,MS,employment_population_ratio,59.6,False,False
67,2025-08-01,MS,employment_population_ratio,59.6,False,False
