,TIME_PERIOD,FREQUENCY,INDICATOR,value,missing,anomaly
0,2001-01-01,A,expenditure_general_government_percent_of_gdp,32.801,False,False
1,2002-01-01,A,expenditure_general_government_percent_of_gdp,33.698,False,False
2,2003-01-01,A,expenditure_general_government_percent_of_gdp,34.037,False,False
3,2004-01-01,A,expenditure_general_government_percent_of_gdp,33.719,False,False
4,2005-01-01,A,expenditure_general_government_percent_of_gdp,33.928,False,False
5,2006-01-01,A,expenditure_general_government_percent_of_gdp,33.692,False,False
6,2007-01-01,A,expenditure_general_government_percent_of_gdp,34.562,False,False
7,2008-01-01,A,expenditure_general_government_percent_of_gdp,37.144,False,False
8,2009-01-01,A,expenditure_general_government_percent_of_gdp,41.399,False,False
9,2010-01-01,A,expenditure_general_government_percent_of_gdp,39.763,False,False
10,2011-01-01,A,expenditure_general_government_percent_of_gdp,38.796,False,False
11,2012-01-01,A,expenditure_general_government_percent_of_gdp,37.223,False,False
12,2013-01-01,A,expenditure_general_government_percent_of_gdp,35.782,False,False
13,2014-01-01,A,expenditure_general_government_percent_of_gdp,35.324,False,False
14,2015-01-01,A,expenditure_general_government_percent_of_gdp,35.031,False,False
15,2016-01-01,A,expenditure_general_government_percent_of_gdp,35.333,False,False
16,2017-01-01,A,expenditure_general_government_percent_of_gdp,35.194,False,False
17,2018-01-01,A,expenditure_general_government_percent_of_gdp,35.349,False,False
18,2019-01-01,A,expenditure_general_government_percent_of_gdp,35.819,False,False
19,2020-01-01,A,expenditure_general_government_percent_of_gdp,44.779,False,False
20,2021-01-01,A,expenditure_general_government_percent_of_gdp,43.218,False,False
21,2022-01-01,A,expenditure_general_government_percent_of_gdp,36.829,False,False
22,2023-01-01,A,expenditure_general_government_percent_of_gdp,37.113,False,False
23,2024-01-01,A,expenditure_general_government_percent_of_gdp,37.593,False,False
24,2025-01-01,A,expenditure_general_government_percent_of_gdp,37.848,False,False
25,2026-01-01,A,expenditure_general_government_percent_of_gdp,38.004,False,False
26,2027-01-01,A,expenditure_general_government_percent_of_gdp,38.107,False,False
27,2028-01-01,A,expenditure_general_government_percent_of_gdp,38.024,False,False
28,2029-01-01,A,expenditure_general_government_percent_of_gdp,37.711,False,False
29,2030-01-01,A,expenditure_general_government_percent_of_gdp,37.862,False,False
