,TIME_PERIOD,FREQUENCY,COUNTRY,INDICATOR,value,missing,anomaly
0,1980-01-01,A,FRA,gross_domestic_product_constant_prices,1223307000000.0,False,False
1,1981-01-01,A,FRA,gross_domestic_product_constant_prices,1237820000000.0,False,False
2,1982-01-01,A,FRA,gross_domestic_product_constant_prices,1267574000000.0,False,False
3,1983-01-01,A,FRA,gross_domestic_product_constant_prices,1283577000000.0,False,False
4,1984-01-01,A,FRA,gross_domestic_product_constant_prices,1305053000000.0,False,False
5,1985-01-01,A,FRA,gross_domestic_product_constant_prices,1326846000000.0,False,False
6,1986-01-01,A,FRA,gross_domestic_product_constant_prices,1357700000000.0,False,False
7,1987-01-01,A,FRA,gross_domestic_product_constant_prices,1392556000000.0,False,False
8,1988-01-01,A,FRA,gross_domestic_product_constant_prices,1457589000000.0,False,False
9,1989-01-01,A,FRA,gross_domestic_product_constant_prices,1524416000000.0,False,False
10,1990-01-01,A,FRA,gross_domestic_product_constant_prices,1566987000000.0,False,False
11,1991-01-01,A,FRA,gross_domestic_product_constant_prices,1587231000000.0,False,False
12,1992-01-01,A,FRA,gross_domestic_product_constant_prices,1609583000000.0,False,False
13,1993-01-01,A,FRA,gross_domestic_product_constant_prices,1602735000000.0,False,False
14,1994-01-01,A,FRA,gross_domestic_product_constant_prices,1641244000000.0,False,False
15,1995-01-01,A,FRA,gross_domestic_product_constant_prices,1681575000000.0,False,False
16,1996-01-01,A,FRA,gross_domestic_product_constant_prices,1704221000000.0,False,False
17,1997-01-01,A,FRA,gross_domestic_product_constant_prices,1747084000000.0,False,False
18,1998-01-01,A,FRA,gross_domestic_product_constant_prices,1807639000000.0,False,False
19,1999-01-01,A,FRA,gross_domestic_product_constant_prices,1866581000000.0,False,False
20,2000-01-01,A,FRA,gross_domestic_product_constant_prices,1948031000000.0,False,False
21,2001-01-01,A,FRA,gross_domestic_product_constant_prices,1983999000000.0,False,False
22,2002-01-01,A,FRA,gross_domestic_product_constant_prices,2006220000000.0,False,False
23,2003-01-01,A,FRA,gross_domestic_product_constant_prices,2026163000000.0,False,False
24,2004-01-01,A,FRA,gross_domestic_product_constant_prices,2077195000000.0,False,False
25,2005-01-01,A,FRA,gross_domestic_product_constant_prices,2118496000000.0,False,False
26,2006-01-01,A,FRA,gross_domestic_product_constant_prices,2180542000000.0,False,False
27,2007-01-01,A,FRA,gross_domestic_product_constant_prices,2234745000000.0,False,False
28,2008-01-01,A,FRA,gross_domestic_product_constant_prices,2240662000000.0,False,False
29,2009-01-01,A,FRA,gross_domestic_product_constant_prices,2179436000000.0,False,False
30,2010-01-01,A,FRA,gross_domestic_product_constant_prices,2219602000000.0,False,False
31,2011-01-01,A,FRA,gross_domestic_product_constant_prices,2274754000000.0,False,False
32,2012-01-01,A,FRA,gross_domestic_product_constant_prices,2279788000000.0,False,False
33,2013-01-01,A,FRA,gross_domestic_product_constant_prices,2300651000000.0,False,False
34,2014-01-01,A,FRA,gross_domestic_product_constant_prices,2324113000000.0,False,False
35,2015-01-01,A,FRA,gross_domestic_product_constant_prices,2347031000000.0,False,False
36,2016-01-01,A,FRA,gross_domestic_product_constant_prices,2364119000000.0,False,False
37,2017-01-01,A,FRA,gross_domestic_product_constant_prices,2418156000000.0,False,False
38,2018-01-01,A,FRA,gross_domestic_product_constant_prices,2456532000000.0,False,False
39,2019-01-01,A,FRA,gross_domestic_product_constant_prices,2507518000000.0,False,False
40,2020-01-01,A,FRA,gross_domestic_product_constant_prices,2317133000000.0,False,False
41,2021-01-01,A,FRA,gross_domestic_product_constant_prices,2475334000000.0,False,False
42,2022-01-01,A,FRA,gross_domestic_product_constant_prices,2540283000000.0,False,False
43,2023-01-01,A,FRA,gross_domestic_product_constant_prices,2568622000000.0,False,False
44,2024-01-01,A,FRA,gross_domestic_product_constant_prices,2596032000000.0,False,False
45,2025-01-01,A,FRA,gross_domestic_product_constant_prices,2612671000000.0,False,False
46,2026-01-01,A,FRA,gross_domestic_product_constant_prices,2639180000000.0,False,False
47,2027-01-01,A,FRA,gross_domestic_product_constant_prices,2670547000000.0,False,False
48,2028-01-01,A,FRA,gross_domestic_product_constant_prices,2704170000000.0,False,False
49,2029-01-01,A,FRA,gross_domestic_product_constant_prices,2736864000000.0,False,False
50,2030-01-01,A,FRA,gross_domestic_product_constant_prices,2769974000000.0,False,False
