,TIME_PERIOD,FREQUENCY,COUNTRY,INDICATOR,value,missing,anomaly
0,1980-01-01,A,USA,gross_domestic_product_constant_prices,7257325000000.0,False,False
1,1981-01-01,A,USA,gross_domestic_product_constant_prices,7441475000000.0,False,False
2,1982-01-01,A,USA,gross_domestic_product_constant_prices,7307300000000.0,False,False
3,1983-01-01,A,USA,gross_domestic_product_constant_prices,7642275000000.0,False,False
4,1984-01-01,A,USA,gross_domestic_product_constant_prices,8195300000000.0,False,False
5,1985-01-01,A,USA,gross_domestic_product_constant_prices,8537000000000.0,False,False
6,1986-01-01,A,USA,gross_domestic_product_constant_prices,8832600000000.0,False,False
7,1987-01-01,A,USA,gross_domestic_product_constant_prices,9137750000000.0,False,False
8,1988-01-01,A,USA,gross_domestic_product_constant_prices,9519425000000.0,False,False
9,1989-01-01,A,USA,gross_domestic_product_constant_prices,9869000000000.0,False,False
10,1990-01-01,A,USA,gross_domestic_product_constant_prices,10055150000000.0,False,False
11,1991-01-01,A,USA,gross_domestic_product_constant_prices,10044225000000.0,False,False
12,1992-01-01,A,USA,gross_domestic_product_constant_prices,10398025000000.0,False,False
13,1993-01-01,A,USA,gross_domestic_product_constant_prices,10684175000000.0,False,False
14,1994-01-01,A,USA,gross_domestic_product_constant_prices,11114650000000.0,False,False
15,1995-01-01,A,USA,gross_domestic_product_constant_prices,11413025000000.0,False,False
16,1996-01-01,A,USA,gross_domestic_product_constant_prices,11843600000000.0,False,False
17,1997-01-01,A,USA,gross_domestic_product_constant_prices,12370300000000.0,False,False
18,1998-01-01,A,USA,gross_domestic_product_constant_prices,12924875000000.0,False,False
19,1999-01-01,A,USA,gross_domestic_product_constant_prices,13543775000000.0,False,False
20,2000-01-01,A,USA,gross_domestic_product_constant_prices,14096025000000.0,False,False
21,2001-01-01,A,USA,gross_domestic_product_constant_prices,14230725000000.0,False,False
22,2002-01-01,A,USA,gross_domestic_product_constant_prices,14472700000000.0,False,False
23,2003-01-01,A,USA,gross_domestic_product_constant_prices,14877325000000.0,False,False
24,2004-01-01,A,USA,gross_domestic_product_constant_prices,15449775000000.0,False,False
25,2005-01-01,A,USA,gross_domestic_product_constant_prices,15987950000000.0,False,False
26,2006-01-01,A,USA,gross_domestic_product_constant_prices,16433150000000.0,False,False
27,2007-01-01,A,USA,gross_domestic_product_constant_prices,16762450000000.0,False,False
28,2008-01-01,A,USA,gross_domestic_product_constant_prices,16781500000000.0,False,False
29,2009-01-01,A,USA,gross_domestic_product_constant_prices,16349125000000.0,False,False
30,2010-01-01,A,USA,gross_domestic_product_constant_prices,16789775000000.0,False,False
31,2011-01-01,A,USA,gross_domestic_product_constant_prices,17052400000000.0,False,False
32,2012-01-01,A,USA,gross_domestic_product_constant_prices,17442775000000.0,False,False
33,2013-01-01,A,USA,gross_domestic_product_constant_prices,17812175000000.0,False,False
34,2014-01-01,A,USA,gross_domestic_product_constant_prices,18261700000000.0,False,False
35,2015-01-01,A,USA,gross_domestic_product_constant_prices,18799600000000.0,False,False
36,2016-01-01,A,USA,gross_domestic_product_constant_prices,19141675000000.0,False,False
37,2017-01-01,A,USA,gross_domestic_product_constant_prices,19612100000000.0,False,False
38,2018-01-01,A,USA,gross_domestic_product_constant_prices,20193925000000.0,False,False
39,2019-01-01,A,USA,gross_domestic_product_constant_prices,20715650000000.0,False,False
40,2020-01-01,A,USA,gross_domestic_product_constant_prices,20267575000000.0,False,False
41,2021-01-01,A,USA,gross_domestic_product_constant_prices,21494800000000.0,False,False
42,2022-01-01,A,USA,gross_domestic_product_constant_prices,22034850000000.0,False,False
43,2023-01-01,A,USA,gross_domestic_product_constant_prices,22671075000000.0,False,False
44,2024-01-01,A,USA,gross_domestic_product_constant_prices,23305000000000.0,False,False
45,2025-01-01,A,USA,gross_domestic_product_constant_prices,23730546000000.0,False,False
46,2026-01-01,A,USA,gross_domestic_product_constant_prices,24144432000000.0,False,False
47,2027-01-01,A,USA,gross_domestic_product_constant_prices,24623122000000.0,False,False
48,2028-01-01,A,USA,gross_domestic_product_constant_prices,25145511000000.0,False,False
49,2029-01-01,A,USA,gross_domestic_product_constant_prices,25678983000000.0,False,False
50,2030-01-01,A,USA,gross_domestic_product_constant_prices,26223773000000.0,False,False
