,TIME_PERIOD,FREQUENCY,COUNTRY,INDICATOR,value,missing,anomaly
0,1980-01-01,A,CAN,inflation_average_consumer_prices,44.037,False,False
1,1981-01-01,A,CAN,inflation_average_consumer_prices,49.525,False,False
2,1982-01-01,A,CAN,inflation_average_consumer_prices,54.876,False,False
3,1983-01-01,A,CAN,inflation_average_consumer_prices,58.067,False,False
4,1984-01-01,A,CAN,inflation_average_consumer_prices,60.587,False,False
5,1985-01-01,A,CAN,inflation_average_consumer_prices,62.98,False,False
6,1986-01-01,A,CAN,inflation_average_consumer_prices,65.609,False,False
7,1987-01-01,A,CAN,inflation_average_consumer_prices,68.473,False,False
8,1988-01-01,A,CAN,inflation_average_consumer_prices,71.233,False,False
9,1989-01-01,A,CAN,inflation_average_consumer_prices,74.783,False,False
10,1990-01-01,A,CAN,inflation_average_consumer_prices,78.358,False,False
11,1991-01-01,A,CAN,inflation_average_consumer_prices,82.767,False,False
12,1992-01-01,A,CAN,inflation_average_consumer_prices,84.0,False,False
13,1993-01-01,A,CAN,inflation_average_consumer_prices,85.567,False,False
14,1994-01-01,A,CAN,inflation_average_consumer_prices,85.708,False,False
15,1995-01-01,A,CAN,inflation_average_consumer_prices,87.55,False,False
16,1996-01-01,A,CAN,inflation_average_consumer_prices,88.925,False,False
17,1997-01-01,A,CAN,inflation_average_consumer_prices,90.367,False,False
18,1998-01-01,A,CAN,inflation_average_consumer_prices,91.267,False,False
19,1999-01-01,A,CAN,inflation_average_consumer_prices,92.85,False,False
20,2000-01-01,A,CAN,inflation_average_consumer_prices,95.375,False,False
21,2001-01-01,A,CAN,inflation_average_consumer_prices,97.783,False,False
22,2002-01-01,A,CAN,inflation_average_consumer_prices,99.992,False,False
23,2003-01-01,A,CAN,inflation_average_consumer_prices,102.75,False,False
24,2004-01-01,A,CAN,inflation_average_consumer_prices,104.658,False,False
25,2005-01-01,A,CAN,inflation_average_consumer_prices,106.975,False,False
26,2006-01-01,A,CAN,inflation_average_consumer_prices,109.117,False,False
27,2007-01-01,A,CAN,inflation_average_consumer_prices,111.45,False,False
28,2008-01-01,A,CAN,inflation_average_consumer_prices,114.092,False,False
29,2009-01-01,A,CAN,inflation_average_consumer_prices,114.433,False,False
30,2010-01-01,A,CAN,inflation_average_consumer_prices,116.467,False,False
31,2011-01-01,A,CAN,inflation_average_consumer_prices,119.858,False,False
32,2012-01-01,A,CAN,inflation_average_consumer_prices,121.675,False,False
33,2013-01-01,A,CAN,inflation_average_consumer_prices,122.817,False,False
34,2014-01-01,A,CAN,inflation_average_consumer_prices,125.158,False,False
35,2015-01-01,A,CAN,inflation_average_consumer_prices,126.567,False,False
36,2016-01-01,A,CAN,inflation_average_consumer_prices,128.375,False,False
37,2017-01-01,A,CAN,inflation_average_consumer_prices,130.425,False,False
38,2018-01-01,A,CAN,inflation_average_consumer_prices,133.383,False,False
39,2019-01-01,A,CAN,inflation_average_consumer_prices,135.983,False,False
40,2020-01-01,A,CAN,inflation_average_consumer_prices,136.958,False,False
41,2021-01-01,A,CAN,inflation_average_consumer_prices,141.608,False,False
42,2022-01-01,A,CAN,inflation_average_consumer_prices,151.208,False,False
43,2023-01-01,A,CAN,inflation_average_consumer_prices,157.083,False,False
44,2024-01-01,A,CAN,inflation_average_consumer_prices,160.85,False,False
45,2025-01-01,A,CAN,inflation_average_consumer_prices,164.037,False,False
46,2026-01-01,A,CAN,inflation_average_consumer_prices,167.527,False,False
47,2027-01-01,A,CAN,inflation_average_consumer_prices,170.885,False,False
48,2028-01-01,A,CAN,inflation_average_consumer_prices,174.308,False,False
49,2029-01-01,A,CAN,inflation_average_consumer_prices,177.845,False,False
50,2030-01-01,A,CAN,inflation_average_consumer_prices,181.41,False,False
