,TIME_PERIOD,FREQUENCY,COUNTRY,INDICATOR,value,missing,anomaly
0,1980-01-01,A,DEU,inflation_average_consumer_prices,48.74,False,False
1,1981-01-01,A,DEU,inflation_average_consumer_prices,51.822,False,False
2,1982-01-01,A,DEU,inflation_average_consumer_prices,54.546,False,False
3,1983-01-01,A,DEU,inflation_average_consumer_prices,56.338,False,False
4,1984-01-01,A,DEU,inflation_average_consumer_prices,57.687,False,False
5,1985-01-01,A,DEU,inflation_average_consumer_prices,58.89,False,False
6,1986-01-01,A,DEU,inflation_average_consumer_prices,58.816,False,False
7,1987-01-01,A,DEU,inflation_average_consumer_prices,58.959,False,False
8,1988-01-01,A,DEU,inflation_average_consumer_prices,59.709,False,False
9,1989-01-01,A,DEU,inflation_average_consumer_prices,61.368,False,False
10,1990-01-01,A,DEU,inflation_average_consumer_prices,63.017,False,False
11,1991-01-01,A,DEU,inflation_average_consumer_prices,65.206,False,False
12,1992-01-01,A,DEU,inflation_average_consumer_prices,68.496,False,False
13,1993-01-01,A,DEU,inflation_average_consumer_prices,71.562,False,False
14,1994-01-01,A,DEU,inflation_average_consumer_prices,73.507,False,False
15,1995-01-01,A,DEU,inflation_average_consumer_prices,74.78,False,False
16,1996-01-01,A,DEU,inflation_average_consumer_prices,75.733,False,False
17,1997-01-01,A,DEU,inflation_average_consumer_prices,76.875,False,False
18,1998-01-01,A,DEU,inflation_average_consumer_prices,77.333,False,False
19,1999-01-01,A,DEU,inflation_average_consumer_prices,77.833,False,False
20,2000-01-01,A,DEU,inflation_average_consumer_prices,78.933,False,False
21,2001-01-01,A,DEU,inflation_average_consumer_prices,80.433,False,False
22,2002-01-01,A,DEU,inflation_average_consumer_prices,81.5,False,False
23,2003-01-01,A,DEU,inflation_average_consumer_prices,82.375,False,False
24,2004-01-01,A,DEU,inflation_average_consumer_prices,83.842,False,False
25,2005-01-01,A,DEU,inflation_average_consumer_prices,85.458,False,False
26,2006-01-01,A,DEU,inflation_average_consumer_prices,86.975,False,False
27,2007-01-01,A,DEU,inflation_average_consumer_prices,88.95,False,False
28,2008-01-01,A,DEU,inflation_average_consumer_prices,91.4,False,False
29,2009-01-01,A,DEU,inflation_average_consumer_prices,91.625,False,False
30,2010-01-01,A,DEU,inflation_average_consumer_prices,92.65,False,False
31,2011-01-01,A,DEU,inflation_average_consumer_prices,94.95,False,False
32,2012-01-01,A,DEU,inflation_average_consumer_prices,97.0,False,False
33,2013-01-01,A,DEU,inflation_average_consumer_prices,98.558,False,False
34,2014-01-01,A,DEU,inflation_average_consumer_prices,99.317,False,False
35,2015-01-01,A,DEU,inflation_average_consumer_prices,99.992,False,False
36,2016-01-01,A,DEU,inflation_average_consumer_prices,100.358,False,False
37,2017-01-01,A,DEU,inflation_average_consumer_prices,102.067,False,False
38,2018-01-01,A,DEU,inflation_average_consumer_prices,104.042,False,False
39,2019-01-01,A,DEU,inflation_average_consumer_prices,105.45,False,False
40,2020-01-01,A,DEU,inflation_average_consumer_prices,105.842,False,False
41,2021-01-01,A,DEU,inflation_average_consumer_prices,109.242,False,False
42,2022-01-01,A,DEU,inflation_average_consumer_prices,118.708,False,False
43,2023-01-01,A,DEU,inflation_average_consumer_prices,125.867,False,False
44,2024-01-01,A,DEU,inflation_average_consumer_prices,129.0,False,False
45,2025-01-01,A,DEU,inflation_average_consumer_prices,131.691,False,False
46,2026-01-01,A,DEU,inflation_average_consumer_prices,134.254,False,False
47,2027-01-01,A,DEU,inflation_average_consumer_prices,137.085,False,False
48,2028-01-01,A,DEU,inflation_average_consumer_prices,140.073,False,False
49,2029-01-01,A,DEU,inflation_average_consumer_prices,143.122,False,False
50,2030-01-01,A,DEU,inflation_average_consumer_prices,146.24,False,False
