,TIME_PERIOD,FREQUENCY,COUNTRY,INDICATOR,value,missing,anomaly
0,1980-01-01,A,FRA,inflation_average_consumer_prices,35.583,False,False
1,1981-01-01,A,FRA,inflation_average_consumer_prices,40.327,False,False
2,1982-01-01,A,FRA,inflation_average_consumer_prices,45.158,False,False
3,1983-01-01,A,FRA,inflation_average_consumer_prices,49.43,False,False
4,1984-01-01,A,FRA,inflation_average_consumer_prices,53.223,False,False
5,1985-01-01,A,FRA,inflation_average_consumer_prices,56.326,False,False
6,1986-01-01,A,FRA,inflation_average_consumer_prices,57.756,False,False
7,1987-01-01,A,FRA,inflation_average_consumer_prices,59.655,False,False
8,1988-01-01,A,FRA,inflation_average_consumer_prices,61.267,False,False
9,1989-01-01,A,FRA,inflation_average_consumer_prices,65.292,False,False
10,1990-01-01,A,FRA,inflation_average_consumer_prices,65.503,False,False
11,1991-01-01,A,FRA,inflation_average_consumer_prices,67.732,False,False
12,1992-01-01,A,FRA,inflation_average_consumer_prices,69.395,False,False
13,1993-01-01,A,FRA,inflation_average_consumer_prices,70.946,False,False
14,1994-01-01,A,FRA,inflation_average_consumer_prices,72.127,False,False
15,1995-01-01,A,FRA,inflation_average_consumer_prices,73.403,False,False
16,1996-01-01,A,FRA,inflation_average_consumer_prices,74.928,False,False
17,1997-01-01,A,FRA,inflation_average_consumer_prices,75.88,False,False
18,1998-01-01,A,FRA,inflation_average_consumer_prices,76.391,False,False
19,1999-01-01,A,FRA,inflation_average_consumer_prices,76.832,False,False
20,2000-01-01,A,FRA,inflation_average_consumer_prices,78.226,False,False
21,2001-01-01,A,FRA,inflation_average_consumer_prices,79.622,False,False
22,2002-01-01,A,FRA,inflation_average_consumer_prices,81.164,False,False
23,2003-01-01,A,FRA,inflation_average_consumer_prices,82.927,False,False
24,2004-01-01,A,FRA,inflation_average_consumer_prices,84.863,False,False
25,2005-01-01,A,FRA,inflation_average_consumer_prices,86.466,False,False
26,2006-01-01,A,FRA,inflation_average_consumer_prices,88.102,False,False
27,2007-01-01,A,FRA,inflation_average_consumer_prices,89.516,False,False
28,2008-01-01,A,FRA,inflation_average_consumer_prices,92.346,False,False
29,2009-01-01,A,FRA,inflation_average_consumer_prices,92.44,False,False
30,2010-01-01,A,FRA,inflation_average_consumer_prices,94.047,False,False
31,2011-01-01,A,FRA,inflation_average_consumer_prices,96.198,False,False
32,2012-01-01,A,FRA,inflation_average_consumer_prices,98.33,False,False
33,2013-01-01,A,FRA,inflation_average_consumer_prices,99.303,False,False
34,2014-01-01,A,FRA,inflation_average_consumer_prices,99.909,False,False
35,2015-01-01,A,FRA,inflation_average_consumer_prices,99.998,False,False
36,2016-01-01,A,FRA,inflation_average_consumer_prices,100.305,False,False
37,2017-01-01,A,FRA,inflation_average_consumer_prices,101.474,False,False
38,2018-01-01,A,FRA,inflation_average_consumer_prices,103.604,False,False
39,2019-01-01,A,FRA,inflation_average_consumer_prices,104.949,False,False
40,2020-01-01,A,FRA,inflation_average_consumer_prices,105.503,False,False
41,2021-01-01,A,FRA,inflation_average_consumer_prices,107.683,False,False
42,2022-01-01,A,FRA,inflation_average_consumer_prices,114.04,False,False
43,2023-01-01,A,FRA,inflation_average_consumer_prices,120.498,False,False
44,2024-01-01,A,FRA,inflation_average_consumer_prices,123.29,False,False
45,2025-01-01,A,FRA,inflation_average_consumer_prices,124.892,False,False
46,2026-01-01,A,FRA,inflation_average_consumer_prices,126.941,False,False
47,2027-01-01,A,FRA,inflation_average_consumer_prices,129.31,False,False
48,2028-01-01,A,FRA,inflation_average_consumer_prices,131.809,False,False
49,2029-01-01,A,FRA,inflation_average_consumer_prices,134.304,False,False
50,2030-01-01,A,FRA,inflation_average_consumer_prices,136.91,False,False
