,TIME_PERIOD,FREQUENCY,COUNTRY,INDICATOR,value,missing,anomaly
0,1980-01-01,A,ITA,inflation_average_consumer_prices,20.305,False,False
1,1981-01-01,A,ITA,inflation_average_consumer_prices,24.266,False,False
2,1982-01-01,A,ITA,inflation_average_consumer_prices,28.26,False,False
3,1983-01-01,A,ITA,inflation_average_consumer_prices,32.415,False,False
4,1984-01-01,A,ITA,inflation_average_consumer_prices,35.896,False,False
5,1985-01-01,A,ITA,inflation_average_consumer_prices,39.116,False,False
6,1986-01-01,A,ITA,inflation_average_consumer_prices,41.392,False,False
7,1987-01-01,A,ITA,inflation_average_consumer_prices,43.346,False,False
8,1988-01-01,A,ITA,inflation_average_consumer_prices,45.552,False,False
9,1989-01-01,A,ITA,inflation_average_consumer_prices,48.397,False,False
10,1990-01-01,A,ITA,inflation_average_consumer_prices,51.492,False,False
11,1991-01-01,A,ITA,inflation_average_consumer_prices,54.692,False,False
12,1992-01-01,A,ITA,inflation_average_consumer_prices,57.417,False,False
13,1993-01-01,A,ITA,inflation_average_consumer_prices,60.0,False,False
14,1994-01-01,A,ITA,inflation_average_consumer_prices,62.5,False,False
15,1995-01-01,A,ITA,inflation_average_consumer_prices,65.867,False,False
16,1996-01-01,A,ITA,inflation_average_consumer_prices,68.492,False,False
17,1997-01-01,A,ITA,inflation_average_consumer_prices,69.758,False,False
18,1998-01-01,A,ITA,inflation_average_consumer_prices,71.175,False,False
19,1999-01-01,A,ITA,inflation_average_consumer_prices,72.35,False,False
20,2000-01-01,A,ITA,inflation_average_consumer_prices,74.217,False,False
21,2001-01-01,A,ITA,inflation_average_consumer_prices,75.942,False,False
22,2002-01-01,A,ITA,inflation_average_consumer_prices,77.925,False,False
23,2003-01-01,A,ITA,inflation_average_consumer_prices,80.117,False,False
24,2004-01-01,A,ITA,inflation_average_consumer_prices,81.925,False,False
25,2005-01-01,A,ITA,inflation_average_consumer_prices,83.733,False,False
26,2006-01-01,A,ITA,inflation_average_consumer_prices,85.6,False,False
27,2007-01-01,A,ITA,inflation_average_consumer_prices,87.333,False,False
28,2008-01-01,A,ITA,inflation_average_consumer_prices,90.383,False,False
29,2009-01-01,A,ITA,inflation_average_consumer_prices,91.075,False,False
30,2010-01-01,A,ITA,inflation_average_consumer_prices,92.55,False,False
31,2011-01-01,A,ITA,inflation_average_consumer_prices,95.267,False,False
32,2012-01-01,A,ITA,inflation_average_consumer_prices,98.425,False,False
33,2013-01-01,A,ITA,inflation_average_consumer_prices,99.65,False,False
34,2014-01-01,A,ITA,inflation_average_consumer_prices,99.883,False,False
35,2015-01-01,A,ITA,inflation_average_consumer_prices,99.992,False,False
36,2016-01-01,A,ITA,inflation_average_consumer_prices,99.942,False,False
37,2017-01-01,A,ITA,inflation_average_consumer_prices,101.267,False,False
38,2018-01-01,A,ITA,inflation_average_consumer_prices,102.525,False,False
39,2019-01-01,A,ITA,inflation_average_consumer_prices,103.175,False,False
40,2020-01-01,A,ITA,inflation_average_consumer_prices,103.025,False,False
41,2021-01-01,A,ITA,inflation_average_consumer_prices,105.025,False,False
42,2022-01-01,A,ITA,inflation_average_consumer_prices,114.2,False,False
43,2023-01-01,A,ITA,inflation_average_consumer_prices,120.942,False,False
44,2024-01-01,A,ITA,inflation_average_consumer_prices,122.258,False,False
45,2025-01-01,A,ITA,inflation_average_consumer_prices,124.346,False,False
46,2026-01-01,A,ITA,inflation_average_consumer_prices,126.782,False,False
47,2027-01-01,A,ITA,inflation_average_consumer_prices,129.318,False,False
48,2028-01-01,A,ITA,inflation_average_consumer_prices,131.904,False,False
49,2029-01-01,A,ITA,inflation_average_consumer_prices,134.542,False,False
50,2030-01-01,A,ITA,inflation_average_consumer_prices,137.233,False,False
