,TIME_PERIOD,FREQUENCY,COUNTRY,INDICATOR,value,missing,anomaly
0,1980-01-01,A,JPN,inflation_average_consumer_prices,73.144,False,False
1,1981-01-01,A,JPN,inflation_average_consumer_prices,76.755,False,False
2,1982-01-01,A,JPN,inflation_average_consumer_prices,78.865,False,False
3,1983-01-01,A,JPN,inflation_average_consumer_prices,80.348,False,False
4,1984-01-01,A,JPN,inflation_average_consumer_prices,82.156,False,False
5,1985-01-01,A,JPN,inflation_average_consumer_prices,83.83,False,False
6,1986-01-01,A,JPN,inflation_average_consumer_prices,84.34,False,False
7,1987-01-01,A,JPN,inflation_average_consumer_prices,84.448,False,False
8,1988-01-01,A,JPN,inflation_average_consumer_prices,85.0,False,False
9,1989-01-01,A,JPN,inflation_average_consumer_prices,86.95,False,False
10,1990-01-01,A,JPN,inflation_average_consumer_prices,89.62,False,False
11,1991-01-01,A,JPN,inflation_average_consumer_prices,92.553,False,False
12,1992-01-01,A,JPN,inflation_average_consumer_prices,94.151,False,False
13,1993-01-01,A,JPN,inflation_average_consumer_prices,95.333,False,False
14,1994-01-01,A,JPN,inflation_average_consumer_prices,95.99,False,False
15,1995-01-01,A,JPN,inflation_average_consumer_prices,95.906,False,False
16,1996-01-01,A,JPN,inflation_average_consumer_prices,96.038,False,False
17,1997-01-01,A,JPN,inflation_average_consumer_prices,97.669,False,False
18,1998-01-01,A,JPN,inflation_average_consumer_prices,98.306,False,False
19,1999-01-01,A,JPN,inflation_average_consumer_prices,97.966,False,False
20,2000-01-01,A,JPN,inflation_average_consumer_prices,97.293,False,False
21,2001-01-01,A,JPN,inflation_average_consumer_prices,96.618,False,False
22,2002-01-01,A,JPN,inflation_average_consumer_prices,95.751,False,False
23,2003-01-01,A,JPN,inflation_average_consumer_prices,95.5,False,False
24,2004-01-01,A,JPN,inflation_average_consumer_prices,95.49,False,False
25,2005-01-01,A,JPN,inflation_average_consumer_prices,95.215,False,False
26,2006-01-01,A,JPN,inflation_average_consumer_prices,95.458,False,False
27,2007-01-01,A,JPN,inflation_average_consumer_prices,95.503,False,False
28,2008-01-01,A,JPN,inflation_average_consumer_prices,96.823,False,False
29,2009-01-01,A,JPN,inflation_average_consumer_prices,95.534,False,False
30,2010-01-01,A,JPN,inflation_average_consumer_prices,94.825,False,False
31,2011-01-01,A,JPN,inflation_average_consumer_prices,94.562,False,False
32,2012-01-01,A,JPN,inflation_average_consumer_prices,94.516,False,False
33,2013-01-01,A,JPN,inflation_average_consumer_prices,94.829,False,False
34,2014-01-01,A,JPN,inflation_average_consumer_prices,97.444,False,False
35,2015-01-01,A,JPN,inflation_average_consumer_prices,98.223,False,False
36,2016-01-01,A,JPN,inflation_average_consumer_prices,98.101,False,False
37,2017-01-01,A,JPN,inflation_average_consumer_prices,98.578,False,False
38,2018-01-01,A,JPN,inflation_average_consumer_prices,99.553,False,False
39,2019-01-01,A,JPN,inflation_average_consumer_prices,100.019,False,False
40,2020-01-01,A,JPN,inflation_average_consumer_prices,99.992,False,False
41,2021-01-01,A,JPN,inflation_average_consumer_prices,99.757,False,False
42,2022-01-01,A,JPN,inflation_average_consumer_prices,102.247,False,False
43,2023-01-01,A,JPN,inflation_average_consumer_prices,105.589,False,False
44,2024-01-01,A,JPN,inflation_average_consumer_prices,108.482,False,False
45,2025-01-01,A,JPN,inflation_average_consumer_prices,111.045,False,False
46,2026-01-01,A,JPN,inflation_average_consumer_prices,112.948,False,False
47,2027-01-01,A,JPN,inflation_average_consumer_prices,115.163,False,False
48,2028-01-01,A,JPN,inflation_average_consumer_prices,117.474,False,False
49,2029-01-01,A,JPN,inflation_average_consumer_prices,119.846,False,False
50,2030-01-01,A,JPN,inflation_average_consumer_prices,122.253,False,False
