,TIME_PERIOD,FREQUENCY,COUNTRY,INDICATOR,value,missing,anomaly
0,1980-01-01,A,USA,inflation_average_consumer_prices,82.383,False,False
1,1981-01-01,A,USA,inflation_average_consumer_prices,90.933,False,False
2,1982-01-01,A,USA,inflation_average_consumer_prices,96.533,False,False
3,1983-01-01,A,USA,inflation_average_consumer_prices,99.583,False,False
4,1984-01-01,A,USA,inflation_average_consumer_prices,103.933,False,False
5,1985-01-01,A,USA,inflation_average_consumer_prices,107.6,False,False
6,1986-01-01,A,USA,inflation_average_consumer_prices,109.692,False,False
7,1987-01-01,A,USA,inflation_average_consumer_prices,113.617,False,False
8,1988-01-01,A,USA,inflation_average_consumer_prices,118.275,False,False
9,1989-01-01,A,USA,inflation_average_consumer_prices,123.942,False,False
10,1990-01-01,A,USA,inflation_average_consumer_prices,130.658,False,False
11,1991-01-01,A,USA,inflation_average_consumer_prices,136.167,False,False
12,1992-01-01,A,USA,inflation_average_consumer_prices,140.308,False,False
13,1993-01-01,A,USA,inflation_average_consumer_prices,144.475,False,False
14,1994-01-01,A,USA,inflation_average_consumer_prices,148.225,False,False
15,1995-01-01,A,USA,inflation_average_consumer_prices,152.383,False,False
16,1996-01-01,A,USA,inflation_average_consumer_prices,156.858,False,False
17,1997-01-01,A,USA,inflation_average_consumer_prices,160.525,False,False
18,1998-01-01,A,USA,inflation_average_consumer_prices,163.008,False,False
19,1999-01-01,A,USA,inflation_average_consumer_prices,166.583,False,False
20,2000-01-01,A,USA,inflation_average_consumer_prices,172.192,False,False
21,2001-01-01,A,USA,inflation_average_consumer_prices,177.042,False,False
22,2002-01-01,A,USA,inflation_average_consumer_prices,179.867,False,False
23,2003-01-01,A,USA,inflation_average_consumer_prices,184.0,False,False
24,2004-01-01,A,USA,inflation_average_consumer_prices,188.908,False,False
25,2005-01-01,A,USA,inflation_average_consumer_prices,195.267,False,False
26,2006-01-01,A,USA,inflation_average_consumer_prices,201.558,False,False
27,2007-01-01,A,USA,inflation_average_consumer_prices,207.344,False,False
28,2008-01-01,A,USA,inflation_average_consumer_prices,215.254,False,False
29,2009-01-01,A,USA,inflation_average_consumer_prices,214.565,False,False
30,2010-01-01,A,USA,inflation_average_consumer_prices,218.076,False,False
31,2011-01-01,A,USA,inflation_average_consumer_prices,224.923,False,False
32,2012-01-01,A,USA,inflation_average_consumer_prices,229.586,False,False
33,2013-01-01,A,USA,inflation_average_consumer_prices,232.952,False,False
34,2014-01-01,A,USA,inflation_average_consumer_prices,236.715,False,False
35,2015-01-01,A,USA,inflation_average_consumer_prices,237.002,False,False
36,2016-01-01,A,USA,inflation_average_consumer_prices,240.005,False,False
37,2017-01-01,A,USA,inflation_average_consumer_prices,245.121,False,False
38,2018-01-01,A,USA,inflation_average_consumer_prices,251.1,False,False
39,2019-01-01,A,USA,inflation_average_consumer_prices,255.653,False,False
40,2020-01-01,A,USA,inflation_average_consumer_prices,258.856,False,False
41,2021-01-01,A,USA,inflation_average_consumer_prices,270.968,False,False
42,2022-01-01,A,USA,inflation_average_consumer_prices,292.625,False,False
43,2023-01-01,A,USA,inflation_average_consumer_prices,304.704,False,False
44,2024-01-01,A,USA,inflation_average_consumer_prices,313.698,False,False
45,2025-01-01,A,USA,inflation_average_consumer_prices,323.07,False,False
46,2026-01-01,A,USA,inflation_average_consumer_prices,331.035,False,False
47,2027-01-01,A,USA,inflation_average_consumer_prices,338.021,False,False
48,2028-01-01,A,USA,inflation_average_consumer_prices,345.307,False,False
49,2029-01-01,A,USA,inflation_average_consumer_prices,352.797,False,False
50,2030-01-01,A,USA,inflation_average_consumer_prices,360.47,False,False
