,TIME_PERIOD,FREQUENCY,INDICATOR,value,missing,anomaly
0,2001-01-01,A,net_debt_general_government_percent_of_gdp,34.294,False,False
1,2002-01-01,A,net_debt_general_government_percent_of_gdp,36.538,False,False
2,2003-01-01,A,net_debt_general_government_percent_of_gdp,38.668,False,False
3,2004-01-01,A,net_debt_general_government_percent_of_gdp,47.218,False,False
4,2005-01-01,A,net_debt_general_government_percent_of_gdp,45.783,False,False
5,2006-01-01,A,net_debt_general_government_percent_of_gdp,44.202,False,False
6,2007-01-01,A,net_debt_general_government_percent_of_gdp,43.833,False,False
7,2008-01-01,A,net_debt_general_government_percent_of_gdp,50.031,False,False
8,2009-01-01,A,net_debt_general_government_percent_of_gdp,61.093,False,False
9,2010-01-01,A,net_debt_general_government_percent_of_gdp,67.586,False,False
10,2011-01-01,A,net_debt_general_government_percent_of_gdp,73.871,False,False
11,2012-01-01,A,net_debt_general_government_percent_of_gdp,77.807,False,False
12,2013-01-01,A,net_debt_general_government_percent_of_gdp,78.639,False,False
13,2014-01-01,A,net_debt_general_government_percent_of_gdp,79.26,False,False
14,2015-01-01,A,net_debt_general_government_percent_of_gdp,79.535,False,False
15,2016-01-01,A,net_debt_general_government_percent_of_gdp,80.473,False,False
16,2017-01-01,A,net_debt_general_government_percent_of_gdp,78.614,False,False
17,2018-01-01,A,net_debt_general_government_percent_of_gdp,79.376,False,False
18,2019-01-01,A,net_debt_general_government_percent_of_gdp,81.078,False,False
19,2020-01-01,A,net_debt_general_government_percent_of_gdp,95.628,False,False
20,2021-01-01,A,net_debt_general_government_percent_of_gdp,95.511,False,False
21,2022-01-01,A,net_debt_general_government_percent_of_gdp,91.628,False,False
22,2023-01-01,A,net_debt_general_government_percent_of_gdp,93.957,False,False
23,2024-01-01,A,net_debt_general_government_percent_of_gdp,96.539,False,False
24,2025-01-01,A,net_debt_general_government_percent_of_gdp,98.044,False,False
25,2026-01-01,A,net_debt_general_government_percent_of_gdp,99.233,False,False
26,2027-01-01,A,net_debt_general_government_percent_of_gdp,100.428,False,False
27,2028-01-01,A,net_debt_general_government_percent_of_gdp,101.448,False,False
28,2029-01-01,A,net_debt_general_government_percent_of_gdp,102.679,False,False
29,2030-01-01,A,net_debt_general_government_percent_of_gdp,104.02,False,False
