,TIME_PERIOD,FREQUENCY,INDICATOR,value,missing,anomaly
0,1946-01-01,Q,nominal_gdp,,True,True
1,1946-04-01,Q,nominal_gdp,,True,True
2,1946-07-01,Q,nominal_gdp,,True,True
3,1946-10-01,Q,nominal_gdp,,True,True
4,1947-01-01,Q,nominal_gdp,243.164,False,False
5,1947-04-01,Q,nominal_gdp,245.968,False,False
6,1947-07-01,Q,nominal_gdp,249.585,False,False
7,1947-10-01,Q,nominal_gdp,259.745,False,False
8,1948-01-01,Q,nominal_gdp,265.742,False,False
9,1948-04-01,Q,nominal_gdp,272.567,False,False
10,1948-07-01,Q,nominal_gdp,279.196,False,False
11,1948-10-01,Q,nominal_gdp,280.366,False,False
12,1949-01-01,Q,nominal_gdp,275.034,False,False
13,1949-04-01,Q,nominal_gdp,271.351,False,False
14,1949-07-01,Q,nominal_gdp,272.889,False,False
15,1949-10-01,Q,nominal_gdp,270.627,False,False
16,1950-01-01,Q,nominal_gdp,280.828,False,False
17,1950-04-01,Q,nominal_gdp,290.383,False,False
18,1950-07-01,Q,nominal_gdp,308.153,False,False
19,1950-10-01,Q,nominal_gdp,319.945,False,False
20,1951-01-01,Q,nominal_gdp,336.0,False,False
21,1951-04-01,Q,nominal_gdp,344.09,False,False
22,1951-07-01,Q,nominal_gdp,351.385,False,False
23,1951-10-01,Q,nominal_gdp,356.178,False,False
24,1952-01-01,Q,nominal_gdp,359.82,False,False
25,1952-04-01,Q,nominal_gdp,361.03,False,False
26,1952-07-01,Q,nominal_gdp,367.701,False,False
27,1952-10-01,Q,nominal_gdp,380.812,False,False
28,1953-01-01,Q,nominal_gdp,387.98,False,False
29,1953-04-01,Q,nominal_gdp,391.749,False,False
30,1953-07-01,Q,nominal_gdp,391.171,False,False
31,1953-10-01,Q,nominal_gdp,385.97,False,False
32,1954-01-01,Q,nominal_gdp,385.345,False,False
33,1954-04-01,Q,nominal_gdp,386.121,False,False
