,TIME_PERIOD,FREQUENCY,INDICATOR,value,missing,anomaly
0,2020-01-01,QS-OCT,output_per_hour_nonfarm_business_productivity,-1.8,False,False
1,2020-04-01,QS-OCT,output_per_hour_nonfarm_business_productivity,20.9,False,True
2,2020-07-01,QS-OCT,output_per_hour_nonfarm_business_productivity,6.6,False,True
3,2020-10-01,QS-OCT,output_per_hour_nonfarm_business_productivity,-3.0,False,True
4,2021-01-01,QS-OCT,output_per_hour_nonfarm_business_productivity,3.0,False,True
5,2021-04-01,QS-OCT,output_per_hour_nonfarm_business_productivity,0.1,False,True
6,2021-07-01,QS-OCT,output_per_hour_nonfarm_business_productivity,-2.3,False,True
7,2021-10-01,QS-OCT,output_per_hour_nonfarm_business_productivity,2.9,False,True
8,2022-01-01,QS-OCT,output_per_hour_nonfarm_business_productivity,-4.9,False,True
9,2022-04-01,QS-OCT,output_per_hour_nonfarm_business_productivity,-3.3,False,False
10,2022-07-01,QS-OCT,output_per_hour_nonfarm_business_productivity,0.0,False,True
11,2022-10-01,QS-OCT,output_per_hour_nonfarm_business_productivity,2.7,False,True
12,2023-01-01,QS-OCT,output_per_hour_nonfarm_business_productivity,0.7,False,True
13,2023-04-01,QS-OCT,output_per_hour_nonfarm_business_productivity,3.4,False,True
14,2023-07-01,QS-OCT,output_per_hour_nonfarm_business_productivity,4.7,False,False
15,2023-10-01,QS-OCT,output_per_hour_nonfarm_business_productivity,3.5,False,False
16,2024-01-01,QS-OCT,output_per_hour_nonfarm_business_productivity,1.6,False,True
17,2024-04-01,QS-OCT,output_per_hour_nonfarm_business_productivity,2.1,False,False
18,2024-07-01,QS-OCT,output_per_hour_nonfarm_business_productivity,2.9,False,False
19,2024-10-01,QS-OCT,output_per_hour_nonfarm_business_productivity,1.7,False,False
20,2025-01-01,QS-OCT,output_per_hour_nonfarm_business_productivity,-1.8,False,True
21,2025-04-01,QS-OCT,output_per_hour_nonfarm_business_productivity,3.3,False,True
