,TIME_PERIOD,FREQUENCY,INDICATOR,value,missing,anomaly
0,1959-01-01,Q,personal_consumption_expenditures_services_health_care,14.463,False,False
1,1959-04-01,Q,personal_consumption_expenditures_services_health_care,14.727,False,False
2,1959-07-01,Q,personal_consumption_expenditures_services_health_care,14.939,False,False
3,1959-10-01,Q,personal_consumption_expenditures_services_health_care,15.196,False,False
4,1960-01-01,Q,personal_consumption_expenditures_services_health_care,15.547,False,False
5,1960-04-01,Q,personal_consumption_expenditures_services_health_care,16.09,False,False
6,1960-07-01,Q,personal_consumption_expenditures_services_health_care,15.987,False,False
7,1960-10-01,Q,personal_consumption_expenditures_services_health_care,16.498,False,False
8,1961-01-01,Q,personal_consumption_expenditures_services_health_care,16.64,False,False
9,1961-04-01,Q,personal_consumption_expenditures_services_health_care,17.052,False,False
10,1961-07-01,Q,personal_consumption_expenditures_services_health_care,17.222,False,False
11,1961-10-01,Q,personal_consumption_expenditures_services_health_care,17.567,False,False
12,1962-01-01,Q,personal_consumption_expenditures_services_health_care,18.138,False,False
13,1962-04-01,Q,personal_consumption_expenditures_services_health_care,18.816,False,False
14,1962-07-01,Q,personal_consumption_expenditures_services_health_care,19.483,False,False
15,1962-10-01,Q,personal_consumption_expenditures_services_health_care,20.106,False,False
16,1963-01-01,Q,personal_consumption_expenditures_services_health_care,20.469,False,False
17,1963-04-01,Q,personal_consumption_expenditures_services_health_care,20.76,False,False
18,1963-07-01,Q,personal_consumption_expenditures_services_health_care,21.097,False,False
19,1963-10-01,Q,personal_consumption_expenditures_services_health_care,21.584,False,False
20,1964-01-01,Q,personal_consumption_expenditures_services_health_care,22.671,False,False
21,1964-04-01,Q,personal_consumption_expenditures_services_health_care,23.736,False,False
22,1964-07-01,Q,personal_consumption_expenditures_services_health_care,24.727,False,False
23,1964-10-01,Q,personal_consumption_expenditures_services_health_care,25.464,False,False
24,1965-01-01,Q,personal_consumption_expenditures_services_health_care,26.061,False,False
25,1965-04-01,Q,personal_consumption_expenditures_services_health_care,26.194,False,False
26,1965-07-01,Q,personal_consumption_expenditures_services_health_care,25.868,False,False
27,1965-10-01,Q,personal_consumption_expenditures_services_health_care,26.026,False,False
28,1966-01-01,Q,personal_consumption_expenditures_services_health_care,26.731,False,False
29,1966-04-01,Q,personal_consumption_expenditures_services_health_care,28.06,False,False
30,1966-07-01,Q,personal_consumption_expenditures_services_health_care,29.306,False,False
31,1966-10-01,Q,personal_consumption_expenditures_services_health_care,30.616,False,False
32,1967-01-01,Q,personal_consumption_expenditures_services_health_care,31.193,False,False
33,1967-04-01,Q,personal_consumption_expenditures_services_health_care,31.665,False,False
34,1967-07-01,Q,personal_consumption_expenditures_services_health_care,32.135,False,False
35,1967-10-01,Q,personal_consumption_expenditures_services_health_care,32.721,False,False
