,TIME_PERIOD,FREQUENCY,COUNTRY,INDICATOR,value,missing,anomaly
0,1947-01-01,M,US,real_gdp,2182.681,False,False
1,1947-04-01,M,US,real_gdp,2176.892,False,False
2,1947-07-01,M,US,real_gdp,2172.432,False,False
3,1947-10-01,M,US,real_gdp,2206.452,False,False
4,1948-01-01,M,US,real_gdp,2239.682,False,False
5,1948-04-01,M,US,real_gdp,2276.69,False,False
6,1948-07-01,M,US,real_gdp,2289.77,False,False
7,1948-10-01,M,US,real_gdp,2292.364,False,False
8,1949-01-01,M,US,real_gdp,2260.807,False,False
9,1949-04-01,M,US,real_gdp,2253.128,False,False
10,1949-07-01,M,US,real_gdp,2276.424,False,False
11,1949-10-01,M,US,real_gdp,2257.352,False,False
12,1950-01-01,M,US,real_gdp,2346.104,False,False
13,1950-04-01,M,US,real_gdp,2417.682,False,False
14,1950-07-01,M,US,real_gdp,2511.127,False,False
15,1950-10-01,M,US,real_gdp,2559.214,False,False
16,1951-01-01,M,US,real_gdp,2593.967,False,False
17,1951-04-01,M,US,real_gdp,2638.898,False,False
18,1951-07-01,M,US,real_gdp,2693.259,False,False
19,1951-10-01,M,US,real_gdp,2699.156,False,False
20,1952-01-01,M,US,real_gdp,2727.954,False,False
21,1952-04-01,M,US,real_gdp,2733.8,False,False
22,1952-07-01,M,US,real_gdp,2753.517,False,False
23,1952-10-01,M,US,real_gdp,2843.941,False,False
24,1953-01-01,M,US,real_gdp,2896.811,False,False
25,1953-04-01,M,US,real_gdp,2919.206,False,False
26,1953-07-01,M,US,real_gdp,2902.785,False,False
27,1953-10-01,M,US,real_gdp,2858.845,False,False
28,1954-01-01,M,US,real_gdp,2845.192,False,False
29,1954-04-01,M,US,real_gdp,2848.305,False,False
30,1954-07-01,M,US,real_gdp,2880.482,False,False
31,1954-10-01,M,US,real_gdp,2936.852,False,False
32,1955-01-01,M,US,real_gdp,3020.746,False,False
33,1955-04-01,M,US,real_gdp,3069.91,False,False
34,1955-07-01,M,US,real_gdp,3111.379,False,False
35,1955-10-01,M,US,real_gdp,3130.068,False,False
36,1956-01-01,M,US,real_gdp,3117.922,False,False
37,1956-04-01,M,US,real_gdp,3143.694,False,False
38,1956-07-01,M,US,real_gdp,3140.874,False,False
39,1956-10-01,M,US,real_gdp,3192.57,False,False
40,1957-01-01,M,US,real_gdp,3213.011,False,False
41,1957-04-01,M,US,real_gdp,3205.97,False,False
42,1957-07-01,M,US,real_gdp,3237.386,False,False
43,1957-10-01,M,US,real_gdp,3203.894,False,False
44,1958-01-01,M,US,real_gdp,3120.724,False,False
