,TIME_PERIOD,FREQUENCY,INDICATOR,value,missing,anomaly
0,1947-01-01,Q,real_gdp_per_capita,15248.0,False,False
1,1947-04-01,Q,real_gdp_per_capita,15139.0,False,False
2,1947-07-01,Q,real_gdp_per_capita,15039.0,False,False
3,1947-10-01,Q,real_gdp_per_capita,15204.0,False,False
4,1948-01-01,Q,real_gdp_per_capita,15371.0,False,False
5,1948-04-01,Q,real_gdp_per_capita,15563.0,False,False
6,1948-07-01,Q,real_gdp_per_capita,15585.0,False,False
7,1948-10-01,Q,real_gdp_per_capita,15530.0,False,False
8,1949-01-01,Q,real_gdp_per_capita,15250.0,False,False
9,1949-04-01,Q,real_gdp_per_capita,15137.0,False,False
10,1949-07-01,Q,real_gdp_per_capita,15228.0,False,False
11,1949-10-01,Q,real_gdp_per_capita,15032.0,False,False
12,1950-01-01,Q,real_gdp_per_capita,15559.0,False,False
13,1950-04-01,Q,real_gdp_per_capita,15977.0,False,False
14,1950-07-01,Q,real_gdp_per_capita,16524.0,False,False
15,1950-10-01,Q,real_gdp_per_capita,16764.0,False,False
16,1951-01-01,Q,real_gdp_per_capita,16922.0,False,False
17,1951-04-01,Q,real_gdp_per_capita,17147.0,False,False
18,1951-07-01,Q,real_gdp_per_capita,17420.0,False,False
19,1951-10-01,Q,real_gdp_per_capita,17375.0,False,False
20,1952-01-01,Q,real_gdp_per_capita,17490.0,False,False
21,1952-04-01,Q,real_gdp_per_capita,17459.0,False,False
22,1952-07-01,Q,real_gdp_per_capita,17509.0,False,False
23,1952-10-01,Q,real_gdp_per_capita,18001.0,False,False
24,1953-01-01,Q,real_gdp_per_capita,18268.0,False,False
25,1953-04-01,Q,real_gdp_per_capita,18341.0,False,False
26,1953-07-01,Q,real_gdp_per_capita,18155.0,False,False
27,1953-10-01,Q,real_gdp_per_capita,17797.0,False,False
28,1954-01-01,Q,real_gdp_per_capita,17636.0,False,False
29,1954-04-01,Q,real_gdp_per_capita,17584.0,False,False
30,1954-07-01,Q,real_gdp_per_capita,17701.0,False,False
31,1954-10-01,Q,real_gdp_per_capita,17960.0,False,False
32,1955-01-01,Q,real_gdp_per_capita,18396.0,False,False
33,1955-04-01,Q,real_gdp_per_capita,18621.0,False,False
34,1955-07-01,Q,real_gdp_per_capita,18787.0,False,False
35,1955-10-01,Q,real_gdp_per_capita,18808.0,False,False
36,1956-01-01,Q,real_gdp_per_capita,18658.0,False,False
37,1956-04-01,Q,real_gdp_per_capita,18736.0,False,False
38,1956-07-01,Q,real_gdp_per_capita,18632.0,False,False
39,1956-10-01,Q,real_gdp_per_capita,18845.0,False,False
40,1957-01-01,Q,real_gdp_per_capita,18881.0,False,False
41,1957-04-01,Q,real_gdp_per_capita,18763.0,False,False
42,1957-07-01,Q,real_gdp_per_capita,18862.0,False,False
43,1957-10-01,Q,real_gdp_per_capita,18582.0,False,False
44,1958-01-01,Q,real_gdp_per_capita,18032.0,False,False
45,1958-04-01,Q,real_gdp_per_capita,18081.0,False,False
46,1958-07-01,Q,real_gdp_per_capita,18419.0,False,False
47,1958-10-01,Q,real_gdp_per_capita,18764.0,False,False
48,1959-01-01,Q,real_gdp_per_capita,19041.0,False,False
49,1959-04-01,Q,real_gdp_per_capita,19395.0,False,False
50,1959-07-01,Q,real_gdp_per_capita,19326.0,False,False
51,1959-10-01,Q,real_gdp_per_capita,19296.0,False,False
52,1960-01-01,Q,real_gdp_per_capita,19614.0,False,False
53,1960-04-01,Q,real_gdp_per_capita,19392.0,False,False
54,1960-07-01,Q,real_gdp_per_capita,19390.0,False,False
55,1960-10-01,Q,real_gdp_per_capita,19065.0,False,False
56,1961-01-01,Q,real_gdp_per_capita,19130.0,False,False
57,1961-04-01,Q,real_gdp_per_capita,19380.0,False,False
58,1961-07-01,Q,real_gdp_per_capita,19670.0,False,False
59,1961-10-01,Q,real_gdp_per_capita,19970.0,False,False
60,1962-01-01,Q,real_gdp_per_capita,20254.0,False,False
61,1962-04-01,Q,real_gdp_per_capita,20366.0,False,False
62,1962-07-01,Q,real_gdp_per_capita,20536.0,False,False
63,1962-10-01,Q,real_gdp_per_capita,20521.0,False,False
64,1963-01-01,Q,real_gdp_per_capita,20677.0,False,False
65,1963-04-01,Q,real_gdp_per_capita,20842.0,False,False
66,1963-07-01,Q,real_gdp_per_capita,21219.0,False,False
67,1963-10-01,Q,real_gdp_per_capita,21276.0,False,False
68,1964-01-01,Q,real_gdp_per_capita,21657.0,False,False
69,1964-04-01,Q,real_gdp_per_capita,21824.0,False,False
70,1964-07-01,Q,real_gdp_per_capita,22085.0,False,False
71,1964-10-01,Q,real_gdp_per_capita,22075.0,False,False
72,1965-01-01,Q,real_gdp_per_capita,22547.0,False,False
73,1965-04-01,Q,real_gdp_per_capita,22770.0,False,False
74,1965-07-01,Q,real_gdp_per_capita,23198.0,False,False
75,1965-10-01,Q,real_gdp_per_capita,23656.0,False,False
76,1966-01-01,Q,real_gdp_per_capita,24172.0,False,False
77,1966-04-01,Q,real_gdp_per_capita,24191.0,False,False
78,1966-07-01,Q,real_gdp_per_capita,24321.0,False,False
79,1966-10-01,Q,real_gdp_per_capita,24446.0,False,False
80,1967-01-01,Q,real_gdp_per_capita,24602.0,False,False
81,1967-04-01,Q,real_gdp_per_capita,24556.0,False,False
82,1967-07-01,Q,real_gdp_per_capita,24719.0,False,False
83,1967-10-01,Q,real_gdp_per_capita,24836.0,False,False
84,1968-01-01,Q,real_gdp_per_capita,25288.0,False,False
85,1968-04-01,Q,real_gdp_per_capita,25652.0,False,False
86,1968-07-01,Q,real_gdp_per_capita,25781.0,False,False
87,1968-10-01,Q,real_gdp_per_capita,25813.0,False,False
88,1969-01-01,Q,real_gdp_per_capita,26162.0,False,False
89,1969-04-01,Q,real_gdp_per_capita,26181.0,False,False
90,1969-07-01,Q,real_gdp_per_capita,26281.0,False,False
91,1969-10-01,Q,real_gdp_per_capita,26076.0,False,False
92,1970-01-01,Q,real_gdp_per_capita,25973.0,False,False
93,1970-04-01,Q,real_gdp_per_capita,25929.0,False,False
94,1970-07-01,Q,real_gdp_per_capita,26079.0,False,False
95,1970-10-01,Q,real_gdp_per_capita,25710.0,False,False
96,1971-01-01,Q,real_gdp_per_capita,26328.0,False,False
97,1971-04-01,Q,real_gdp_per_capita,26394.0,False,False
98,1971-07-01,Q,real_gdp_per_capita,26529.0,False,False
99,1971-10-01,Q,real_gdp_per_capita,26510.0,False,False
100,1972-01-01,Q,real_gdp_per_capita,26932.0,False,False
101,1972-04-01,Q,real_gdp_per_capita,27478.0,False,False
102,1972-07-01,Q,real_gdp_per_capita,27666.0,False,False
103,1972-10-01,Q,real_gdp_per_capita,28055.0,False,False
104,1973-01-01,Q,real_gdp_per_capita,28687.0,False,False
105,1973-04-01,Q,real_gdp_per_capita,28935.0,False,False
106,1973-07-01,Q,real_gdp_per_capita,28711.0,False,False
107,1973-10-01,Q,real_gdp_per_capita,28913.0,False,False
108,1974-01-01,Q,real_gdp_per_capita,28606.0,False,False
109,1974-04-01,Q,real_gdp_per_capita,28613.0,False,False
110,1974-07-01,Q,real_gdp_per_capita,28270.0,False,False
111,1974-10-01,Q,real_gdp_per_capita,28088.0,False,False
112,1975-01-01,Q,real_gdp_per_capita,27690.0,False,False
113,1975-04-01,Q,real_gdp_per_capita,27821.0,False,False
114,1975-07-01,Q,real_gdp_per_capita,28214.0,False,False
115,1975-10-01,Q,real_gdp_per_capita,28520.0,False,False
116,1976-01-01,Q,real_gdp_per_capita,29099.0,False,False
117,1976-04-01,Q,real_gdp_per_capita,29250.0,False,False
118,1976-07-01,Q,real_gdp_per_capita,29335.0,False,False
119,1976-10-01,Q,real_gdp_per_capita,29469.0,False,False
120,1977-01-01,Q,real_gdp_per_capita,29749.0,False,False
121,1977-04-01,Q,real_gdp_per_capita,30254.0,False,False
122,1977-07-01,Q,real_gdp_per_capita,30713.0,False,False
123,1977-10-01,Q,real_gdp_per_capita,30626.0,False,False
124,1978-01-01,Q,real_gdp_per_capita,30653.0,False,False
125,1978-04-01,Q,real_gdp_per_capita,31757.0,False,False
126,1978-07-01,Q,real_gdp_per_capita,31982.0,False,False
