,TIME_PERIOD,FREQUENCY,INDICATOR,value,missing,anomaly
0,2001-01-01,A,revenue_general_government_percent_of_gdp,32.257,False,False
1,2002-01-01,A,revenue_general_government_percent_of_gdp,29.877,False,False
2,2003-01-01,A,revenue_general_government_percent_of_gdp,29.266,False,False
3,2004-01-01,A,revenue_general_government_percent_of_gdp,29.476,False,False
4,2005-01-01,A,revenue_general_government_percent_of_gdp,30.853,False,False
5,2006-01-01,A,revenue_general_government_percent_of_gdp,31.656,False,False
6,2007-01-01,A,revenue_general_government_percent_of_gdp,31.649,False,False
7,2008-01-01,A,revenue_general_government_percent_of_gdp,30.532,False,False
8,2009-01-01,A,revenue_general_government_percent_of_gdp,28.222,False,False
9,2010-01-01,A,revenue_general_government_percent_of_gdp,28.77,False,False
10,2011-01-01,A,revenue_general_government_percent_of_gdp,29.08,False,False
11,2012-01-01,A,revenue_general_government_percent_of_gdp,29.109,False,False
12,2013-01-01,A,revenue_general_government_percent_of_gdp,31.222,False,False
13,2014-01-01,A,revenue_general_government_percent_of_gdp,31.298,False,False
14,2015-01-01,A,revenue_general_government_percent_of_gdp,31.501,False,False
15,2016-01-01,A,revenue_general_government_percent_of_gdp,30.977,False,False
16,2017-01-01,A,revenue_general_government_percent_of_gdp,30.4,False,False
17,2018-01-01,A,revenue_general_government_percent_of_gdp,30.014,False,False
18,2019-01-01,A,revenue_general_government_percent_of_gdp,30.014,False,False
19,2020-01-01,A,revenue_general_government_percent_of_gdp,30.631,False,False
20,2021-01-01,A,revenue_general_government_percent_of_gdp,31.827,False,False
21,2022-01-01,A,revenue_general_government_percent_of_gdp,33.13,False,False
22,2023-01-01,A,revenue_general_government_percent_of_gdp,29.949,False,False
23,2024-01-01,A,revenue_general_government_percent_of_gdp,30.331,False,False
24,2025-01-01,A,revenue_general_government_percent_of_gdp,31.389,False,False
25,2026-01-01,A,revenue_general_government_percent_of_gdp,32.514,False,False
26,2027-01-01,A,revenue_general_government_percent_of_gdp,32.754,False,False
27,2028-01-01,A,revenue_general_government_percent_of_gdp,32.409,False,False
28,2029-01-01,A,revenue_general_government_percent_of_gdp,32.222,False,False
29,2030-01-01,A,revenue_general_government_percent_of_gdp,32.248,False,False
