,TIME_PERIOD,FREQUENCY,COUNTRY,INDICATOR,value,missing,anomaly
0,1980-01-01,A,CAN,unemployment_rate,7.517,False,False
1,1981-01-01,A,CAN,unemployment_rate,7.617,False,False
2,1982-01-01,A,CAN,unemployment_rate,11.1,False,False
3,1983-01-01,A,CAN,unemployment_rate,12.0,False,False
4,1984-01-01,A,CAN,unemployment_rate,11.375,False,False
5,1985-01-01,A,CAN,unemployment_rate,10.508,False,False
6,1986-01-01,A,CAN,unemployment_rate,9.608,False,False
7,1987-01-01,A,CAN,unemployment_rate,8.8,False,False
8,1988-01-01,A,CAN,unemployment_rate,7.775,False,False
9,1989-01-01,A,CAN,unemployment_rate,7.508,False,False
10,1990-01-01,A,CAN,unemployment_rate,8.15,False,False
11,1991-01-01,A,CAN,unemployment_rate,10.317,False,False
12,1992-01-01,A,CAN,unemployment_rate,11.217,False,False
13,1993-01-01,A,CAN,unemployment_rate,11.375,False,False
14,1994-01-01,A,CAN,unemployment_rate,10.392,False,False
15,1995-01-01,A,CAN,unemployment_rate,9.467,False,False
16,1996-01-01,A,CAN,unemployment_rate,9.608,False,False
17,1997-01-01,A,CAN,unemployment_rate,9.092,False,False
18,1998-01-01,A,CAN,unemployment_rate,8.292,False,False
19,1999-01-01,A,CAN,unemployment_rate,7.567,False,False
20,2000-01-01,A,CAN,unemployment_rate,6.833,False,False
21,2001-01-01,A,CAN,unemployment_rate,7.225,False,False
22,2002-01-01,A,CAN,unemployment_rate,7.683,False,False
23,2003-01-01,A,CAN,unemployment_rate,7.592,False,False
24,2004-01-01,A,CAN,unemployment_rate,7.15,False,False
25,2005-01-01,A,CAN,unemployment_rate,6.75,False,False
26,2006-01-01,A,CAN,unemployment_rate,6.45,False,False
27,2007-01-01,A,CAN,unemployment_rate,6.158,False,False
28,2008-01-01,A,CAN,unemployment_rate,6.308,False,False
29,2009-01-01,A,CAN,unemployment_rate,8.475,False,False
30,2010-01-01,A,CAN,unemployment_rate,8.158,False,False
31,2011-01-01,A,CAN,unemployment_rate,7.625,False,False
32,2012-01-01,A,CAN,unemployment_rate,7.442,False,False
33,2013-01-01,A,CAN,unemployment_rate,7.208,False,False
34,2014-01-01,A,CAN,unemployment_rate,7.058,False,False
35,2015-01-01,A,CAN,unemployment_rate,7.0,False,False
36,2016-01-01,A,CAN,unemployment_rate,7.05,False,False
37,2017-01-01,A,CAN,unemployment_rate,6.417,False,False
38,2018-01-01,A,CAN,unemployment_rate,5.833,False,False
39,2019-01-01,A,CAN,unemployment_rate,5.683,False,False
40,2020-01-01,A,CAN,unemployment_rate,9.742,False,True
41,2021-01-01,A,CAN,unemployment_rate,7.483,False,False
42,2022-01-01,A,CAN,unemployment_rate,5.25,False,False
43,2023-01-01,A,CAN,unemployment_rate,5.383,False,False
44,2024-01-01,A,CAN,unemployment_rate,6.375,False,False
45,2025-01-01,A,CAN,unemployment_rate,6.597,False,False
46,2026-01-01,A,CAN,unemployment_rate,6.482,False,False
47,2027-01-01,A,CAN,unemployment_rate,6.268,False,False
48,2028-01-01,A,CAN,unemployment_rate,6.147,False,False
49,2029-01-01,A,CAN,unemployment_rate,6.054,False,False
50,2030-01-01,A,CAN,unemployment_rate,6.007,False,False
