,TIME_PERIOD,FREQUENCY,COUNTRY,INDICATOR,value,missing,anomaly
0,1980-01-01,A,DEU,unemployment_rate,3.359,False,False
1,1981-01-01,A,DEU,unemployment_rate,4.831,False,False
2,1982-01-01,A,DEU,unemployment_rate,6.734,False,False
3,1983-01-01,A,DEU,unemployment_rate,8.099,False,False
4,1984-01-01,A,DEU,unemployment_rate,8.058,False,False
5,1985-01-01,A,DEU,unemployment_rate,8.124,False,False
6,1986-01-01,A,DEU,unemployment_rate,7.834,False,False
7,1987-01-01,A,DEU,unemployment_rate,7.843,False,False
8,1988-01-01,A,DEU,unemployment_rate,7.735,False,False
9,1989-01-01,A,DEU,unemployment_rate,6.79,False,False
10,1990-01-01,A,DEU,unemployment_rate,6.155,False,False
11,1991-01-01,A,DEU,unemployment_rate,5.47,False,False
12,1992-01-01,A,DEU,unemployment_rate,6.592,False,False
13,1993-01-01,A,DEU,unemployment_rate,7.775,False,False
14,1994-01-01,A,DEU,unemployment_rate,8.425,False,False
15,1995-01-01,A,DEU,unemployment_rate,8.233,False,False
16,1996-01-01,A,DEU,unemployment_rate,8.908,False,False
17,1997-01-01,A,DEU,unemployment_rate,9.658,False,False
18,1998-01-01,A,DEU,unemployment_rate,9.383,False,False
19,1999-01-01,A,DEU,unemployment_rate,8.558,False,False
20,2000-01-01,A,DEU,unemployment_rate,7.95,False,False
21,2001-01-01,A,DEU,unemployment_rate,7.8,False,False
22,2002-01-01,A,DEU,unemployment_rate,8.6,False,False
23,2003-01-01,A,DEU,unemployment_rate,9.708,False,False
24,2004-01-01,A,DEU,unemployment_rate,10.333,False,False
25,2005-01-01,A,DEU,unemployment_rate,11.008,False,False
26,2006-01-01,A,DEU,unemployment_rate,10.042,False,False
27,2007-01-01,A,DEU,unemployment_rate,8.542,False,False
28,2008-01-01,A,DEU,unemployment_rate,7.425,False,False
29,2009-01-01,A,DEU,unemployment_rate,7.225,False,False
30,2010-01-01,A,DEU,unemployment_rate,6.575,False,False
31,2011-01-01,A,DEU,unemployment_rate,5.517,False,False
32,2012-01-01,A,DEU,unemployment_rate,5.083,False,False
33,2013-01-01,A,DEU,unemployment_rate,4.95,False,False
34,2014-01-01,A,DEU,unemployment_rate,4.708,False,False
35,2015-01-01,A,DEU,unemployment_rate,4.367,False,False
36,2016-01-01,A,DEU,unemployment_rate,3.908,False,False
37,2017-01-01,A,DEU,unemployment_rate,3.567,False,False
38,2018-01-01,A,DEU,unemployment_rate,3.208,False,False
39,2019-01-01,A,DEU,unemployment_rate,2.975,False,False
40,2020-01-01,A,DEU,unemployment_rate,3.625,False,False
41,2021-01-01,A,DEU,unemployment_rate,3.575,False,False
42,2022-01-01,A,DEU,unemployment_rate,3.067,False,False
43,2023-01-01,A,DEU,unemployment_rate,3.025,False,False
44,2024-01-01,A,DEU,unemployment_rate,3.408,False,False
45,2025-01-01,A,DEU,unemployment_rate,3.468,False,False
46,2026-01-01,A,DEU,unemployment_rate,3.215,False,False
47,2027-01-01,A,DEU,unemployment_rate,3.023,False,False
48,2028-01-01,A,DEU,unemployment_rate,2.914,False,False
49,2029-01-01,A,DEU,unemployment_rate,2.918,False,False
50,2030-01-01,A,DEU,unemployment_rate,2.922,False,False
