,TIME_PERIOD,FREQUENCY,COUNTRY,INDICATOR,value,missing,anomaly
0,1980-01-01,A,FRA,unemployment_rate,6.349,False,False
1,1981-01-01,A,FRA,unemployment_rate,7.438,False,False
2,1982-01-01,A,FRA,unemployment_rate,8.069,False,False
3,1983-01-01,A,FRA,unemployment_rate,7.383,False,False
4,1984-01-01,A,FRA,unemployment_rate,8.458,False,False
5,1985-01-01,A,FRA,unemployment_rate,8.7,False,False
6,1986-01-01,A,FRA,unemployment_rate,8.875,False,False
7,1987-01-01,A,FRA,unemployment_rate,9.15,False,False
8,1988-01-01,A,FRA,unemployment_rate,8.842,False,False
9,1989-01-01,A,FRA,unemployment_rate,8.7,False,False
10,1990-01-01,A,FRA,unemployment_rate,8.4,False,False
11,1991-01-01,A,FRA,unemployment_rate,8.617,False,False
12,1992-01-01,A,FRA,unemployment_rate,9.442,False,False
13,1993-01-01,A,FRA,unemployment_rate,10.267,False,False
14,1994-01-01,A,FRA,unemployment_rate,10.667,False,False
15,1995-01-01,A,FRA,unemployment_rate,10.508,False,False
16,1996-01-01,A,FRA,unemployment_rate,10.833,False,False
17,1997-01-01,A,FRA,unemployment_rate,10.892,False,False
18,1998-01-01,A,FRA,unemployment_rate,10.692,False,False
19,1999-01-01,A,FRA,unemployment_rate,10.442,False,False
20,2000-01-01,A,FRA,unemployment_rate,9.175,False,False
21,2001-01-01,A,FRA,unemployment_rate,8.458,False,False
22,2002-01-01,A,FRA,unemployment_rate,8.275,False,False
23,2003-01-01,A,FRA,unemployment_rate,8.525,False,False
24,2004-01-01,A,FRA,unemployment_rate,8.867,False,False
25,2005-01-01,A,FRA,unemployment_rate,8.875,False,False
26,2006-01-01,A,FRA,unemployment_rate,8.842,False,False
27,2007-01-01,A,FRA,unemployment_rate,8.017,False,False
28,2008-01-01,A,FRA,unemployment_rate,7.433,False,False
29,2009-01-01,A,FRA,unemployment_rate,9.125,False,False
30,2010-01-01,A,FRA,unemployment_rate,9.267,False,False
31,2011-01-01,A,FRA,unemployment_rate,9.208,False,False
32,2012-01-01,A,FRA,unemployment_rate,9.767,False,False
33,2013-01-01,A,FRA,unemployment_rate,10.308,False,False
34,2014-01-01,A,FRA,unemployment_rate,10.267,False,False
35,2015-01-01,A,FRA,unemployment_rate,10.342,False,False
36,2016-01-01,A,FRA,unemployment_rate,10.067,False,False
37,2017-01-01,A,FRA,unemployment_rate,9.408,False,False
38,2018-01-01,A,FRA,unemployment_rate,9.025,False,False
39,2019-01-01,A,FRA,unemployment_rate,8.425,False,False
40,2020-01-01,A,FRA,unemployment_rate,8.025,False,False
41,2021-01-01,A,FRA,unemployment_rate,7.867,False,False
42,2022-01-01,A,FRA,unemployment_rate,7.308,False,False
43,2023-01-01,A,FRA,unemployment_rate,7.342,False,False
44,2024-01-01,A,FRA,unemployment_rate,7.383,False,False
45,2025-01-01,A,FRA,unemployment_rate,7.7,False,False
46,2026-01-01,A,FRA,unemployment_rate,7.442,False,False
47,2027-01-01,A,FRA,unemployment_rate,7.235,False,False
48,2028-01-01,A,FRA,unemployment_rate,7.099,False,False
49,2029-01-01,A,FRA,unemployment_rate,6.993,False,False
50,2030-01-01,A,FRA,unemployment_rate,6.993,False,False
