,TIME_PERIOD,FREQUENCY,COUNTRY,INDICATOR,value,missing,anomaly
0,1980-01-01,A,ITA,unemployment_rate,7.37,False,False
1,1981-01-01,A,ITA,unemployment_rate,7.649,False,False
2,1982-01-01,A,ITA,unemployment_rate,8.288,False,False
3,1983-01-01,A,ITA,unemployment_rate,7.367,False,False
4,1984-01-01,A,ITA,unemployment_rate,7.833,False,False
5,1985-01-01,A,ITA,unemployment_rate,8.167,False,False
6,1986-01-01,A,ITA,unemployment_rate,8.867,False,False
7,1987-01-01,A,ITA,unemployment_rate,9.617,False,False
8,1988-01-01,A,ITA,unemployment_rate,9.683,False,False
9,1989-01-01,A,ITA,unemployment_rate,9.667,False,False
10,1990-01-01,A,ITA,unemployment_rate,8.858,False,False
11,1991-01-01,A,ITA,unemployment_rate,8.533,False,False
12,1992-01-01,A,ITA,unemployment_rate,8.808,False,False
13,1993-01-01,A,ITA,unemployment_rate,9.833,False,False
14,1994-01-01,A,ITA,unemployment_rate,10.633,False,False
15,1995-01-01,A,ITA,unemployment_rate,11.15,False,False
16,1996-01-01,A,ITA,unemployment_rate,11.15,False,False
17,1997-01-01,A,ITA,unemployment_rate,11.242,False,False
18,1998-01-01,A,ITA,unemployment_rate,11.333,False,False
19,1999-01-01,A,ITA,unemployment_rate,10.942,False,False
20,2000-01-01,A,ITA,unemployment_rate,10.1,False,False
21,2001-01-01,A,ITA,unemployment_rate,9.1,False,False
22,2002-01-01,A,ITA,unemployment_rate,8.608,False,False
23,2003-01-01,A,ITA,unemployment_rate,8.45,False,False
24,2004-01-01,A,ITA,unemployment_rate,8.017,False,False
25,2005-01-01,A,ITA,unemployment_rate,7.758,False,False
26,2006-01-01,A,ITA,unemployment_rate,6.867,False,False
27,2007-01-01,A,ITA,unemployment_rate,6.2,False,False
28,2008-01-01,A,ITA,unemployment_rate,6.792,False,False
29,2009-01-01,A,ITA,unemployment_rate,7.875,False,False
30,2010-01-01,A,ITA,unemployment_rate,8.508,False,False
31,2011-01-01,A,ITA,unemployment_rate,8.575,False,False
32,2012-01-01,A,ITA,unemployment_rate,10.892,False,False
33,2013-01-01,A,ITA,unemployment_rate,12.367,False,False
34,2014-01-01,A,ITA,unemployment_rate,12.783,False,False
35,2015-01-01,A,ITA,unemployment_rate,12.017,False,False
36,2016-01-01,A,ITA,unemployment_rate,11.717,False,False
37,2017-01-01,A,ITA,unemployment_rate,11.3,False,False
38,2018-01-01,A,ITA,unemployment_rate,10.6,False,False
39,2019-01-01,A,ITA,unemployment_rate,9.908,False,False
40,2020-01-01,A,ITA,unemployment_rate,9.358,False,False
41,2021-01-01,A,ITA,unemployment_rate,9.508,False,False
42,2022-01-01,A,ITA,unemployment_rate,8.125,False,False
43,2023-01-01,A,ITA,unemployment_rate,7.683,False,False
44,2024-01-01,A,ITA,unemployment_rate,6.558,False,False
45,2025-01-01,A,ITA,unemployment_rate,6.654,False,False
46,2026-01-01,A,ITA,unemployment_rate,6.711,False,False
47,2027-01-01,A,ITA,unemployment_rate,6.793,False,False
48,2028-01-01,A,ITA,unemployment_rate,6.866,False,False
49,2029-01-01,A,ITA,unemployment_rate,6.836,False,False
50,2030-01-01,A,ITA,unemployment_rate,6.806,False,False
