,TIME_PERIOD,FREQUENCY,COUNTRY,INDICATOR,value,missing,anomaly
0,1980-01-01,A,JPN,unemployment_rate,2.017,False,False
1,1981-01-01,A,JPN,unemployment_rate,2.208,False,False
2,1982-01-01,A,JPN,unemployment_rate,2.35,False,False
3,1983-01-01,A,JPN,unemployment_rate,2.658,False,False
4,1984-01-01,A,JPN,unemployment_rate,2.708,False,False
5,1985-01-01,A,JPN,unemployment_rate,2.625,False,False
6,1986-01-01,A,JPN,unemployment_rate,2.767,False,False
7,1987-01-01,A,JPN,unemployment_rate,2.85,False,False
8,1988-01-01,A,JPN,unemployment_rate,2.517,False,False
9,1989-01-01,A,JPN,unemployment_rate,2.25,False,False
10,1990-01-01,A,JPN,unemployment_rate,2.1,False,False
11,1991-01-01,A,JPN,unemployment_rate,2.092,False,False
12,1992-01-01,A,JPN,unemployment_rate,2.15,False,False
13,1993-01-01,A,JPN,unemployment_rate,2.5,False,False
14,1994-01-01,A,JPN,unemployment_rate,2.892,False,False
15,1995-01-01,A,JPN,unemployment_rate,3.15,False,False
16,1996-01-01,A,JPN,unemployment_rate,3.367,False,False
17,1997-01-01,A,JPN,unemployment_rate,3.4,False,False
18,1998-01-01,A,JPN,unemployment_rate,4.1,False,False
19,1999-01-01,A,JPN,unemployment_rate,4.667,False,False
20,2000-01-01,A,JPN,unemployment_rate,4.733,False,False
21,2001-01-01,A,JPN,unemployment_rate,5.042,False,False
22,2002-01-01,A,JPN,unemployment_rate,5.358,False,False
23,2003-01-01,A,JPN,unemployment_rate,5.242,False,False
24,2004-01-01,A,JPN,unemployment_rate,4.733,False,False
25,2005-01-01,A,JPN,unemployment_rate,4.425,False,False
26,2006-01-01,A,JPN,unemployment_rate,4.117,False,False
27,2007-01-01,A,JPN,unemployment_rate,3.833,False,False
28,2008-01-01,A,JPN,unemployment_rate,3.983,False,False
29,2009-01-01,A,JPN,unemployment_rate,5.075,False,False
30,2010-01-01,A,JPN,unemployment_rate,5.058,False,False
31,2011-01-01,A,JPN,unemployment_rate,4.583,False,False
32,2012-01-01,A,JPN,unemployment_rate,4.325,False,False
33,2013-01-01,A,JPN,unemployment_rate,4.008,False,False
34,2014-01-01,A,JPN,unemployment_rate,3.583,False,False
35,2015-01-01,A,JPN,unemployment_rate,3.375,False,False
36,2016-01-01,A,JPN,unemployment_rate,3.108,False,False
37,2017-01-01,A,JPN,unemployment_rate,2.817,False,False
38,2018-01-01,A,JPN,unemployment_rate,2.433,False,False
39,2019-01-01,A,JPN,unemployment_rate,2.358,False,False
40,2020-01-01,A,JPN,unemployment_rate,2.8,False,False
41,2021-01-01,A,JPN,unemployment_rate,2.817,False,False
42,2022-01-01,A,JPN,unemployment_rate,2.592,False,False
43,2023-01-01,A,JPN,unemployment_rate,2.575,False,False
44,2024-01-01,A,JPN,unemployment_rate,2.567,False,False
45,2025-01-01,A,JPN,unemployment_rate,2.567,False,False
46,2026-01-01,A,JPN,unemployment_rate,2.567,False,False
47,2027-01-01,A,JPN,unemployment_rate,2.567,False,False
48,2028-01-01,A,JPN,unemployment_rate,2.567,False,False
49,2029-01-01,A,JPN,unemployment_rate,2.567,False,False
50,2030-01-01,A,JPN,unemployment_rate,2.567,False,False
