,TIME_PERIOD,FREQUENCY,COUNTRY,INDICATOR,value,missing,anomaly
0,1980-01-01,A,USA,unemployment_rate,7.175,False,False
1,1981-01-01,A,USA,unemployment_rate,7.617,False,False
2,1982-01-01,A,USA,unemployment_rate,9.708,False,False
3,1983-01-01,A,USA,unemployment_rate,9.6,False,False
4,1984-01-01,A,USA,unemployment_rate,7.508,False,False
5,1985-01-01,A,USA,unemployment_rate,7.192,False,False
6,1986-01-01,A,USA,unemployment_rate,7.0,False,False
7,1987-01-01,A,USA,unemployment_rate,6.175,False,False
8,1988-01-01,A,USA,unemployment_rate,5.492,False,False
9,1989-01-01,A,USA,unemployment_rate,5.258,False,False
10,1990-01-01,A,USA,unemployment_rate,5.617,False,False
11,1991-01-01,A,USA,unemployment_rate,6.85,False,False
12,1992-01-01,A,USA,unemployment_rate,7.492,False,False
13,1993-01-01,A,USA,unemployment_rate,6.908,False,False
14,1994-01-01,A,USA,unemployment_rate,6.1,False,False
15,1995-01-01,A,USA,unemployment_rate,5.592,False,False
16,1996-01-01,A,USA,unemployment_rate,5.408,False,False
17,1997-01-01,A,USA,unemployment_rate,4.942,False,False
18,1998-01-01,A,USA,unemployment_rate,4.5,False,False
19,1999-01-01,A,USA,unemployment_rate,4.217,False,False
20,2000-01-01,A,USA,unemployment_rate,3.967,False,False
21,2001-01-01,A,USA,unemployment_rate,4.742,False,False
22,2002-01-01,A,USA,unemployment_rate,5.783,False,False
23,2003-01-01,A,USA,unemployment_rate,5.992,False,False
24,2004-01-01,A,USA,unemployment_rate,5.542,False,False
25,2005-01-01,A,USA,unemployment_rate,5.083,False,False
26,2006-01-01,A,USA,unemployment_rate,4.608,False,False
27,2007-01-01,A,USA,unemployment_rate,4.617,False,False
28,2008-01-01,A,USA,unemployment_rate,5.8,False,False
29,2009-01-01,A,USA,unemployment_rate,9.283,False,True
30,2010-01-01,A,USA,unemployment_rate,9.608,False,False
31,2011-01-01,A,USA,unemployment_rate,8.933,False,False
32,2012-01-01,A,USA,unemployment_rate,8.075,False,False
33,2013-01-01,A,USA,unemployment_rate,7.358,False,False
34,2014-01-01,A,USA,unemployment_rate,6.158,False,False
35,2015-01-01,A,USA,unemployment_rate,5.275,False,False
36,2016-01-01,A,USA,unemployment_rate,4.875,False,False
37,2017-01-01,A,USA,unemployment_rate,4.358,False,False
38,2018-01-01,A,USA,unemployment_rate,3.892,False,False
39,2019-01-01,A,USA,unemployment_rate,3.675,False,False
40,2020-01-01,A,USA,unemployment_rate,8.1,False,True
41,2021-01-01,A,USA,unemployment_rate,5.358,False,False
42,2022-01-01,A,USA,unemployment_rate,3.642,False,False
43,2023-01-01,A,USA,unemployment_rate,3.633,False,False
44,2024-01-01,A,USA,unemployment_rate,4.033,False,False
45,2025-01-01,A,USA,unemployment_rate,4.159,False,False
46,2026-01-01,A,USA,unemployment_rate,4.151,False,False
47,2027-01-01,A,USA,unemployment_rate,4.079,False,False
48,2028-01-01,A,USA,unemployment_rate,3.929,False,False
49,2029-01-01,A,USA,unemployment_rate,3.801,False,False
50,2030-01-01,A,USA,unemployment_rate,3.759,False,False
