INDICATOR,COUNTRY,FREQUENCY,LATEST_ACTUAL_ANNUAL_DATA,OVERLAP,SCALE,METHODOLOGY,METHODOLOGY_NOTES,TIME_PERIOD,value
GGX_NGDP,USA,A,2024,OL,0,GFS,See notes for:  General government total expenditure (National currency).,2001,32.801
GGX_NGDP,USA,A,2024,OL,0,GFS,See notes for:  General government total expenditure (National currency).,2002,33.698
GGX_NGDP,USA,A,2024,OL,0,GFS,See notes for:  General government total expenditure (National currency).,2003,34.037
GGX_NGDP,USA,A,2024,OL,0,GFS,See notes for:  General government total expenditure (National currency).,2004,33.719
GGX_NGDP,USA,A,2024,OL,0,GFS,See notes for:  General government total expenditure (National currency).,2005,33.928
GGX_NGDP,USA,A,2024,OL,0,GFS,See notes for:  General government total expenditure (National currency).,2006,33.692
GGX_NGDP,USA,A,2024,OL,0,GFS,See notes for:  General government total expenditure (National currency).,2007,34.562
GGX_NGDP,USA,A,2024,OL,0,GFS,See notes for:  General government total expenditure (National currency).,2008,37.144
GGX_NGDP,USA,A,2024,OL,0,GFS,See notes for:  General government total expenditure (National currency).,2009,41.399
GGX_NGDP,USA,A,2024,OL,0,GFS,See notes for:  General government total expenditure (National currency).,2010,39.763
GGX_NGDP,USA,A,2024,OL,0,GFS,See notes for:  General government total expenditure (National currency).,2011,38.796
GGX_NGDP,USA,A,2024,OL,0,GFS,See notes for:  General government total expenditure (National currency).,2012,37.223
GGX_NGDP,USA,A,2024,OL,0,GFS,See notes for:  General government total expenditure (National currency).,2013,35.782
GGX_NGDP,USA,A,2024,OL,0,GFS,See notes for:  General government total expenditure (National currency).,2014,35.324
GGX_NGDP,USA,A,2024,OL,0,GFS,See notes for:  General government total expenditure (National currency).,2015,35.031
GGX_NGDP,USA,A,2024,OL,0,GFS,See notes for:  General government total expenditure (National currency).,2016,35.333
GGX_NGDP,USA,A,2024,OL,0,GFS,See notes for:  General government total expenditure (National currency).,2017,35.194
GGX_NGDP,USA,A,2024,OL,0,GFS,See notes for:  General government total expenditure (National currency).,2018,35.349
GGX_NGDP,USA,A,2024,OL,0,GFS,See notes for:  General government total expenditure (National currency).,2019,35.819
GGX_NGDP,USA,A,2024,OL,0,GFS,See notes for:  General government total expenditure (National currency).,2020,44.779
GGX_NGDP,USA,A,2024,OL,0,GFS,See notes for:  General government total expenditure (National currency).,2021,43.218
GGX_NGDP,USA,A,2024,OL,0,GFS,See notes for:  General government total expenditure (National currency).,2022,36.829
GGX_NGDP,USA,A,2024,OL,0,GFS,See notes for:  General government total expenditure (National currency).,2023,37.113
GGX_NGDP,USA,A,2024,OL,0,GFS,See notes for:  General government total expenditure (National currency).,2024,37.593
GGX_NGDP,USA,A,2024,OL,0,GFS,See notes for:  General government total expenditure (National currency).,2025,37.848
GGX_NGDP,USA,A,2024,OL,0,GFS,See notes for:  General government total expenditure (National currency).,2026,38.004
GGX_NGDP,USA,A,2024,OL,0,GFS,See notes for:  General government total expenditure (National currency).,2027,38.107
GGX_NGDP,USA,A,2024,OL,0,GFS,See notes for:  General government total expenditure (National currency).,2028,38.024
GGX_NGDP,USA,A,2024,OL,0,GFS,See notes for:  General government total expenditure (National currency).,2029,37.711
GGX_NGDP,USA,A,2024,OL,0,GFS,See notes for:  General government total expenditure (National currency).,2030,37.862
