INDICATOR,COUNTRY,FREQUENCY,LATEST_ACTUAL_ANNUAL_DATA,OVERLAP,SCALE,METHODOLOGY,METHODOLOGY_NOTES,TIME_PERIOD,value
NGDP_R,CAN,A,2024,OL,9,SNA,"Source: National Statistics Office Latest actual data: 2024 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2017. Data rebased to 2017 Chain-weighted: Yes, from 1980 Primary domestic currency: Canadian dollar Data last updated: 04/09/2025",1980,893842000000.0
NGDP_R,CAN,A,2024,OL,9,SNA,"Source: National Statistics Office Latest actual data: 2024 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2017. Data rebased to 2017 Chain-weighted: Yes, from 1980 Primary domestic currency: Canadian dollar Data last updated: 04/09/2025",1981,925154000000.0
NGDP_R,CAN,A,2024,OL,9,SNA,"Source: National Statistics Office Latest actual data: 2024 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2017. Data rebased to 2017 Chain-weighted: Yes, from 1980 Primary domestic currency: Canadian dollar Data last updated: 04/09/2025",1982,895862000000.0
NGDP_R,CAN,A,2024,OL,9,SNA,"Source: National Statistics Office Latest actual data: 2024 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2017. Data rebased to 2017 Chain-weighted: Yes, from 1980 Primary domestic currency: Canadian dollar Data last updated: 04/09/2025",1983,918816000000.0
NGDP_R,CAN,A,2024,OL,9,SNA,"Source: National Statistics Office Latest actual data: 2024 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2017. Data rebased to 2017 Chain-weighted: Yes, from 1980 Primary domestic currency: Canadian dollar Data last updated: 04/09/2025",1984,973013000000.0
NGDP_R,CAN,A,2024,OL,9,SNA,"Source: National Statistics Office Latest actual data: 2024 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2017. Data rebased to 2017 Chain-weighted: Yes, from 1980 Primary domestic currency: Canadian dollar Data last updated: 04/09/2025",1985,1019111000000.0
NGDP_R,CAN,A,2024,OL,9,SNA,"Source: National Statistics Office Latest actual data: 2024 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2017. Data rebased to 2017 Chain-weighted: Yes, from 1980 Primary domestic currency: Canadian dollar Data last updated: 04/09/2025",1986,1040732000000.0
NGDP_R,CAN,A,2024,OL,9,SNA,"Source: National Statistics Office Latest actual data: 2024 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2017. Data rebased to 2017 Chain-weighted: Yes, from 1980 Primary domestic currency: Canadian dollar Data last updated: 04/09/2025",1987,1083110000000.0
NGDP_R,CAN,A,2024,OL,9,SNA,"Source: National Statistics Office Latest actual data: 2024 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2017. Data rebased to 2017 Chain-weighted: Yes, from 1980 Primary domestic currency: Canadian dollar Data last updated: 04/09/2025",1988,1130885000000.0
NGDP_R,CAN,A,2024,OL,9,SNA,"Source: National Statistics Office Latest actual data: 2024 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2017. Data rebased to 2017 Chain-weighted: Yes, from 1980 Primary domestic currency: Canadian dollar Data last updated: 04/09/2025",1989,1157317000000.0
NGDP_R,CAN,A,2024,OL,9,SNA,"Source: National Statistics Office Latest actual data: 2024 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2017. Data rebased to 2017 Chain-weighted: Yes, from 1980 Primary domestic currency: Canadian dollar Data last updated: 04/09/2025",1990,1159666000000.0
NGDP_R,CAN,A,2024,OL,9,SNA,"Source: National Statistics Office Latest actual data: 2024 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2017. Data rebased to 2017 Chain-weighted: Yes, from 1980 Primary domestic currency: Canadian dollar Data last updated: 04/09/2025",1991,1135417000000.0
NGDP_R,CAN,A,2024,OL,9,SNA,"Source: National Statistics Office Latest actual data: 2024 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2017. Data rebased to 2017 Chain-weighted: Yes, from 1980 Primary domestic currency: Canadian dollar Data last updated: 04/09/2025",1992,1145527000000.0
NGDP_R,CAN,A,2024,OL,9,SNA,"Source: National Statistics Office Latest actual data: 2024 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2017. Data rebased to 2017 Chain-weighted: Yes, from 1980 Primary domestic currency: Canadian dollar Data last updated: 04/09/2025",1993,1175972000000.0
NGDP_R,CAN,A,2024,OL,9,SNA,"Source: National Statistics Office Latest actual data: 2024 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2017. Data rebased to 2017 Chain-weighted: Yes, from 1980 Primary domestic currency: Canadian dollar Data last updated: 04/09/2025",1994,1228821000000.0
NGDP_R,CAN,A,2024,OL,9,SNA,"Source: National Statistics Office Latest actual data: 2024 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2017. Data rebased to 2017 Chain-weighted: Yes, from 1980 Primary domestic currency: Canadian dollar Data last updated: 04/09/2025",1995,1261782000000.0
NGDP_R,CAN,A,2024,OL,9,SNA,"Source: National Statistics Office Latest actual data: 2024 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2017. Data rebased to 2017 Chain-weighted: Yes, from 1980 Primary domestic currency: Canadian dollar Data last updated: 04/09/2025",1996,1283093000000.0
NGDP_R,CAN,A,2024,OL,9,SNA,"Source: National Statistics Office Latest actual data: 2024 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2017. Data rebased to 2017 Chain-weighted: Yes, from 1980 Primary domestic currency: Canadian dollar Data last updated: 04/09/2025",1997,1338011000000.0
NGDP_R,CAN,A,2024,OL,9,SNA,"Source: National Statistics Office Latest actual data: 2024 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2017. Data rebased to 2017 Chain-weighted: Yes, from 1980 Primary domestic currency: Canadian dollar Data last updated: 04/09/2025",1998,1390098000000.0
NGDP_R,CAN,A,2024,OL,9,SNA,"Source: National Statistics Office Latest actual data: 2024 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2017. Data rebased to 2017 Chain-weighted: Yes, from 1980 Primary domestic currency: Canadian dollar Data last updated: 04/09/2025",1999,1461563000000.0
NGDP_R,CAN,A,2024,OL,9,SNA,"Source: National Statistics Office Latest actual data: 2024 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2017. Data rebased to 2017 Chain-weighted: Yes, from 1980 Primary domestic currency: Canadian dollar Data last updated: 04/09/2025",2000,1536666000000.0
NGDP_R,CAN,A,2024,OL,9,SNA,"Source: National Statistics Office Latest actual data: 2024 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2017. Data rebased to 2017 Chain-weighted: Yes, from 1980 Primary domestic currency: Canadian dollar Data last updated: 04/09/2025",2001,1565480000000.0
NGDP_R,CAN,A,2024,OL,9,SNA,"Source: National Statistics Office Latest actual data: 2024 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2017. Data rebased to 2017 Chain-weighted: Yes, from 1980 Primary domestic currency: Canadian dollar Data last updated: 04/09/2025",2002,1612433000000.0
NGDP_R,CAN,A,2024,OL,9,SNA,"Source: National Statistics Office Latest actual data: 2024 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2017. Data rebased to 2017 Chain-weighted: Yes, from 1980 Primary domestic currency: Canadian dollar Data last updated: 04/09/2025",2003,1641560000000.0
NGDP_R,CAN,A,2024,OL,9,SNA,"Source: National Statistics Office Latest actual data: 2024 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2017. Data rebased to 2017 Chain-weighted: Yes, from 1980 Primary domestic currency: Canadian dollar Data last updated: 04/09/2025",2004,1692323000000.0
NGDP_R,CAN,A,2024,OL,9,SNA,"Source: National Statistics Office Latest actual data: 2024 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2017. Data rebased to 2017 Chain-weighted: Yes, from 1980 Primary domestic currency: Canadian dollar Data last updated: 04/09/2025",2005,1746654000000.0
NGDP_R,CAN,A,2024,OL,9,SNA,"Source: National Statistics Office Latest actual data: 2024 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2017. Data rebased to 2017 Chain-weighted: Yes, from 1980 Primary domestic currency: Canadian dollar Data last updated: 04/09/2025",2006,1792730000000.0
NGDP_R,CAN,A,2024,OL,9,SNA,"Source: National Statistics Office Latest actual data: 2024 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2017. Data rebased to 2017 Chain-weighted: Yes, from 1980 Primary domestic currency: Canadian dollar Data last updated: 04/09/2025",2007,1829479000000.0
NGDP_R,CAN,A,2024,OL,9,SNA,"Source: National Statistics Office Latest actual data: 2024 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2017. Data rebased to 2017 Chain-weighted: Yes, from 1980 Primary domestic currency: Canadian dollar Data last updated: 04/09/2025",2008,1847690000000.0
NGDP_R,CAN,A,2024,OL,9,SNA,"Source: National Statistics Office Latest actual data: 2024 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2017. Data rebased to 2017 Chain-weighted: Yes, from 1980 Primary domestic currency: Canadian dollar Data last updated: 04/09/2025",2009,1793828000000.0
NGDP_R,CAN,A,2024,OL,9,SNA,"Source: National Statistics Office Latest actual data: 2024 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2017. Data rebased to 2017 Chain-weighted: Yes, from 1980 Primary domestic currency: Canadian dollar Data last updated: 04/09/2025",2010,1849272000000.0
NGDP_R,CAN,A,2024,OL,9,SNA,"Source: National Statistics Office Latest actual data: 2024 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2017. Data rebased to 2017 Chain-weighted: Yes, from 1980 Primary domestic currency: Canadian dollar Data last updated: 04/09/2025",2011,1907287000000.0
NGDP_R,CAN,A,2024,OL,9,SNA,"Source: National Statistics Office Latest actual data: 2024 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2017. Data rebased to 2017 Chain-weighted: Yes, from 1980 Primary domestic currency: Canadian dollar Data last updated: 04/09/2025",2012,1940773000000.0
NGDP_R,CAN,A,2024,OL,9,SNA,"Source: National Statistics Office Latest actual data: 2024 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2017. Data rebased to 2017 Chain-weighted: Yes, from 1980 Primary domestic currency: Canadian dollar Data last updated: 04/09/2025",2013,1985911000000.0
NGDP_R,CAN,A,2024,OL,9,SNA,"Source: National Statistics Office Latest actual data: 2024 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2017. Data rebased to 2017 Chain-weighted: Yes, from 1980 Primary domestic currency: Canadian dollar Data last updated: 04/09/2025",2014,2042976000000.0
NGDP_R,CAN,A,2024,OL,9,SNA,"Source: National Statistics Office Latest actual data: 2024 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2017. Data rebased to 2017 Chain-weighted: Yes, from 1980 Primary domestic currency: Canadian dollar Data last updated: 04/09/2025",2015,2056255000000.0
NGDP_R,CAN,A,2024,OL,9,SNA,"Source: National Statistics Office Latest actual data: 2024 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2017. Data rebased to 2017 Chain-weighted: Yes, from 1980 Primary domestic currency: Canadian dollar Data last updated: 04/09/2025",2016,2077610000000.0
NGDP_R,CAN,A,2024,OL,9,SNA,"Source: National Statistics Office Latest actual data: 2024 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2017. Data rebased to 2017 Chain-weighted: Yes, from 1980 Primary domestic currency: Canadian dollar Data last updated: 04/09/2025",2017,2140641000000.0
NGDP_R,CAN,A,2024,OL,9,SNA,"Source: National Statistics Office Latest actual data: 2024 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2017. Data rebased to 2017 Chain-weighted: Yes, from 1980 Primary domestic currency: Canadian dollar Data last updated: 04/09/2025",2018,2199358000000.0
NGDP_R,CAN,A,2024,OL,9,SNA,"Source: National Statistics Office Latest actual data: 2024 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2017. Data rebased to 2017 Chain-weighted: Yes, from 1980 Primary domestic currency: Canadian dollar Data last updated: 04/09/2025",2019,2241331000000.0
NGDP_R,CAN,A,2024,OL,9,SNA,"Source: National Statistics Office Latest actual data: 2024 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2017. Data rebased to 2017 Chain-weighted: Yes, from 1980 Primary domestic currency: Canadian dollar Data last updated: 04/09/2025",2020,2128408000000.0
