INDICATOR,COUNTRY,FREQUENCY,LATEST_ACTUAL_ANNUAL_DATA,OVERLAP,SCALE,METHODOLOGY,METHODOLOGY_NOTES,TIME_PERIOD,value
NGDP_R,DEU,A,2024,OL,9,SNA,"Source: National Statistics Office Latest actual data: 2024 Notes: Data from 1991 onward refer to united Germany and include FISIM. Data until 1990 are estimates for united Germany derived from available data (excluding FISIM) for the German federation only (West Germany). National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2020 Chain-weighted: Yes, from 1991 Primary domestic currency: Euro Data last updated: 04/11/2025",1980,1845002000000.0
NGDP_R,DEU,A,2024,OL,9,SNA,"Source: National Statistics Office Latest actual data: 2024 Notes: Data from 1991 onward refer to united Germany and include FISIM. Data until 1990 are estimates for united Germany derived from available data (excluding FISIM) for the German federation only (West Germany). National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2020 Chain-weighted: Yes, from 1991 Primary domestic currency: Euro Data last updated: 04/11/2025",1981,1847037000000.0
NGDP_R,DEU,A,2024,OL,9,SNA,"Source: National Statistics Office Latest actual data: 2024 Notes: Data from 1991 onward refer to united Germany and include FISIM. Data until 1990 are estimates for united Germany derived from available data (excluding FISIM) for the German federation only (West Germany). National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2020 Chain-weighted: Yes, from 1991 Primary domestic currency: Euro Data last updated: 04/11/2025",1982,1832479000000.0
NGDP_R,DEU,A,2024,OL,9,SNA,"Source: National Statistics Office Latest actual data: 2024 Notes: Data from 1991 onward refer to united Germany and include FISIM. Data until 1990 are estimates for united Germany derived from available data (excluding FISIM) for the German federation only (West Germany). National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2020 Chain-weighted: Yes, from 1991 Primary domestic currency: Euro Data last updated: 04/11/2025",1983,1860968000000.0
NGDP_R,DEU,A,2024,OL,9,SNA,"Source: National Statistics Office Latest actual data: 2024 Notes: Data from 1991 onward refer to united Germany and include FISIM. Data until 1990 are estimates for united Germany derived from available data (excluding FISIM) for the German federation only (West Germany). National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2020 Chain-weighted: Yes, from 1991 Primary domestic currency: Euro Data last updated: 04/11/2025",1984,1913561000000.0
NGDP_R,DEU,A,2024,OL,9,SNA,"Source: National Statistics Office Latest actual data: 2024 Notes: Data from 1991 onward refer to united Germany and include FISIM. Data until 1990 are estimates for united Germany derived from available data (excluding FISIM) for the German federation only (West Germany). National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2020 Chain-weighted: Yes, from 1991 Primary domestic currency: Euro Data last updated: 04/11/2025",1985,1955511000000.0
NGDP_R,DEU,A,2024,OL,9,SNA,"Source: National Statistics Office Latest actual data: 2024 Notes: Data from 1991 onward refer to united Germany and include FISIM. Data until 1990 are estimates for united Germany derived from available data (excluding FISIM) for the German federation only (West Germany). National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2020 Chain-weighted: Yes, from 1991 Primary domestic currency: Euro Data last updated: 04/11/2025",1986,2002783000000.0
NGDP_R,DEU,A,2024,OL,9,SNA,"Source: National Statistics Office Latest actual data: 2024 Notes: Data from 1991 onward refer to united Germany and include FISIM. Data until 1990 are estimates for united Germany derived from available data (excluding FISIM) for the German federation only (West Germany). National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2020 Chain-weighted: Yes, from 1991 Primary domestic currency: Euro Data last updated: 04/11/2025",1987,2032210000000.0
NGDP_R,DEU,A,2024,OL,9,SNA,"Source: National Statistics Office Latest actual data: 2024 Notes: Data from 1991 onward refer to united Germany and include FISIM. Data until 1990 are estimates for united Germany derived from available data (excluding FISIM) for the German federation only (West Germany). National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2020 Chain-weighted: Yes, from 1991 Primary domestic currency: Euro Data last updated: 04/11/2025",1988,2108126000000.0
NGDP_R,DEU,A,2024,OL,9,SNA,"Source: National Statistics Office Latest actual data: 2024 Notes: Data from 1991 onward refer to united Germany and include FISIM. Data until 1990 are estimates for united Germany derived from available data (excluding FISIM) for the German federation only (West Germany). National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2020 Chain-weighted: Yes, from 1991 Primary domestic currency: Euro Data last updated: 04/11/2025",1989,2190617000000.0
