INDICATOR,COUNTRY,FREQUENCY,LATEST_ACTUAL_ANNUAL_DATA,OVERLAP,SCALE,METHODOLOGY,METHODOLOGY_NOTES,TIME_PERIOD,value
NGDP_R,FRA,A,2024,OL,9,SNA,"Source: National Statistics Office Latest actual data: 2024 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2020 Chain-weighted: Yes, from 1980 Primary domestic currency: Euro Data last updated: 04/10/2025",1980,1223307000000.0
NGDP_R,FRA,A,2024,OL,9,SNA,"Source: National Statistics Office Latest actual data: 2024 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2020 Chain-weighted: Yes, from 1980 Primary domestic currency: Euro Data last updated: 04/10/2025",1981,1237820000000.0
NGDP_R,FRA,A,2024,OL,9,SNA,"Source: National Statistics Office Latest actual data: 2024 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2020 Chain-weighted: Yes, from 1980 Primary domestic currency: Euro Data last updated: 04/10/2025",1982,1267574000000.0
NGDP_R,FRA,A,2024,OL,9,SNA,"Source: National Statistics Office Latest actual data: 2024 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2020 Chain-weighted: Yes, from 1980 Primary domestic currency: Euro Data last updated: 04/10/2025",1983,1283577000000.0
NGDP_R,FRA,A,2024,OL,9,SNA,"Source: National Statistics Office Latest actual data: 2024 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2020 Chain-weighted: Yes, from 1980 Primary domestic currency: Euro Data last updated: 04/10/2025",1984,1305053000000.0
NGDP_R,FRA,A,2024,OL,9,SNA,"Source: National Statistics Office Latest actual data: 2024 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2020 Chain-weighted: Yes, from 1980 Primary domestic currency: Euro Data last updated: 04/10/2025",1985,1326846000000.0
NGDP_R,FRA,A,2024,OL,9,SNA,"Source: National Statistics Office Latest actual data: 2024 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2020 Chain-weighted: Yes, from 1980 Primary domestic currency: Euro Data last updated: 04/10/2025",1986,1357700000000.0
NGDP_R,FRA,A,2024,OL,9,SNA,"Source: National Statistics Office Latest actual data: 2024 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2020 Chain-weighted: Yes, from 1980 Primary domestic currency: Euro Data last updated: 04/10/2025",1987,1392556000000.0
NGDP_R,FRA,A,2024,OL,9,SNA,"Source: National Statistics Office Latest actual data: 2024 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2020 Chain-weighted: Yes, from 1980 Primary domestic currency: Euro Data last updated: 04/10/2025",1988,1457589000000.0
NGDP_R,FRA,A,2024,OL,9,SNA,"Source: National Statistics Office Latest actual data: 2024 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2020 Chain-weighted: Yes, from 1980 Primary domestic currency: Euro Data last updated: 04/10/2025",1989,1524416000000.0
NGDP_R,FRA,A,2024,OL,9,SNA,"Source: National Statistics Office Latest actual data: 2024 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2020 Chain-weighted: Yes, from 1980 Primary domestic currency: Euro Data last updated: 04/10/2025",1990,1566987000000.0
NGDP_R,FRA,A,2024,OL,9,SNA,"Source: National Statistics Office Latest actual data: 2024 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2020 Chain-weighted: Yes, from 1980 Primary domestic currency: Euro Data last updated: 04/10/2025",1991,1587231000000.0
NGDP_R,FRA,A,2024,OL,9,SNA,"Source: National Statistics Office Latest actual data: 2024 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2020 Chain-weighted: Yes, from 1980 Primary domestic currency: Euro Data last updated: 04/10/2025",1992,1609583000000.0
NGDP_R,FRA,A,2024,OL,9,SNA,"Source: National Statistics Office Latest actual data: 2024 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2020 Chain-weighted: Yes, from 1980 Primary domestic currency: Euro Data last updated: 04/10/2025",1993,1602735000000.0
NGDP_R,FRA,A,2024,OL,9,SNA,"Source: National Statistics Office Latest actual data: 2024 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2020 Chain-weighted: Yes, from 1980 Primary domestic currency: Euro Data last updated: 04/10/2025",1994,1641244000000.0
NGDP_R,FRA,A,2024,OL,9,SNA,"Source: National Statistics Office Latest actual data: 2024 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2020 Chain-weighted: Yes, from 1980 Primary domestic currency: Euro Data last updated: 04/10/2025",1995,1681575000000.0
NGDP_R,FRA,A,2024,OL,9,SNA,"Source: National Statistics Office Latest actual data: 2024 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2020 Chain-weighted: Yes, from 1980 Primary domestic currency: Euro Data last updated: 04/10/2025",1996,1704221000000.0
NGDP_R,FRA,A,2024,OL,9,SNA,"Source: National Statistics Office Latest actual data: 2024 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2020 Chain-weighted: Yes, from 1980 Primary domestic currency: Euro Data last updated: 04/10/2025",1997,1747084000000.0
NGDP_R,FRA,A,2024,OL,9,SNA,"Source: National Statistics Office Latest actual data: 2024 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2020 Chain-weighted: Yes, from 1980 Primary domestic currency: Euro Data last updated: 04/10/2025",1998,1807639000000.0
NGDP_R,FRA,A,2024,OL,9,SNA,"Source: National Statistics Office Latest actual data: 2024 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2020 Chain-weighted: Yes, from 1980 Primary domestic currency: Euro Data last updated: 04/10/2025",1999,1866581000000.0
NGDP_R,FRA,A,2024,OL,9,SNA,"Source: National Statistics Office Latest actual data: 2024 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2020 Chain-weighted: Yes, from 1980 Primary domestic currency: Euro Data last updated: 04/10/2025",2000,1948031000000.0
NGDP_R,FRA,A,2024,OL,9,SNA,"Source: National Statistics Office Latest actual data: 2024 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2020 Chain-weighted: Yes, from 1980 Primary domestic currency: Euro Data last updated: 04/10/2025",2001,1983999000000.0
NGDP_R,FRA,A,2024,OL,9,SNA,"Source: National Statistics Office Latest actual data: 2024 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2020 Chain-weighted: Yes, from 1980 Primary domestic currency: Euro Data last updated: 04/10/2025",2002,2006220000000.0
NGDP_R,FRA,A,2024,OL,9,SNA,"Source: National Statistics Office Latest actual data: 2024 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2020 Chain-weighted: Yes, from 1980 Primary domestic currency: Euro Data last updated: 04/10/2025",2003,2026163000000.0
NGDP_R,FRA,A,2024,OL,9,SNA,"Source: National Statistics Office Latest actual data: 2024 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2020 Chain-weighted: Yes, from 1980 Primary domestic currency: Euro Data last updated: 04/10/2025",2004,2077195000000.0
NGDP_R,FRA,A,2024,OL,9,SNA,"Source: National Statistics Office Latest actual data: 2024 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2020 Chain-weighted: Yes, from 1980 Primary domestic currency: Euro Data last updated: 04/10/2025",2005,2118496000000.0
NGDP_R,FRA,A,2024,OL,9,SNA,"Source: National Statistics Office Latest actual data: 2024 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2020 Chain-weighted: Yes, from 1980 Primary domestic currency: Euro Data last updated: 04/10/2025",2006,2180542000000.0
NGDP_R,FRA,A,2024,OL,9,SNA,"Source: National Statistics Office Latest actual data: 2024 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2020 Chain-weighted: Yes, from 1980 Primary domestic currency: Euro Data last updated: 04/10/2025",2007,2234745000000.0
NGDP_R,FRA,A,2024,OL,9,SNA,"Source: National Statistics Office Latest actual data: 2024 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2020 Chain-weighted: Yes, from 1980 Primary domestic currency: Euro Data last updated: 04/10/2025",2008,2240662000000.0
NGDP_R,FRA,A,2024,OL,9,SNA,"Source: National Statistics Office Latest actual data: 2024 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2020 Chain-weighted: Yes, from 1980 Primary domestic currency: Euro Data last updated: 04/10/2025",2009,2179436000000.0
NGDP_R,FRA,A,2024,OL,9,SNA,"Source: National Statistics Office Latest actual data: 2024 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2020 Chain-weighted: Yes, from 1980 Primary domestic currency: Euro Data last updated: 04/10/2025",2010,2219602000000.0
NGDP_R,FRA,A,2024,OL,9,SNA,"Source: National Statistics Office Latest actual data: 2024 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2020 Chain-weighted: Yes, from 1980 Primary domestic currency: Euro Data last updated: 04/10/2025",2011,2274754000000.0
NGDP_R,FRA,A,2024,OL,9,SNA,"Source: National Statistics Office Latest actual data: 2024 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2020 Chain-weighted: Yes, from 1980 Primary domestic currency: Euro Data last updated: 04/10/2025",2012,2279788000000.0
NGDP_R,FRA,A,2024,OL,9,SNA,"Source: National Statistics Office Latest actual data: 2024 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2020 Chain-weighted: Yes, from 1980 Primary domestic currency: Euro Data last updated: 04/10/2025",2013,2300651000000.0
NGDP_R,FRA,A,2024,OL,9,SNA,"Source: National Statistics Office Latest actual data: 2024 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2020 Chain-weighted: Yes, from 1980 Primary domestic currency: Euro Data last updated: 04/10/2025",2014,2324113000000.0
NGDP_R,FRA,A,2024,OL,9,SNA,"Source: National Statistics Office Latest actual data: 2024 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2020 Chain-weighted: Yes, from 1980 Primary domestic currency: Euro Data last updated: 04/10/2025",2015,2347031000000.0
NGDP_R,FRA,A,2024,OL,9,SNA,"Source: National Statistics Office Latest actual data: 2024 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2020 Chain-weighted: Yes, from 1980 Primary domestic currency: Euro Data last updated: 04/10/2025",2016,2364119000000.0
NGDP_R,FRA,A,2024,OL,9,SNA,"Source: National Statistics Office Latest actual data: 2024 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2020 Chain-weighted: Yes, from 1980 Primary domestic currency: Euro Data last updated: 04/10/2025",2017,2418156000000.0
NGDP_R,FRA,A,2024,OL,9,SNA,"Source: National Statistics Office Latest actual data: 2024 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2020 Chain-weighted: Yes, from 1980 Primary domestic currency: Euro Data last updated: 04/10/2025",2018,2456532000000.0
NGDP_R,FRA,A,2024,OL,9,SNA,"Source: National Statistics Office Latest actual data: 2024 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2020 Chain-weighted: Yes, from 1980 Primary domestic currency: Euro Data last updated: 04/10/2025",2019,2507518000000.0
