INDICATOR,COUNTRY,FREQUENCY,LATEST_ACTUAL_ANNUAL_DATA,OVERLAP,SCALE,METHODOLOGY,METHODOLOGY_NOTES,TIME_PERIOD,value
NGDP_R,USA,A,2024,OL,9,SNA,"Source: National Statistics Office Latest actual data: 2024 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices. Real Gross Domestic Product determined by chained Fisher quantity growth rates. Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2017 Chain-weighted: Yes, from 1980 Primary domestic currency: US dollar Data last updated: 04/10/2025",1980,7257325000000.0
NGDP_R,USA,A,2024,OL,9,SNA,"Source: National Statistics Office Latest actual data: 2024 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices. Real Gross Domestic Product determined by chained Fisher quantity growth rates. Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2017 Chain-weighted: Yes, from 1980 Primary domestic currency: US dollar Data last updated: 04/10/2025",1981,7441475000000.0
NGDP_R,USA,A,2024,OL,9,SNA,"Source: National Statistics Office Latest actual data: 2024 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices. Real Gross Domestic Product determined by chained Fisher quantity growth rates. Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2017 Chain-weighted: Yes, from 1980 Primary domestic currency: US dollar Data last updated: 04/10/2025",1982,7307300000000.0
NGDP_R,USA,A,2024,OL,9,SNA,"Source: National Statistics Office Latest actual data: 2024 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices. Real Gross Domestic Product determined by chained Fisher quantity growth rates. Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2017 Chain-weighted: Yes, from 1980 Primary domestic currency: US dollar Data last updated: 04/10/2025",1983,7642275000000.0
NGDP_R,USA,A,2024,OL,9,SNA,"Source: National Statistics Office Latest actual data: 2024 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices. Real Gross Domestic Product determined by chained Fisher quantity growth rates. Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2017 Chain-weighted: Yes, from 1980 Primary domestic currency: US dollar Data last updated: 04/10/2025",1984,8195300000000.0
NGDP_R,USA,A,2024,OL,9,SNA,"Source: National Statistics Office Latest actual data: 2024 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices. Real Gross Domestic Product determined by chained Fisher quantity growth rates. Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2017 Chain-weighted: Yes, from 1980 Primary domestic currency: US dollar Data last updated: 04/10/2025",1985,8537000000000.0
NGDP_R,USA,A,2024,OL,9,SNA,"Source: National Statistics Office Latest actual data: 2024 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices. Real Gross Domestic Product determined by chained Fisher quantity growth rates. Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2017 Chain-weighted: Yes, from 1980 Primary domestic currency: US dollar Data last updated: 04/10/2025",1986,8832600000000.0
NGDP_R,USA,A,2024,OL,9,SNA,"Source: National Statistics Office Latest actual data: 2024 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices. Real Gross Domestic Product determined by chained Fisher quantity growth rates. Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2017 Chain-weighted: Yes, from 1980 Primary domestic currency: US dollar Data last updated: 04/10/2025",1987,9137750000000.0
NGDP_R,USA,A,2024,OL,9,SNA,"Source: National Statistics Office Latest actual data: 2024 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices. Real Gross Domestic Product determined by chained Fisher quantity growth rates. Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2017 Chain-weighted: Yes, from 1980 Primary domestic currency: US dollar Data last updated: 04/10/2025",1988,9519425000000.0
NGDP_R,USA,A,2024,OL,9,SNA,"Source: National Statistics Office Latest actual data: 2024 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices. Real Gross Domestic Product determined by chained Fisher quantity growth rates. Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2017 Chain-weighted: Yes, from 1980 Primary domestic currency: US dollar Data last updated: 04/10/2025",1989,9869000000000.0
