INDICATOR,COUNTRY,FREQUENCY,LATEST_ACTUAL_ANNUAL_DATA,OVERLAP,SCALE,METHODOLOGY,METHODOLOGY_NOTES,TIME_PERIOD,value
PCPI,CAN,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: No Base year: 2002 Primary domestic currency: Canadian dollar Data last updated: 04/09/2025,1980,44.037
PCPI,CAN,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: No Base year: 2002 Primary domestic currency: Canadian dollar Data last updated: 04/09/2025,1981,49.525
PCPI,CAN,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: No Base year: 2002 Primary domestic currency: Canadian dollar Data last updated: 04/09/2025,1982,54.876
PCPI,CAN,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: No Base year: 2002 Primary domestic currency: Canadian dollar Data last updated: 04/09/2025,1983,58.067
PCPI,CAN,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: No Base year: 2002 Primary domestic currency: Canadian dollar Data last updated: 04/09/2025,1984,60.587
PCPI,CAN,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: No Base year: 2002 Primary domestic currency: Canadian dollar Data last updated: 04/09/2025,1985,62.98
PCPI,CAN,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: No Base year: 2002 Primary domestic currency: Canadian dollar Data last updated: 04/09/2025,1986,65.609
PCPI,CAN,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: No Base year: 2002 Primary domestic currency: Canadian dollar Data last updated: 04/09/2025,1987,68.473
PCPI,CAN,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: No Base year: 2002 Primary domestic currency: Canadian dollar Data last updated: 04/09/2025,1988,71.233
PCPI,CAN,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: No Base year: 2002 Primary domestic currency: Canadian dollar Data last updated: 04/09/2025,1989,74.783
PCPI,CAN,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: No Base year: 2002 Primary domestic currency: Canadian dollar Data last updated: 04/09/2025,1990,78.358
PCPI,CAN,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: No Base year: 2002 Primary domestic currency: Canadian dollar Data last updated: 04/09/2025,1991,82.767
PCPI,CAN,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: No Base year: 2002 Primary domestic currency: Canadian dollar Data last updated: 04/09/2025,1992,84.0
PCPI,CAN,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: No Base year: 2002 Primary domestic currency: Canadian dollar Data last updated: 04/09/2025,1993,85.567
PCPI,CAN,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: No Base year: 2002 Primary domestic currency: Canadian dollar Data last updated: 04/09/2025,1994,85.708
PCPI,CAN,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: No Base year: 2002 Primary domestic currency: Canadian dollar Data last updated: 04/09/2025,1995,87.55
PCPI,CAN,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: No Base year: 2002 Primary domestic currency: Canadian dollar Data last updated: 04/09/2025,1996,88.925
PCPI,CAN,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: No Base year: 2002 Primary domestic currency: Canadian dollar Data last updated: 04/09/2025,1997,90.367
PCPI,CAN,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: No Base year: 2002 Primary domestic currency: Canadian dollar Data last updated: 04/09/2025,1998,91.267
PCPI,CAN,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: No Base year: 2002 Primary domestic currency: Canadian dollar Data last updated: 04/09/2025,1999,92.85
PCPI,CAN,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: No Base year: 2002 Primary domestic currency: Canadian dollar Data last updated: 04/09/2025,2000,95.375
PCPI,CAN,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: No Base year: 2002 Primary domestic currency: Canadian dollar Data last updated: 04/09/2025,2001,97.783
PCPI,CAN,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: No Base year: 2002 Primary domestic currency: Canadian dollar Data last updated: 04/09/2025,2002,99.992
PCPI,CAN,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: No Base year: 2002 Primary domestic currency: Canadian dollar Data last updated: 04/09/2025,2003,102.75
PCPI,CAN,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: No Base year: 2002 Primary domestic currency: Canadian dollar Data last updated: 04/09/2025,2004,104.658
PCPI,CAN,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: No Base year: 2002 Primary domestic currency: Canadian dollar Data last updated: 04/09/2025,2005,106.975
PCPI,CAN,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: No Base year: 2002 Primary domestic currency: Canadian dollar Data last updated: 04/09/2025,2006,109.117
PCPI,CAN,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: No Base year: 2002 Primary domestic currency: Canadian dollar Data last updated: 04/09/2025,2007,111.45
PCPI,CAN,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: No Base year: 2002 Primary domestic currency: Canadian dollar Data last updated: 04/09/2025,2008,114.092
PCPI,CAN,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: No Base year: 2002 Primary domestic currency: Canadian dollar Data last updated: 04/09/2025,2009,114.433
PCPI,CAN,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: No Base year: 2002 Primary domestic currency: Canadian dollar Data last updated: 04/09/2025,2010,116.467
PCPI,CAN,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: No Base year: 2002 Primary domestic currency: Canadian dollar Data last updated: 04/09/2025,2011,119.858
