INDICATOR,COUNTRY,FREQUENCY,LATEST_ACTUAL_ANNUAL_DATA,OVERLAP,SCALE,METHODOLOGY,METHODOLOGY_NOTES,TIME_PERIOD,value
PCPI,DEU,A,2024,OL,0,CPI,"Source: National Statistics Office Latest actual data: 2024 Notes: Data until 1990 refers to German federation only (West Germany). Data from 1991 refer to United Germany. Harmonized prices: Yes. Until 1995 Consumer Price Index Annual Average, from 1996 and onwards harmonized Consumer Price Index Annual Average. Base year: 2015 Primary domestic currency: Euro Data last updated: 04/11/2025",1980,48.74
PCPI,DEU,A,2024,OL,0,CPI,"Source: National Statistics Office Latest actual data: 2024 Notes: Data until 1990 refers to German federation only (West Germany). Data from 1991 refer to United Germany. Harmonized prices: Yes. Until 1995 Consumer Price Index Annual Average, from 1996 and onwards harmonized Consumer Price Index Annual Average. Base year: 2015 Primary domestic currency: Euro Data last updated: 04/11/2025",1981,51.822
PCPI,DEU,A,2024,OL,0,CPI,"Source: National Statistics Office Latest actual data: 2024 Notes: Data until 1990 refers to German federation only (West Germany). Data from 1991 refer to United Germany. Harmonized prices: Yes. Until 1995 Consumer Price Index Annual Average, from 1996 and onwards harmonized Consumer Price Index Annual Average. Base year: 2015 Primary domestic currency: Euro Data last updated: 04/11/2025",1982,54.546
PCPI,DEU,A,2024,OL,0,CPI,"Source: National Statistics Office Latest actual data: 2024 Notes: Data until 1990 refers to German federation only (West Germany). Data from 1991 refer to United Germany. Harmonized prices: Yes. Until 1995 Consumer Price Index Annual Average, from 1996 and onwards harmonized Consumer Price Index Annual Average. Base year: 2015 Primary domestic currency: Euro Data last updated: 04/11/2025",1983,56.338
PCPI,DEU,A,2024,OL,0,CPI,"Source: National Statistics Office Latest actual data: 2024 Notes: Data until 1990 refers to German federation only (West Germany). Data from 1991 refer to United Germany. Harmonized prices: Yes. Until 1995 Consumer Price Index Annual Average, from 1996 and onwards harmonized Consumer Price Index Annual Average. Base year: 2015 Primary domestic currency: Euro Data last updated: 04/11/2025",1984,57.687
PCPI,DEU,A,2024,OL,0,CPI,"Source: National Statistics Office Latest actual data: 2024 Notes: Data until 1990 refers to German federation only (West Germany). Data from 1991 refer to United Germany. Harmonized prices: Yes. Until 1995 Consumer Price Index Annual Average, from 1996 and onwards harmonized Consumer Price Index Annual Average. Base year: 2015 Primary domestic currency: Euro Data last updated: 04/11/2025",1985,58.89
PCPI,DEU,A,2024,OL,0,CPI,"Source: National Statistics Office Latest actual data: 2024 Notes: Data until 1990 refers to German federation only (West Germany). Data from 1991 refer to United Germany. Harmonized prices: Yes. Until 1995 Consumer Price Index Annual Average, from 1996 and onwards harmonized Consumer Price Index Annual Average. Base year: 2015 Primary domestic currency: Euro Data last updated: 04/11/2025",1986,58.816
PCPI,DEU,A,2024,OL,0,CPI,"Source: National Statistics Office Latest actual data: 2024 Notes: Data until 1990 refers to German federation only (West Germany). Data from 1991 refer to United Germany. Harmonized prices: Yes. Until 1995 Consumer Price Index Annual Average, from 1996 and onwards harmonized Consumer Price Index Annual Average. Base year: 2015 Primary domestic currency: Euro Data last updated: 04/11/2025",1987,58.959
PCPI,DEU,A,2024,OL,0,CPI,"Source: National Statistics Office Latest actual data: 2024 Notes: Data until 1990 refers to German federation only (West Germany). Data from 1991 refer to United Germany. Harmonized prices: Yes. Until 1995 Consumer Price Index Annual Average, from 1996 and onwards harmonized Consumer Price Index Annual Average. Base year: 2015 Primary domestic currency: Euro Data last updated: 04/11/2025",1988,59.709
PCPI,DEU,A,2024,OL,0,CPI,"Source: National Statistics Office Latest actual data: 2024 Notes: Data until 1990 refers to German federation only (West Germany). Data from 1991 refer to United Germany. Harmonized prices: Yes. Until 1995 Consumer Price Index Annual Average, from 1996 and onwards harmonized Consumer Price Index Annual Average. Base year: 2015 Primary domestic currency: Euro Data last updated: 04/11/2025",1989,61.368
