INDICATOR,COUNTRY,FREQUENCY,LATEST_ACTUAL_ANNUAL_DATA,OVERLAP,SCALE,METHODOLOGY,METHODOLOGY_NOTES,TIME_PERIOD,value
PCPI,FRA,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: Yes Base year: 2015 Primary domestic currency: Euro Data last updated: 04/10/2025,1980,35.583
PCPI,FRA,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: Yes Base year: 2015 Primary domestic currency: Euro Data last updated: 04/10/2025,1981,40.327
PCPI,FRA,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: Yes Base year: 2015 Primary domestic currency: Euro Data last updated: 04/10/2025,1982,45.158
PCPI,FRA,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: Yes Base year: 2015 Primary domestic currency: Euro Data last updated: 04/10/2025,1983,49.43
PCPI,FRA,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: Yes Base year: 2015 Primary domestic currency: Euro Data last updated: 04/10/2025,1984,53.223
PCPI,FRA,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: Yes Base year: 2015 Primary domestic currency: Euro Data last updated: 04/10/2025,1985,56.326
PCPI,FRA,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: Yes Base year: 2015 Primary domestic currency: Euro Data last updated: 04/10/2025,1986,57.756
PCPI,FRA,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: Yes Base year: 2015 Primary domestic currency: Euro Data last updated: 04/10/2025,1987,59.655
PCPI,FRA,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: Yes Base year: 2015 Primary domestic currency: Euro Data last updated: 04/10/2025,1988,61.267
PCPI,FRA,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: Yes Base year: 2015 Primary domestic currency: Euro Data last updated: 04/10/2025,1989,65.292
PCPI,FRA,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: Yes Base year: 2015 Primary domestic currency: Euro Data last updated: 04/10/2025,1990,65.503
PCPI,FRA,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: Yes Base year: 2015 Primary domestic currency: Euro Data last updated: 04/10/2025,1991,67.732
PCPI,FRA,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: Yes Base year: 2015 Primary domestic currency: Euro Data last updated: 04/10/2025,1992,69.395
PCPI,FRA,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: Yes Base year: 2015 Primary domestic currency: Euro Data last updated: 04/10/2025,1993,70.946
PCPI,FRA,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: Yes Base year: 2015 Primary domestic currency: Euro Data last updated: 04/10/2025,1994,72.127
PCPI,FRA,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: Yes Base year: 2015 Primary domestic currency: Euro Data last updated: 04/10/2025,1995,73.403
PCPI,FRA,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: Yes Base year: 2015 Primary domestic currency: Euro Data last updated: 04/10/2025,1996,74.928
PCPI,FRA,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: Yes Base year: 2015 Primary domestic currency: Euro Data last updated: 04/10/2025,1997,75.88
PCPI,FRA,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: Yes Base year: 2015 Primary domestic currency: Euro Data last updated: 04/10/2025,1998,76.391
PCPI,FRA,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: Yes Base year: 2015 Primary domestic currency: Euro Data last updated: 04/10/2025,1999,76.832
PCPI,FRA,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: Yes Base year: 2015 Primary domestic currency: Euro Data last updated: 04/10/2025,2000,78.226
PCPI,FRA,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: Yes Base year: 2015 Primary domestic currency: Euro Data last updated: 04/10/2025,2001,79.622
PCPI,FRA,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: Yes Base year: 2015 Primary domestic currency: Euro Data last updated: 04/10/2025,2002,81.164
PCPI,FRA,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: Yes Base year: 2015 Primary domestic currency: Euro Data last updated: 04/10/2025,2003,82.927
PCPI,FRA,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: Yes Base year: 2015 Primary domestic currency: Euro Data last updated: 04/10/2025,2004,84.863
PCPI,FRA,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: Yes Base year: 2015 Primary domestic currency: Euro Data last updated: 04/10/2025,2005,86.466
PCPI,FRA,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: Yes Base year: 2015 Primary domestic currency: Euro Data last updated: 04/10/2025,2006,88.102
PCPI,FRA,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: Yes Base year: 2015 Primary domestic currency: Euro Data last updated: 04/10/2025,2007,89.516
PCPI,FRA,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: Yes Base year: 2015 Primary domestic currency: Euro Data last updated: 04/10/2025,2008,92.346
PCPI,FRA,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: Yes Base year: 2015 Primary domestic currency: Euro Data last updated: 04/10/2025,2009,92.44
PCPI,FRA,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: Yes Base year: 2015 Primary domestic currency: Euro Data last updated: 04/10/2025,2010,94.047
PCPI,FRA,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: Yes Base year: 2015 Primary domestic currency: Euro Data last updated: 04/10/2025,2011,96.198
PCPI,FRA,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: Yes Base year: 2015 Primary domestic currency: Euro Data last updated: 04/10/2025,2012,98.33
PCPI,FRA,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: Yes Base year: 2015 Primary domestic currency: Euro Data last updated: 04/10/2025,2013,99.303
PCPI,FRA,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: Yes Base year: 2015 Primary domestic currency: Euro Data last updated: 04/10/2025,2014,99.909
PCPI,FRA,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: Yes Base year: 2015 Primary domestic currency: Euro Data last updated: 04/10/2025,2015,99.998
PCPI,FRA,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: Yes Base year: 2015 Primary domestic currency: Euro Data last updated: 04/10/2025,2016,100.305
PCPI,FRA,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: Yes Base year: 2015 Primary domestic currency: Euro Data last updated: 04/10/2025,2017,101.474
PCPI,FRA,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: Yes Base year: 2015 Primary domestic currency: Euro Data last updated: 04/10/2025,2018,103.604
PCPI,FRA,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: Yes Base year: 2015 Primary domestic currency: Euro Data last updated: 04/10/2025,2019,104.949
