INDICATOR,COUNTRY,FREQUENCY,LATEST_ACTUAL_ANNUAL_DATA,OVERLAP,SCALE,METHODOLOGY,METHODOLOGY_NOTES,TIME_PERIOD,value
PCPI,GBR,A,2024,OL,0,CPI,"Source: National Statistics Office. For data prior to 1988, the source is the WEO - World Economic Outlook. Latest actual data: 2024. Our PCPIE (end-period CPI data) is for December each year; latest data is 2024Q4 Notes: Data prior to 1988 cannot be confirmed by national sources at this time. Harmonized prices: Yes Base year: 2015 Primary domestic currency: British pound Data last updated: 04/10/2025",1980,31.268
PCPI,GBR,A,2024,OL,0,CPI,"Source: National Statistics Office. For data prior to 1988, the source is the WEO - World Economic Outlook. Latest actual data: 2024. Our PCPIE (end-period CPI data) is for December each year; latest data is 2024Q4 Notes: Data prior to 1988 cannot be confirmed by national sources at this time. Harmonized prices: Yes Base year: 2015 Primary domestic currency: British pound Data last updated: 04/10/2025",1981,35.079
PCPI,GBR,A,2024,OL,0,CPI,"Source: National Statistics Office. For data prior to 1988, the source is the WEO - World Economic Outlook. Latest actual data: 2024. Our PCPIE (end-period CPI data) is for December each year; latest data is 2024Q4 Notes: Data prior to 1988 cannot be confirmed by national sources at this time. Harmonized prices: Yes Base year: 2015 Primary domestic currency: British pound Data last updated: 04/10/2025",1982,38.064
PCPI,GBR,A,2024,OL,0,CPI,"Source: National Statistics Office. For data prior to 1988, the source is the WEO - World Economic Outlook. Latest actual data: 2024. Our PCPIE (end-period CPI data) is for December each year; latest data is 2024Q4 Notes: Data prior to 1988 cannot be confirmed by national sources at this time. Harmonized prices: Yes Base year: 2015 Primary domestic currency: British pound Data last updated: 04/10/2025",1983,40.043
PCPI,GBR,A,2024,OL,0,CPI,"Source: National Statistics Office. For data prior to 1988, the source is the WEO - World Economic Outlook. Latest actual data: 2024. Our PCPIE (end-period CPI data) is for December each year; latest data is 2024Q4 Notes: Data prior to 1988 cannot be confirmed by national sources at this time. Harmonized prices: Yes Base year: 2015 Primary domestic currency: British pound Data last updated: 04/10/2025",1984,41.824
PCPI,GBR,A,2024,OL,0,CPI,"Source: National Statistics Office. For data prior to 1988, the source is the WEO - World Economic Outlook. Latest actual data: 2024. Our PCPIE (end-period CPI data) is for December each year; latest data is 2024Q4 Notes: Data prior to 1988 cannot be confirmed by national sources at this time. Harmonized prices: Yes Base year: 2015 Primary domestic currency: British pound Data last updated: 04/10/2025",1985,43.982
PCPI,GBR,A,2024,OL,0,CPI,"Source: National Statistics Office. For data prior to 1988, the source is the WEO - World Economic Outlook. Latest actual data: 2024. Our PCPIE (end-period CPI data) is for December each year; latest data is 2024Q4 Notes: Data prior to 1988 cannot be confirmed by national sources at this time. Harmonized prices: Yes Base year: 2015 Primary domestic currency: British pound Data last updated: 04/10/2025",1986,45.577
PCPI,GBR,A,2024,OL,0,CPI,"Source: National Statistics Office. For data prior to 1988, the source is the WEO - World Economic Outlook. Latest actual data: 2024. Our PCPIE (end-period CPI data) is for December each year; latest data is 2024Q4 Notes: Data prior to 1988 cannot be confirmed by national sources at this time. Harmonized prices: Yes Base year: 2015 Primary domestic currency: British pound Data last updated: 04/10/2025",1987,47.43
PCPI,GBR,A,2024,OL,0,CPI,"Source: National Statistics Office. For data prior to 1988, the source is the WEO - World Economic Outlook. Latest actual data: 2024. Our PCPIE (end-period CPI data) is for December each year; latest data is 2024Q4 Notes: Data prior to 1988 cannot be confirmed by national sources at this time. Harmonized prices: Yes Base year: 2015 Primary domestic currency: British pound Data last updated: 04/10/2025",1988,49.618
PCPI,GBR,A,2024,OL,0,CPI,"Source: National Statistics Office. For data prior to 1988, the source is the WEO - World Economic Outlook. Latest actual data: 2024. Our PCPIE (end-period CPI data) is for December each year; latest data is 2024Q4 Notes: Data prior to 1988 cannot be confirmed by national sources at this time. Harmonized prices: Yes Base year: 2015 Primary domestic currency: British pound Data last updated: 04/10/2025",1989,52.206
PCPI,GBR,A,2024,OL,0,CPI,"Source: National Statistics Office. For data prior to 1988, the source is the WEO - World Economic Outlook. Latest actual data: 2024. Our PCPIE (end-period CPI data) is for December each year; latest data is 2024Q4 Notes: Data prior to 1988 cannot be confirmed by national sources at this time. Harmonized prices: Yes Base year: 2015 Primary domestic currency: British pound Data last updated: 04/10/2025",1990,55.86
PCPI,GBR,A,2024,OL,0,CPI,"Source: National Statistics Office. For data prior to 1988, the source is the WEO - World Economic Outlook. Latest actual data: 2024. Our PCPIE (end-period CPI data) is for December each year; latest data is 2024Q4 Notes: Data prior to 1988 cannot be confirmed by national sources at this time. Harmonized prices: Yes Base year: 2015 Primary domestic currency: British pound Data last updated: 04/10/2025",1991,60.06
PCPI,GBR,A,2024,OL,0,CPI,"Source: National Statistics Office. For data prior to 1988, the source is the WEO - World Economic Outlook. Latest actual data: 2024. Our PCPIE (end-period CPI data) is for December each year; latest data is 2024Q4 Notes: Data prior to 1988 cannot be confirmed by national sources at this time. Harmonized prices: Yes Base year: 2015 Primary domestic currency: British pound Data last updated: 04/10/2025",1992,62.602
PCPI,GBR,A,2024,OL,0,CPI,"Source: National Statistics Office. For data prior to 1988, the source is the WEO - World Economic Outlook. Latest actual data: 2024. Our PCPIE (end-period CPI data) is for December each year; latest data is 2024Q4 Notes: Data prior to 1988 cannot be confirmed by national sources at this time. Harmonized prices: Yes Base year: 2015 Primary domestic currency: British pound Data last updated: 04/10/2025",1993,64.188
PCPI,GBR,A,2024,OL,0,CPI,"Source: National Statistics Office. For data prior to 1988, the source is the WEO - World Economic Outlook. Latest actual data: 2024. Our PCPIE (end-period CPI data) is for December each year; latest data is 2024Q4 Notes: Data prior to 1988 cannot be confirmed by national sources at this time. Harmonized prices: Yes Base year: 2015 Primary domestic currency: British pound Data last updated: 04/10/2025",1994,65.467
