INDICATOR,COUNTRY,FREQUENCY,LATEST_ACTUAL_ANNUAL_DATA,OVERLAP,SCALE,METHODOLOGY,METHODOLOGY_NOTES,TIME_PERIOD,value
PCPI,ITA,A,2024,OL,0,CPI,Source: National Statistics Office. Data available from 1982 only Latest actual data: 2024 Harmonized prices: Yes Base year: 2015 Primary domestic currency: Euro Data last updated: 04/10/2025,1980,20.305
PCPI,ITA,A,2024,OL,0,CPI,Source: National Statistics Office. Data available from 1982 only Latest actual data: 2024 Harmonized prices: Yes Base year: 2015 Primary domestic currency: Euro Data last updated: 04/10/2025,1981,24.266
PCPI,ITA,A,2024,OL,0,CPI,Source: National Statistics Office. Data available from 1982 only Latest actual data: 2024 Harmonized prices: Yes Base year: 2015 Primary domestic currency: Euro Data last updated: 04/10/2025,1982,28.26
PCPI,ITA,A,2024,OL,0,CPI,Source: National Statistics Office. Data available from 1982 only Latest actual data: 2024 Harmonized prices: Yes Base year: 2015 Primary domestic currency: Euro Data last updated: 04/10/2025,1983,32.415
PCPI,ITA,A,2024,OL,0,CPI,Source: National Statistics Office. Data available from 1982 only Latest actual data: 2024 Harmonized prices: Yes Base year: 2015 Primary domestic currency: Euro Data last updated: 04/10/2025,1984,35.896
PCPI,ITA,A,2024,OL,0,CPI,Source: National Statistics Office. Data available from 1982 only Latest actual data: 2024 Harmonized prices: Yes Base year: 2015 Primary domestic currency: Euro Data last updated: 04/10/2025,1985,39.116
PCPI,ITA,A,2024,OL,0,CPI,Source: National Statistics Office. Data available from 1982 only Latest actual data: 2024 Harmonized prices: Yes Base year: 2015 Primary domestic currency: Euro Data last updated: 04/10/2025,1986,41.392
PCPI,ITA,A,2024,OL,0,CPI,Source: National Statistics Office. Data available from 1982 only Latest actual data: 2024 Harmonized prices: Yes Base year: 2015 Primary domestic currency: Euro Data last updated: 04/10/2025,1987,43.346
PCPI,ITA,A,2024,OL,0,CPI,Source: National Statistics Office. Data available from 1982 only Latest actual data: 2024 Harmonized prices: Yes Base year: 2015 Primary domestic currency: Euro Data last updated: 04/10/2025,1988,45.552
PCPI,ITA,A,2024,OL,0,CPI,Source: National Statistics Office. Data available from 1982 only Latest actual data: 2024 Harmonized prices: Yes Base year: 2015 Primary domestic currency: Euro Data last updated: 04/10/2025,1989,48.397
