INDICATOR,COUNTRY,FREQUENCY,LATEST_ACTUAL_ANNUAL_DATA,OVERLAP,SCALE,METHODOLOGY,METHODOLOGY_NOTES,TIME_PERIOD,value
PCPI,USA,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: No Base year: Base is 1982-1984=100 Primary domestic currency: US dollar Data last updated: 04/10/2025,1980,82.383
PCPI,USA,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: No Base year: Base is 1982-1984=100 Primary domestic currency: US dollar Data last updated: 04/10/2025,1981,90.933
PCPI,USA,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: No Base year: Base is 1982-1984=100 Primary domestic currency: US dollar Data last updated: 04/10/2025,1982,96.533
PCPI,USA,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: No Base year: Base is 1982-1984=100 Primary domestic currency: US dollar Data last updated: 04/10/2025,1983,99.583
PCPI,USA,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: No Base year: Base is 1982-1984=100 Primary domestic currency: US dollar Data last updated: 04/10/2025,1984,103.933
PCPI,USA,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: No Base year: Base is 1982-1984=100 Primary domestic currency: US dollar Data last updated: 04/10/2025,1985,107.6
PCPI,USA,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: No Base year: Base is 1982-1984=100 Primary domestic currency: US dollar Data last updated: 04/10/2025,1986,109.692
PCPI,USA,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: No Base year: Base is 1982-1984=100 Primary domestic currency: US dollar Data last updated: 04/10/2025,1987,113.617
PCPI,USA,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: No Base year: Base is 1982-1984=100 Primary domestic currency: US dollar Data last updated: 04/10/2025,1988,118.275
PCPI,USA,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: No Base year: Base is 1982-1984=100 Primary domestic currency: US dollar Data last updated: 04/10/2025,1989,123.942
PCPI,USA,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: No Base year: Base is 1982-1984=100 Primary domestic currency: US dollar Data last updated: 04/10/2025,1990,130.658
PCPI,USA,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: No Base year: Base is 1982-1984=100 Primary domestic currency: US dollar Data last updated: 04/10/2025,1991,136.167
PCPI,USA,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: No Base year: Base is 1982-1984=100 Primary domestic currency: US dollar Data last updated: 04/10/2025,1992,140.308
PCPI,USA,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: No Base year: Base is 1982-1984=100 Primary domestic currency: US dollar Data last updated: 04/10/2025,1993,144.475
PCPI,USA,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: No Base year: Base is 1982-1984=100 Primary domestic currency: US dollar Data last updated: 04/10/2025,1994,148.225
PCPI,USA,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: No Base year: Base is 1982-1984=100 Primary domestic currency: US dollar Data last updated: 04/10/2025,1995,152.383
PCPI,USA,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: No Base year: Base is 1982-1984=100 Primary domestic currency: US dollar Data last updated: 04/10/2025,1996,156.858
PCPI,USA,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: No Base year: Base is 1982-1984=100 Primary domestic currency: US dollar Data last updated: 04/10/2025,1997,160.525
PCPI,USA,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: No Base year: Base is 1982-1984=100 Primary domestic currency: US dollar Data last updated: 04/10/2025,1998,163.008
PCPI,USA,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: No Base year: Base is 1982-1984=100 Primary domestic currency: US dollar Data last updated: 04/10/2025,1999,166.583
PCPI,USA,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: No Base year: Base is 1982-1984=100 Primary domestic currency: US dollar Data last updated: 04/10/2025,2000,172.192
PCPI,USA,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: No Base year: Base is 1982-1984=100 Primary domestic currency: US dollar Data last updated: 04/10/2025,2001,177.042
PCPI,USA,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: No Base year: Base is 1982-1984=100 Primary domestic currency: US dollar Data last updated: 04/10/2025,2002,179.867
PCPI,USA,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: No Base year: Base is 1982-1984=100 Primary domestic currency: US dollar Data last updated: 04/10/2025,2003,184.0
PCPI,USA,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: No Base year: Base is 1982-1984=100 Primary domestic currency: US dollar Data last updated: 04/10/2025,2004,188.908
PCPI,USA,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: No Base year: Base is 1982-1984=100 Primary domestic currency: US dollar Data last updated: 04/10/2025,2005,195.267
PCPI,USA,A,2024,OL,0,CPI,Source: National Statistics Office Latest actual data: 2024 Harmonized prices: No Base year: Base is 1982-1984=100 Primary domestic currency: US dollar Data last updated: 04/10/2025,2006,201.558
