INDICATOR,COUNTRY,FREQUENCY,LATEST_ACTUAL_ANNUAL_DATA,OVERLAP,SCALE,METHODOLOGY,METHODOLOGY_NOTES,TIME_PERIOD,value
GGXWDN_NGDP,USA,A,2024,OL,0,GFS,See notes for:  General government net debt (National currency).,2001,34.294
GGXWDN_NGDP,USA,A,2024,OL,0,GFS,See notes for:  General government net debt (National currency).,2002,36.538
GGXWDN_NGDP,USA,A,2024,OL,0,GFS,See notes for:  General government net debt (National currency).,2003,38.668
GGXWDN_NGDP,USA,A,2024,OL,0,GFS,See notes for:  General government net debt (National currency).,2004,47.218
GGXWDN_NGDP,USA,A,2024,OL,0,GFS,See notes for:  General government net debt (National currency).,2005,45.783
GGXWDN_NGDP,USA,A,2024,OL,0,GFS,See notes for:  General government net debt (National currency).,2006,44.202
GGXWDN_NGDP,USA,A,2024,OL,0,GFS,See notes for:  General government net debt (National currency).,2007,43.833
GGXWDN_NGDP,USA,A,2024,OL,0,GFS,See notes for:  General government net debt (National currency).,2008,50.031
GGXWDN_NGDP,USA,A,2024,OL,0,GFS,See notes for:  General government net debt (National currency).,2009,61.093
GGXWDN_NGDP,USA,A,2024,OL,0,GFS,See notes for:  General government net debt (National currency).,2010,67.586
GGXWDN_NGDP,USA,A,2024,OL,0,GFS,See notes for:  General government net debt (National currency).,2011,73.871
GGXWDN_NGDP,USA,A,2024,OL,0,GFS,See notes for:  General government net debt (National currency).,2012,77.807
GGXWDN_NGDP,USA,A,2024,OL,0,GFS,See notes for:  General government net debt (National currency).,2013,78.639
GGXWDN_NGDP,USA,A,2024,OL,0,GFS,See notes for:  General government net debt (National currency).,2014,79.26
GGXWDN_NGDP,USA,A,2024,OL,0,GFS,See notes for:  General government net debt (National currency).,2015,79.535
GGXWDN_NGDP,USA,A,2024,OL,0,GFS,See notes for:  General government net debt (National currency).,2016,80.473
GGXWDN_NGDP,USA,A,2024,OL,0,GFS,See notes for:  General government net debt (National currency).,2017,78.614
GGXWDN_NGDP,USA,A,2024,OL,0,GFS,See notes for:  General government net debt (National currency).,2018,79.376
GGXWDN_NGDP,USA,A,2024,OL,0,GFS,See notes for:  General government net debt (National currency).,2019,81.078
GGXWDN_NGDP,USA,A,2024,OL,0,GFS,See notes for:  General government net debt (National currency).,2020,95.628
GGXWDN_NGDP,USA,A,2024,OL,0,GFS,See notes for:  General government net debt (National currency).,2021,95.511
GGXWDN_NGDP,USA,A,2024,OL,0,GFS,See notes for:  General government net debt (National currency).,2022,91.628
GGXWDN_NGDP,USA,A,2024,OL,0,GFS,See notes for:  General government net debt (National currency).,2023,93.957
GGXWDN_NGDP,USA,A,2024,OL,0,GFS,See notes for:  General government net debt (National currency).,2024,96.539
GGXWDN_NGDP,USA,A,2024,OL,0,GFS,See notes for:  General government net debt (National currency).,2025,98.044
GGXWDN_NGDP,USA,A,2024,OL,0,GFS,See notes for:  General government net debt (National currency).,2026,99.233
GGXWDN_NGDP,USA,A,2024,OL,0,GFS,See notes for:  General government net debt (National currency).,2027,100.428
GGXWDN_NGDP,USA,A,2024,OL,0,GFS,See notes for:  General government net debt (National currency).,2028,101.448
GGXWDN_NGDP,USA,A,2024,OL,0,GFS,See notes for:  General government net debt (National currency).,2029,102.679
GGXWDN_NGDP,USA,A,2024,OL,0,GFS,See notes for:  General government net debt (National currency).,2030,104.02
