INDICATOR,COUNTRY,FREQUENCY,LATEST_ACTUAL_ANNUAL_DATA,OVERLAP,SCALE,METHODOLOGY_NOTES,TIME_PERIOD,value
LUR,CAN,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: National definition Primary domestic currency: Canadian dollar Data last updated: 04/09/2025,1980,7.517
LUR,CAN,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: National definition Primary domestic currency: Canadian dollar Data last updated: 04/09/2025,1981,7.617
LUR,CAN,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: National definition Primary domestic currency: Canadian dollar Data last updated: 04/09/2025,1982,11.1
LUR,CAN,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: National definition Primary domestic currency: Canadian dollar Data last updated: 04/09/2025,1983,12.0
LUR,CAN,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: National definition Primary domestic currency: Canadian dollar Data last updated: 04/09/2025,1984,11.375
LUR,CAN,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: National definition Primary domestic currency: Canadian dollar Data last updated: 04/09/2025,1985,10.508
LUR,CAN,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: National definition Primary domestic currency: Canadian dollar Data last updated: 04/09/2025,1986,9.608
LUR,CAN,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: National definition Primary domestic currency: Canadian dollar Data last updated: 04/09/2025,1987,8.8
LUR,CAN,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: National definition Primary domestic currency: Canadian dollar Data last updated: 04/09/2025,1988,7.775
LUR,CAN,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: National definition Primary domestic currency: Canadian dollar Data last updated: 04/09/2025,1989,7.508
LUR,CAN,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: National definition Primary domestic currency: Canadian dollar Data last updated: 04/09/2025,1990,8.15
LUR,CAN,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: National definition Primary domestic currency: Canadian dollar Data last updated: 04/09/2025,1991,10.317
LUR,CAN,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: National definition Primary domestic currency: Canadian dollar Data last updated: 04/09/2025,1992,11.217
LUR,CAN,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: National definition Primary domestic currency: Canadian dollar Data last updated: 04/09/2025,1993,11.375
LUR,CAN,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: National definition Primary domestic currency: Canadian dollar Data last updated: 04/09/2025,1994,10.392
LUR,CAN,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: National definition Primary domestic currency: Canadian dollar Data last updated: 04/09/2025,1995,9.467
LUR,CAN,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: National definition Primary domestic currency: Canadian dollar Data last updated: 04/09/2025,1996,9.608
LUR,CAN,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: National definition Primary domestic currency: Canadian dollar Data last updated: 04/09/2025,1997,9.092
LUR,CAN,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: National definition Primary domestic currency: Canadian dollar Data last updated: 04/09/2025,1998,8.292
LUR,CAN,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: National definition Primary domestic currency: Canadian dollar Data last updated: 04/09/2025,1999,7.567
LUR,CAN,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: National definition Primary domestic currency: Canadian dollar Data last updated: 04/09/2025,2000,6.833
LUR,CAN,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: National definition Primary domestic currency: Canadian dollar Data last updated: 04/09/2025,2001,7.225
LUR,CAN,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: National definition Primary domestic currency: Canadian dollar Data last updated: 04/09/2025,2002,7.683
LUR,CAN,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: National definition Primary domestic currency: Canadian dollar Data last updated: 04/09/2025,2003,7.592
LUR,CAN,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: National definition Primary domestic currency: Canadian dollar Data last updated: 04/09/2025,2004,7.15
LUR,CAN,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: National definition Primary domestic currency: Canadian dollar Data last updated: 04/09/2025,2005,6.75
LUR,CAN,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: National definition Primary domestic currency: Canadian dollar Data last updated: 04/09/2025,2006,6.45
LUR,CAN,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: National definition Primary domestic currency: Canadian dollar Data last updated: 04/09/2025,2007,6.158
LUR,CAN,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: National definition Primary domestic currency: Canadian dollar Data last updated: 04/09/2025,2008,6.308
LUR,CAN,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: National definition Primary domestic currency: Canadian dollar Data last updated: 04/09/2025,2009,8.475
LUR,CAN,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: National definition Primary domestic currency: Canadian dollar Data last updated: 04/09/2025,2010,8.158
LUR,CAN,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: National definition Primary domestic currency: Canadian dollar Data last updated: 04/09/2025,2011,7.625
LUR,CAN,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: National definition Primary domestic currency: Canadian dollar Data last updated: 04/09/2025,2012,7.442
LUR,CAN,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: National definition Primary domestic currency: Canadian dollar Data last updated: 04/09/2025,2013,7.208
LUR,CAN,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: National definition Primary domestic currency: Canadian dollar Data last updated: 04/09/2025,2014,7.058
LUR,CAN,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: National definition Primary domestic currency: Canadian dollar Data last updated: 04/09/2025,2015,7.0
LUR,CAN,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: National definition Primary domestic currency: Canadian dollar Data last updated: 04/09/2025,2016,7.05
LUR,CAN,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: National definition Primary domestic currency: Canadian dollar Data last updated: 04/09/2025,2017,6.417
LUR,CAN,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: National definition Primary domestic currency: Canadian dollar Data last updated: 04/09/2025,2018,5.833
LUR,CAN,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: National definition Primary domestic currency: Canadian dollar Data last updated: 04/09/2025,2019,5.683
LUR,CAN,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: National definition Primary domestic currency: Canadian dollar Data last updated: 04/09/2025,2020,9.742
LUR,CAN,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: National definition Primary domestic currency: Canadian dollar Data last updated: 04/09/2025,2021,7.483
LUR,CAN,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: National definition Primary domestic currency: Canadian dollar Data last updated: 04/09/2025,2022,5.25
LUR,CAN,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: National definition Primary domestic currency: Canadian dollar Data last updated: 04/09/2025,2023,5.383
LUR,CAN,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: National definition Primary domestic currency: Canadian dollar Data last updated: 04/09/2025,2024,6.375
LUR,CAN,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: National definition Primary domestic currency: Canadian dollar Data last updated: 04/09/2025,2025,6.597
LUR,CAN,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: National definition Primary domestic currency: Canadian dollar Data last updated: 04/09/2025,2026,6.482
LUR,CAN,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: National definition Primary domestic currency: Canadian dollar Data last updated: 04/09/2025,2027,6.268
LUR,CAN,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: National definition Primary domestic currency: Canadian dollar Data last updated: 04/09/2025,2028,6.147
LUR,CAN,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: National definition Primary domestic currency: Canadian dollar Data last updated: 04/09/2025,2029,6.054
LUR,CAN,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: National definition Primary domestic currency: Canadian dollar Data last updated: 04/09/2025,2030,6.007
