INDICATOR,COUNTRY,FREQUENCY,LATEST_ACTUAL_ANNUAL_DATA,OVERLAP,SCALE,METHODOLOGY_NOTES,TIME_PERIOD,value
LUR,FRA,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: Harmonized ILO definition. Data prior to 1983 are not harmonized. Primary domestic currency: Euro Data last updated: 04/10/2025,1980,6.349
LUR,FRA,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: Harmonized ILO definition. Data prior to 1983 are not harmonized. Primary domestic currency: Euro Data last updated: 04/10/2025,1981,7.438
LUR,FRA,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: Harmonized ILO definition. Data prior to 1983 are not harmonized. Primary domestic currency: Euro Data last updated: 04/10/2025,1982,8.069
LUR,FRA,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: Harmonized ILO definition. Data prior to 1983 are not harmonized. Primary domestic currency: Euro Data last updated: 04/10/2025,1983,7.383
LUR,FRA,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: Harmonized ILO definition. Data prior to 1983 are not harmonized. Primary domestic currency: Euro Data last updated: 04/10/2025,1984,8.458
LUR,FRA,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: Harmonized ILO definition. Data prior to 1983 are not harmonized. Primary domestic currency: Euro Data last updated: 04/10/2025,1985,8.7
LUR,FRA,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: Harmonized ILO definition. Data prior to 1983 are not harmonized. Primary domestic currency: Euro Data last updated: 04/10/2025,1986,8.875
LUR,FRA,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: Harmonized ILO definition. Data prior to 1983 are not harmonized. Primary domestic currency: Euro Data last updated: 04/10/2025,1987,9.15
LUR,FRA,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: Harmonized ILO definition. Data prior to 1983 are not harmonized. Primary domestic currency: Euro Data last updated: 04/10/2025,1988,8.842
LUR,FRA,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: Harmonized ILO definition. Data prior to 1983 are not harmonized. Primary domestic currency: Euro Data last updated: 04/10/2025,1989,8.7
LUR,FRA,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: Harmonized ILO definition. Data prior to 1983 are not harmonized. Primary domestic currency: Euro Data last updated: 04/10/2025,1990,8.4
LUR,FRA,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: Harmonized ILO definition. Data prior to 1983 are not harmonized. Primary domestic currency: Euro Data last updated: 04/10/2025,1991,8.617
LUR,FRA,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: Harmonized ILO definition. Data prior to 1983 are not harmonized. Primary domestic currency: Euro Data last updated: 04/10/2025,1992,9.442
