INDICATOR,COUNTRY,FREQUENCY,LATEST_ACTUAL_ANNUAL_DATA,OVERLAP,SCALE,METHODOLOGY_NOTES,TIME_PERIOD,value
LUR,GBR,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: Harmonized ILO definition Primary domestic currency: British pound Data last updated: 04/10/2025,1980,7.133
LUR,GBR,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: Harmonized ILO definition Primary domestic currency: British pound Data last updated: 04/10/2025,1981,9.65
LUR,GBR,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: Harmonized ILO definition Primary domestic currency: British pound Data last updated: 04/10/2025,1982,10.725
LUR,GBR,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: Harmonized ILO definition Primary domestic currency: British pound Data last updated: 04/10/2025,1983,11.475
LUR,GBR,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: Harmonized ILO definition Primary domestic currency: British pound Data last updated: 04/10/2025,1984,11.75
LUR,GBR,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: Harmonized ILO definition Primary domestic currency: British pound Data last updated: 04/10/2025,1985,11.375
LUR,GBR,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: Harmonized ILO definition Primary domestic currency: British pound Data last updated: 04/10/2025,1986,11.325
LUR,GBR,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: Harmonized ILO definition Primary domestic currency: British pound Data last updated: 04/10/2025,1987,10.425
LUR,GBR,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: Harmonized ILO definition Primary domestic currency: British pound Data last updated: 04/10/2025,1988,8.575
LUR,GBR,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: Harmonized ILO definition Primary domestic currency: British pound Data last updated: 04/10/2025,1989,7.225
LUR,GBR,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: Harmonized ILO definition Primary domestic currency: British pound Data last updated: 04/10/2025,1990,7.1
LUR,GBR,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: Harmonized ILO definition Primary domestic currency: British pound Data last updated: 04/10/2025,1991,8.85
LUR,GBR,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: Harmonized ILO definition Primary domestic currency: British pound Data last updated: 04/10/2025,1992,9.95
LUR,GBR,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: Harmonized ILO definition Primary domestic currency: British pound Data last updated: 04/10/2025,1993,10.375
LUR,GBR,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: Harmonized ILO definition Primary domestic currency: British pound Data last updated: 04/10/2025,1994,9.5
LUR,GBR,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: Harmonized ILO definition Primary domestic currency: British pound Data last updated: 04/10/2025,1995,8.625
LUR,GBR,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: Harmonized ILO definition Primary domestic currency: British pound Data last updated: 04/10/2025,1996,8.1
