INDICATOR,COUNTRY,FREQUENCY,LATEST_ACTUAL_ANNUAL_DATA,OVERLAP,SCALE,METHODOLOGY_NOTES,TIME_PERIOD,value
LUR,ITA,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: Harmonized ILO definition Primary domestic currency: Euro Data last updated: 04/10/2025,1980,7.37
LUR,ITA,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: Harmonized ILO definition Primary domestic currency: Euro Data last updated: 04/10/2025,1981,7.649
LUR,ITA,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: Harmonized ILO definition Primary domestic currency: Euro Data last updated: 04/10/2025,1982,8.288
LUR,ITA,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: Harmonized ILO definition Primary domestic currency: Euro Data last updated: 04/10/2025,1983,7.367
LUR,ITA,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: Harmonized ILO definition Primary domestic currency: Euro Data last updated: 04/10/2025,1984,7.833
LUR,ITA,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: Harmonized ILO definition Primary domestic currency: Euro Data last updated: 04/10/2025,1985,8.167
LUR,ITA,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: Harmonized ILO definition Primary domestic currency: Euro Data last updated: 04/10/2025,1986,8.867
LUR,ITA,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: Harmonized ILO definition Primary domestic currency: Euro Data last updated: 04/10/2025,1987,9.617
LUR,ITA,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: Harmonized ILO definition Primary domestic currency: Euro Data last updated: 04/10/2025,1988,9.683
LUR,ITA,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: Harmonized ILO definition Primary domestic currency: Euro Data last updated: 04/10/2025,1989,9.667
LUR,ITA,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: Harmonized ILO definition Primary domestic currency: Euro Data last updated: 04/10/2025,1990,8.858
LUR,ITA,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: Harmonized ILO definition Primary domestic currency: Euro Data last updated: 04/10/2025,1991,8.533
LUR,ITA,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: Harmonized ILO definition Primary domestic currency: Euro Data last updated: 04/10/2025,1992,8.808
LUR,ITA,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: Harmonized ILO definition Primary domestic currency: Euro Data last updated: 04/10/2025,1993,9.833
LUR,ITA,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: Harmonized ILO definition Primary domestic currency: Euro Data last updated: 04/10/2025,1994,10.633
LUR,ITA,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: Harmonized ILO definition Primary domestic currency: Euro Data last updated: 04/10/2025,1995,11.15
LUR,ITA,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: Harmonized ILO definition Primary domestic currency: Euro Data last updated: 04/10/2025,1996,11.15
LUR,ITA,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: Harmonized ILO definition Primary domestic currency: Euro Data last updated: 04/10/2025,1997,11.242
LUR,ITA,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: Harmonized ILO definition Primary domestic currency: Euro Data last updated: 04/10/2025,1998,11.333
LUR,ITA,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: Harmonized ILO definition Primary domestic currency: Euro Data last updated: 04/10/2025,1999,10.942
LUR,ITA,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: Harmonized ILO definition Primary domestic currency: Euro Data last updated: 04/10/2025,2000,10.1
