INDICATOR,COUNTRY,FREQUENCY,LATEST_ACTUAL_ANNUAL_DATA,OVERLAP,SCALE,METHODOLOGY_NOTES,TIME_PERIOD,value
LUR,JPN,A,2024,OL,0,Source: Cabinet Office of Japan via Haver Analytics Latest actual data: 2024 Employment type: National definition Primary domestic currency: Japanese yen Data last updated: 04/09/2025,1980,2.017
LUR,JPN,A,2024,OL,0,Source: Cabinet Office of Japan via Haver Analytics Latest actual data: 2024 Employment type: National definition Primary domestic currency: Japanese yen Data last updated: 04/09/2025,1981,2.208
LUR,JPN,A,2024,OL,0,Source: Cabinet Office of Japan via Haver Analytics Latest actual data: 2024 Employment type: National definition Primary domestic currency: Japanese yen Data last updated: 04/09/2025,1982,2.35
LUR,JPN,A,2024,OL,0,Source: Cabinet Office of Japan via Haver Analytics Latest actual data: 2024 Employment type: National definition Primary domestic currency: Japanese yen Data last updated: 04/09/2025,1983,2.658
LUR,JPN,A,2024,OL,0,Source: Cabinet Office of Japan via Haver Analytics Latest actual data: 2024 Employment type: National definition Primary domestic currency: Japanese yen Data last updated: 04/09/2025,1984,2.708
LUR,JPN,A,2024,OL,0,Source: Cabinet Office of Japan via Haver Analytics Latest actual data: 2024 Employment type: National definition Primary domestic currency: Japanese yen Data last updated: 04/09/2025,1985,2.625
LUR,JPN,A,2024,OL,0,Source: Cabinet Office of Japan via Haver Analytics Latest actual data: 2024 Employment type: National definition Primary domestic currency: Japanese yen Data last updated: 04/09/2025,1986,2.767
LUR,JPN,A,2024,OL,0,Source: Cabinet Office of Japan via Haver Analytics Latest actual data: 2024 Employment type: National definition Primary domestic currency: Japanese yen Data last updated: 04/09/2025,1987,2.85
LUR,JPN,A,2024,OL,0,Source: Cabinet Office of Japan via Haver Analytics Latest actual data: 2024 Employment type: National definition Primary domestic currency: Japanese yen Data last updated: 04/09/2025,1988,2.517
LUR,JPN,A,2024,OL,0,Source: Cabinet Office of Japan via Haver Analytics Latest actual data: 2024 Employment type: National definition Primary domestic currency: Japanese yen Data last updated: 04/09/2025,1989,2.25
LUR,JPN,A,2024,OL,0,Source: Cabinet Office of Japan via Haver Analytics Latest actual data: 2024 Employment type: National definition Primary domestic currency: Japanese yen Data last updated: 04/09/2025,1990,2.1
LUR,JPN,A,2024,OL,0,Source: Cabinet Office of Japan via Haver Analytics Latest actual data: 2024 Employment type: National definition Primary domestic currency: Japanese yen Data last updated: 04/09/2025,1991,2.092
LUR,JPN,A,2024,OL,0,Source: Cabinet Office of Japan via Haver Analytics Latest actual data: 2024 Employment type: National definition Primary domestic currency: Japanese yen Data last updated: 04/09/2025,1992,2.15
LUR,JPN,A,2024,OL,0,Source: Cabinet Office of Japan via Haver Analytics Latest actual data: 2024 Employment type: National definition Primary domestic currency: Japanese yen Data last updated: 04/09/2025,1993,2.5
LUR,JPN,A,2024,OL,0,Source: Cabinet Office of Japan via Haver Analytics Latest actual data: 2024 Employment type: National definition Primary domestic currency: Japanese yen Data last updated: 04/09/2025,1994,2.892
LUR,JPN,A,2024,OL,0,Source: Cabinet Office of Japan via Haver Analytics Latest actual data: 2024 Employment type: National definition Primary domestic currency: Japanese yen Data last updated: 04/09/2025,1995,3.15
LUR,JPN,A,2024,OL,0,Source: Cabinet Office of Japan via Haver Analytics Latest actual data: 2024 Employment type: National definition Primary domestic currency: Japanese yen Data last updated: 04/09/2025,1996,3.367
LUR,JPN,A,2024,OL,0,Source: Cabinet Office of Japan via Haver Analytics Latest actual data: 2024 Employment type: National definition Primary domestic currency: Japanese yen Data last updated: 04/09/2025,1997,3.4
LUR,JPN,A,2024,OL,0,Source: Cabinet Office of Japan via Haver Analytics Latest actual data: 2024 Employment type: National definition Primary domestic currency: Japanese yen Data last updated: 04/09/2025,1998,4.1
LUR,JPN,A,2024,OL,0,Source: Cabinet Office of Japan via Haver Analytics Latest actual data: 2024 Employment type: National definition Primary domestic currency: Japanese yen Data last updated: 04/09/2025,1999,4.667
LUR,JPN,A,2024,OL,0,Source: Cabinet Office of Japan via Haver Analytics Latest actual data: 2024 Employment type: National definition Primary domestic currency: Japanese yen Data last updated: 04/09/2025,2000,4.733
LUR,JPN,A,2024,OL,0,Source: Cabinet Office of Japan via Haver Analytics Latest actual data: 2024 Employment type: National definition Primary domestic currency: Japanese yen Data last updated: 04/09/2025,2001,5.042
LUR,JPN,A,2024,OL,0,Source: Cabinet Office of Japan via Haver Analytics Latest actual data: 2024 Employment type: National definition Primary domestic currency: Japanese yen Data last updated: 04/09/2025,2002,5.358
LUR,JPN,A,2024,OL,0,Source: Cabinet Office of Japan via Haver Analytics Latest actual data: 2024 Employment type: National definition Primary domestic currency: Japanese yen Data last updated: 04/09/2025,2003,5.242
LUR,JPN,A,2024,OL,0,Source: Cabinet Office of Japan via Haver Analytics Latest actual data: 2024 Employment type: National definition Primary domestic currency: Japanese yen Data last updated: 04/09/2025,2004,4.733
LUR,JPN,A,2024,OL,0,Source: Cabinet Office of Japan via Haver Analytics Latest actual data: 2024 Employment type: National definition Primary domestic currency: Japanese yen Data last updated: 04/09/2025,2005,4.425
LUR,JPN,A,2024,OL,0,Source: Cabinet Office of Japan via Haver Analytics Latest actual data: 2024 Employment type: National definition Primary domestic currency: Japanese yen Data last updated: 04/09/2025,2006,4.117
LUR,JPN,A,2024,OL,0,Source: Cabinet Office of Japan via Haver Analytics Latest actual data: 2024 Employment type: National definition Primary domestic currency: Japanese yen Data last updated: 04/09/2025,2007,3.833
LUR,JPN,A,2024,OL,0,Source: Cabinet Office of Japan via Haver Analytics Latest actual data: 2024 Employment type: National definition Primary domestic currency: Japanese yen Data last updated: 04/09/2025,2008,3.983
LUR,JPN,A,2024,OL,0,Source: Cabinet Office of Japan via Haver Analytics Latest actual data: 2024 Employment type: National definition Primary domestic currency: Japanese yen Data last updated: 04/09/2025,2009,5.075
LUR,JPN,A,2024,OL,0,Source: Cabinet Office of Japan via Haver Analytics Latest actual data: 2024 Employment type: National definition Primary domestic currency: Japanese yen Data last updated: 04/09/2025,2010,5.058
LUR,JPN,A,2024,OL,0,Source: Cabinet Office of Japan via Haver Analytics Latest actual data: 2024 Employment type: National definition Primary domestic currency: Japanese yen Data last updated: 04/09/2025,2011,4.583
LUR,JPN,A,2024,OL,0,Source: Cabinet Office of Japan via Haver Analytics Latest actual data: 2024 Employment type: National definition Primary domestic currency: Japanese yen Data last updated: 04/09/2025,2012,4.325
LUR,JPN,A,2024,OL,0,Source: Cabinet Office of Japan via Haver Analytics Latest actual data: 2024 Employment type: National definition Primary domestic currency: Japanese yen Data last updated: 04/09/2025,2013,4.008
LUR,JPN,A,2024,OL,0,Source: Cabinet Office of Japan via Haver Analytics Latest actual data: 2024 Employment type: National definition Primary domestic currency: Japanese yen Data last updated: 04/09/2025,2014,3.583
LUR,JPN,A,2024,OL,0,Source: Cabinet Office of Japan via Haver Analytics Latest actual data: 2024 Employment type: National definition Primary domestic currency: Japanese yen Data last updated: 04/09/2025,2015,3.375
LUR,JPN,A,2024,OL,0,Source: Cabinet Office of Japan via Haver Analytics Latest actual data: 2024 Employment type: National definition Primary domestic currency: Japanese yen Data last updated: 04/09/2025,2016,3.108
LUR,JPN,A,2024,OL,0,Source: Cabinet Office of Japan via Haver Analytics Latest actual data: 2024 Employment type: National definition Primary domestic currency: Japanese yen Data last updated: 04/09/2025,2017,2.817
LUR,JPN,A,2024,OL,0,Source: Cabinet Office of Japan via Haver Analytics Latest actual data: 2024 Employment type: National definition Primary domestic currency: Japanese yen Data last updated: 04/09/2025,2018,2.433
