INDICATOR,COUNTRY,FREQUENCY,LATEST_ACTUAL_ANNUAL_DATA,OVERLAP,SCALE,METHODOLOGY_NOTES,TIME_PERIOD,value
LUR,USA,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: National definition Primary domestic currency: US dollar Data last updated: 04/10/2025,1980,7.175
LUR,USA,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: National definition Primary domestic currency: US dollar Data last updated: 04/10/2025,1981,7.617
LUR,USA,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: National definition Primary domestic currency: US dollar Data last updated: 04/10/2025,1982,9.708
LUR,USA,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: National definition Primary domestic currency: US dollar Data last updated: 04/10/2025,1983,9.6
LUR,USA,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: National definition Primary domestic currency: US dollar Data last updated: 04/10/2025,1984,7.508
LUR,USA,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: National definition Primary domestic currency: US dollar Data last updated: 04/10/2025,1985,7.192
LUR,USA,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: National definition Primary domestic currency: US dollar Data last updated: 04/10/2025,1986,7.0
LUR,USA,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: National definition Primary domestic currency: US dollar Data last updated: 04/10/2025,1987,6.175
LUR,USA,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: National definition Primary domestic currency: US dollar Data last updated: 04/10/2025,1988,5.492
LUR,USA,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: National definition Primary domestic currency: US dollar Data last updated: 04/10/2025,1989,5.258
LUR,USA,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: National definition Primary domestic currency: US dollar Data last updated: 04/10/2025,1990,5.617
LUR,USA,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: National definition Primary domestic currency: US dollar Data last updated: 04/10/2025,1991,6.85
LUR,USA,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: National definition Primary domestic currency: US dollar Data last updated: 04/10/2025,1992,7.492
LUR,USA,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: National definition Primary domestic currency: US dollar Data last updated: 04/10/2025,1993,6.908
LUR,USA,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: National definition Primary domestic currency: US dollar Data last updated: 04/10/2025,1994,6.1
LUR,USA,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: National definition Primary domestic currency: US dollar Data last updated: 04/10/2025,1995,5.592
LUR,USA,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: National definition Primary domestic currency: US dollar Data last updated: 04/10/2025,1996,5.408
LUR,USA,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: National definition Primary domestic currency: US dollar Data last updated: 04/10/2025,1997,4.942
LUR,USA,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: National definition Primary domestic currency: US dollar Data last updated: 04/10/2025,1998,4.5
LUR,USA,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: National definition Primary domestic currency: US dollar Data last updated: 04/10/2025,1999,4.217
LUR,USA,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: National definition Primary domestic currency: US dollar Data last updated: 04/10/2025,2000,3.967
LUR,USA,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: National definition Primary domestic currency: US dollar Data last updated: 04/10/2025,2001,4.742
LUR,USA,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: National definition Primary domestic currency: US dollar Data last updated: 04/10/2025,2002,5.783
LUR,USA,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: National definition Primary domestic currency: US dollar Data last updated: 04/10/2025,2003,5.992
LUR,USA,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: National definition Primary domestic currency: US dollar Data last updated: 04/10/2025,2004,5.542
LUR,USA,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: National definition Primary domestic currency: US dollar Data last updated: 04/10/2025,2005,5.083
LUR,USA,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: National definition Primary domestic currency: US dollar Data last updated: 04/10/2025,2006,4.608
LUR,USA,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: National definition Primary domestic currency: US dollar Data last updated: 04/10/2025,2007,4.617
LUR,USA,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: National definition Primary domestic currency: US dollar Data last updated: 04/10/2025,2008,5.8
LUR,USA,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: National definition Primary domestic currency: US dollar Data last updated: 04/10/2025,2009,9.283
LUR,USA,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: National definition Primary domestic currency: US dollar Data last updated: 04/10/2025,2010,9.608
LUR,USA,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: National definition Primary domestic currency: US dollar Data last updated: 04/10/2025,2011,8.933
LUR,USA,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: National definition Primary domestic currency: US dollar Data last updated: 04/10/2025,2012,8.075
LUR,USA,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: National definition Primary domestic currency: US dollar Data last updated: 04/10/2025,2013,7.358
LUR,USA,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: National definition Primary domestic currency: US dollar Data last updated: 04/10/2025,2014,6.158
LUR,USA,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: National definition Primary domestic currency: US dollar Data last updated: 04/10/2025,2015,5.275
LUR,USA,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: National definition Primary domestic currency: US dollar Data last updated: 04/10/2025,2016,4.875
LUR,USA,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: National definition Primary domestic currency: US dollar Data last updated: 04/10/2025,2017,4.358
LUR,USA,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: National definition Primary domestic currency: US dollar Data last updated: 04/10/2025,2018,3.892
LUR,USA,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: National definition Primary domestic currency: US dollar Data last updated: 04/10/2025,2019,3.675
LUR,USA,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: National definition Primary domestic currency: US dollar Data last updated: 04/10/2025,2020,8.1
LUR,USA,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: National definition Primary domestic currency: US dollar Data last updated: 04/10/2025,2021,5.358
LUR,USA,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: National definition Primary domestic currency: US dollar Data last updated: 04/10/2025,2022,3.642
LUR,USA,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: National definition Primary domestic currency: US dollar Data last updated: 04/10/2025,2023,3.633
LUR,USA,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: National definition Primary domestic currency: US dollar Data last updated: 04/10/2025,2024,4.033
LUR,USA,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: National definition Primary domestic currency: US dollar Data last updated: 04/10/2025,2025,4.159
LUR,USA,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: National definition Primary domestic currency: US dollar Data last updated: 04/10/2025,2026,4.151
LUR,USA,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: National definition Primary domestic currency: US dollar Data last updated: 04/10/2025,2027,4.079
LUR,USA,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: National definition Primary domestic currency: US dollar Data last updated: 04/10/2025,2028,3.929
LUR,USA,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: National definition Primary domestic currency: US dollar Data last updated: 04/10/2025,2029,3.801
LUR,USA,A,2024,OL,0,Source: National Statistics Office Latest actual data: 2024 Employment type: National definition Primary domestic currency: US dollar Data last updated: 04/10/2025,2030,3.759
